lambda	exc	em
400	1.3190552	0
401	1.3190552	0
402	1.3190552	0
403	1.320056	0
404	1.3680945	0
405	1.4171337	0
406	1.4691753	0
407	1.5352282	0
408	1.6413131	0
409	1.7544035	0
410	1.8755004	0
411	1.9825861	0
412	2.0936749	0
413	2.2117694	0
414	2.2938351	0
415	2.3498799	0
416	2.4069255	0
417	2.4719776	0
418	2.5620496	0
419	2.6591273	0
420	2.7832266	0
421	2.9133307	0
422	3.0684548	0
423	3.2936349	0
424	3.4567654	0
425	3.5708567	0
426	3.8170536	0
427	4.0932746	0
428	4.3905124	0
429	4.5946757	0
430	4.7227782	0
431	4.8538831	0
432	5.1881505	0
433	5.5964772	0
434	5.9367494	0
435	6.2860288	0
436	6.6513211	0
437	6.9285428	0
438	7.1567254	0
439	7.5840673	0
440	8.0424339	0
441	8.6108887	0
442	9.1383106	0
443	9.5916733	0
444	10.135108	0
445	10.760608	0
446	11.332066	0
447	11.784428	0
448	12.416934	0
449	12.876301	0
450	13.327662	0
451	14.045236	0
452	14.797838	0
453	15.607486	0
454	16.429143	0
455	17.22478	0
456	18.122498	0
457	19.026221	0
458	20.096077	0
459	21.125901	0
460	22.460969	0
461	23.477782	0
462	24.810849	0
463	26.678343	0
464	28.725981	0
465	29.519616	0
466	30.772618	0
467	32.042634	0
468	33.967174	0
469	35.797638	0
470	37.101681	0
471	38.965172	0.27107583
472	40.654524	0.31508814
473	42.391914	0.36710269
474	43.521817	0.41411584
475	44.481585	0.41411584
476	45.893715	0.41411584
477	47.529023	0.41411584
478	48.082466	0.41411584
479	49.017214	0.41411584
480	49.468575	0.41411584
481	50.171137	0.41411584
482	51.043835	0.47613319
483	51.706365	0.56015669
484	53.405725	0.66018467
485	54.390512	0.86224119
486	55.609488	1.2183408
487	57.435949	1.5564354
488	59.207366	1.8145076
489	60.800641	2.0775812
490	63.717974	2.3826665
491	65.736589	2.7537703
492	68.054444	3.2779169
493	70.825661	3.8920887
494	72.909327	4.6883115
495	75.639512	6.0196839
496	78.983187	7.5091005
497	81.679343	8.958506
498	84.565653	12.11739
499	87.777222	15.083219
500	89.805845	18.44516
501	93.761009	21.686066
502	95.803643	26.052288
503	97.285829	31.143712
504	99.326461	35.321881
505	99.773819	40.832422
506	99.796837	48.034437
507	99.157326	53.887074
508	97.489992	60.505925
509	95.194155	67.763956
510	92.035629	74.296783
511	86.831465	78.438942
512	81.746397	87.332429
513	75.384307	91.833689
514	68.116493	95.768789
515	62.241793	98.126449
516	55.351281	99.680884
517	47.903323	99.940956
518	42.18775	99.363795
519	35.535428	97.358234
520	30.569456	94.87854
521	23.364692	92.222797
522	19.601681	88.780835
523	16.326061	84.68969
524	14.061249	79.739305
525	11.731385	76.498399
526	8.9281425	73.206478
527	6.7914331	69.03031
528	5.5794636	64.615075
529	4.7207766	61.77428
530	3.7980384	58.45035
531	3.0304243	55.16043
532	2.434948	52.298629
