Wavelength_nm	Transmission
350	1.04985e-06
351	1.69774e-06
352	2.3723e-06
353	6.56e-07
354	3.05645e-06
355	0
356	4.16983e-06
357	4.84525e-06
358	0
359	2.49952e-06
360	3.47955e-06
361	2.55018e-06
362	2.35196e-06
363	0
364	3.76227e-06
365	8.96403e-06
366	1.20004e-06
367	2.4758e-06
368	2.76336e-06
369	5.44782e-06
370	4.58427e-06
371	4.7767e-06
372	4.06861e-06
373	4.61813e-06
374	4.12942e-06
375	1.8609e-06
376	2.50943e-06
377	2.40568e-06
378	3.28185e-06
379	3.03657e-06
380	2.48949e-06
381	1.93715e-06
382	1.2405e-06
383	1.71556e-06
384	5.16e-07
385	0
386	2.65178e-06
387	2.35604e-06
388	3.43157e-06
389	4.16861e-06
390	3.38392e-06
391	0
392	2.16236e-06
393	9.7e-07
394	4.83746e-06
395	3.7e-07
396	3.18221e-06
397	6.87285e-06
398	1.18317e-06
399	3.0629e-06
400	0
401	3.2654e-06
402	2.05041e-06
403	4.63437e-06
404	4.72e-07
405	1.72997e-06
406	6.34e-08
407	1.8183e-06
408	3.5871e-06
409	1.39252e-06
410	0
411	1.05366e-06
412	2.70727e-06
413	1.55053e-06
414	3.48439e-06
415	1.58444e-06
416	3.01727e-06
417	0
418	1.7827e-06
419	3.79169e-06
420	1.06408e-06
421	1.94846e-06
422	3.42361e-06
423	2.31919e-06
424	3.47786e-06
425	3.60677e-06
426	2.47274e-06
427	3.25883e-06
428	2.74075e-06
429	2.5149e-06
430	1.45491e-06
431	2.12878e-06
432	6.05591e-06
433	4.63637e-06
434	1.62422e-06
435	1.46056e-06
436	2.83109e-06
437	4.54408e-06
438	4.37468e-06
439	6.27e-07
440	1.98286e-06
441	2.41346e-06
442	2.59135e-06
443	2.81e-07
444	9.81e-07
445	3.72044e-06
446	3.37619e-06
447	1.13487e-06
448	2.50059e-06
449	4.01494e-06
450	1.66925e-06
451	1.30483e-06
452	3.90699e-06
453	1.15377e-06
454	3.58759e-06
455	2.35327e-06
456	2.86251e-06
457	2.40823e-06
458	2.91208e-06
459	0
460	1.09e-07
461	5.32696e-06
462	0
463	2.14863e-06
464	2.94389e-06
465	3.18288e-06
466	1.37067e-06
467	2.12981e-06
468	2.66974e-06
469	1.96188e-06
470	2.52632e-06
471	3.4859e-06
472	4.33362e-06
473	5.06708e-06
474	1.42382e-06
475	2.20408e-06
476	3.07908e-06
477	3.02766e-06
478	4.307e-06
479	2.96781e-06
480	2.46782e-06
481	2.90827e-06
482	1.89308e-06
483	1.49461e-06
484	4.11415e-06
485	2.94445e-06
486	2.84724e-06
487	2.49647e-06
488	1.64593e-06
489	3.58629e-06
490	3.50231e-06
491	3.76522e-06
492	5.67423e-06
493	1.061505e-05
494	2.224319e-05
495	7.027307e-05
496	0.00025244752
497	0.0011874481
498	0.0073901254
499	0.069081016
500	0.44973133
501	0.91330818
502	0.98101273
503	0.9824778
504	0.97834167
505	0.9835247
506	0.98389915
507	0.97092552
508	0.9643425
509	0.97292145
510	0.98430206
511	0.98464775
512	0.97960976
513	0.97917519
514	0.98347183
515	0.98661743
516	0.98820915
517	0.9889109
518	0.98773842
519	0.98683296
520	0.98678116
521	0.98784866
522	0.98758148
523	0.98895714
524	0.98861275
525	0.98509453
526	0.98022064
527	0.98054916
528	0.98518303
529	0.98670692
530	0.98188644
531	0.97752205
532	0.97907082
533	0.98253212
534	0.98426491
535	0.98523819
536	0.98219994
537	0.96690811
538	0.96158066
539	0.77670227
540	0.26905384
541	0.040461855
542	0.0064990413
543	0.0014464569
544	0.00039101891
545	0.0001292215
546	4.911658e-05
547	1.884941e-05
548	1.059553e-05
549	6.81018e-06
550	3.08203e-06
551	4.58187e-06
552	1.96437e-06
553	3.52873e-06
554	2.1597e-06
555	2.27892e-06
556	4.02729e-06
557	3.62943e-06
558	3.83577e-06
559	3.52027e-06
560	0
561	3.47601e-06
562	2.99742e-06
563	2.25055e-06
564	2.41477e-06
565	1.95595e-06
566	2.5323e-06
567	2.65181e-06
568	2.79301e-06
569	1.41e-07
570	3.75444e-06
571	9.92e-07
572	1.44679e-06
573	2.28124e-06
574	0
575	3.44802e-06
576	3.01124e-06
577	7.81e-07
578	3.24597e-06
579	0
580	4.0185e-06
581	3.5587e-06
582	7.89e-07
583	1.97693e-06
584	9.01e-07
585	1.05493e-06
586	2.83448e-06
587	0
588	0
589	3.36892e-06
590	2.14715e-06
591	0
592	2.88973e-06
593	9.21e-07
594	2.07918e-06
595	6.21e-07
596	2.34706e-06
597	3.09163e-06
598	2.3676e-06
599	4.17372e-06
600	2.54776e-06
601	2.15557e-06
602	1.01458e-06
603	9.54e-07
604	2.64783e-06
605	7.38e-07
606	0
607	1.92322e-06
608	2.93563e-06
609	5.44015e-06
610	1.59699e-06
611	2.4775e-06
612	3.97866e-06
613	2.72333e-06
614	3.33228e-06
615	1.86e-07
616	2.22222e-06
617	2.67973e-06
618	3.28015e-06
619	1.90899e-06
620	1.64794e-06
621	2.29685e-06
622	3.16228e-06
623	4.11727e-06
624	4.15966e-06
625	2.10417e-06
626	1.8007e-06
627	3.36246e-06
628	2.39202e-06
629	2.06097e-06
630	9.72e-07
631	7.8e-07
632	2.44723e-06
633	2.61e-07
634	1.39021e-06
635	3.09082e-06
636	3.00459e-06
637	2.66686e-06
638	3.25943e-06
639	3.64e-07
640	3.1185e-06
641	7.42088e-06
642	3.14699e-06
643	3.07536e-06
644	1.13237e-06
645	3.49015e-06
646	1.49194e-06
647	2.20642e-06
648	2.64723e-06
649	1.59217e-06
650	2.22814e-06
651	1.86928e-06
652	1.54273e-06
653	2.10092e-06
654	3.29173e-06
655	5.26e-07
656	4.37921e-06
657	2.37025e-06
658	6.63e-08
659	4.18319e-06
660	4.07234e-06
661	7.13863e-06
662	1.97653e-06
663	1.21105e-06
664	2.86548e-06
665	2.61415e-06
666	1.00088e-06
667	0
668	2.69729e-06
669	1.37967e-06
