Wavelength_nm	Transmission
350	2.580735e-05
351	5.298874e-05
352	7.074508e-05
353	7.368806e-05
354	7.078182e-05
355	5.501393e-05
356	3.384928e-05
357	1.071533e-05
358	3.27775e-06
359	6.53546e-06
360	4.550375e-05
361	0.00015677612
362	0.00024575749
363	0.00017504778
364	5.140045e-05
365	4.61742e-06
366	3.81346e-06
367	3.17591e-06
368	7.17e-07
369	0
370	1.61e-07
371	5.84125e-06
372	9.42602e-06
373	7.49921e-06
374	6.51771e-06
375	9.59734e-06
376	6.37238e-06
377	7.37e-07
378	4.19883e-06
379	2.0056e-06
380	1.35953e-06
381	3.81909e-06
382	4.13361e-06
383	5.77064e-06
384	8.81e-07
385	9.4e-07
386	8.24e-07
387	0
388	1.92957e-06
389	1.81687e-06
390	5.23489e-06
391	1.028203e-05
392	1.962668e-05
393	2.409631e-05
394	1.339396e-05
395	2.15238e-06
396	1.15e-07
397	2.15933e-06
398	4.6e-07
399	0
400	2.29782e-06
401	1.87977e-06
402	4.37214e-06
403	4.80042e-06
404	6.399e-06
405	2.75224e-06
406	0
407	0
408	1.24638e-06
409	1.67438e-06
410	0
411	2.04467e-06
412	4.26041e-06
413	1.736392e-05
414	2.258725e-05
415	2.298714e-05
416	1.879185e-05
417	9.87704e-06
418	5.23396e-06
419	4.56327e-06
420	7.47521e-06
421	4.43493e-06
422	7.52128e-06
423	1.484817e-05
424	2.664655e-05
425	3.441221e-05
426	3.043641e-05
427	2.530544e-05
428	2.147952e-05
429	1.685841e-05
430	2.377701e-05
431	2.88981e-05
432	4.869798e-05
433	8.664955e-05
434	0.0001499479
435	0.0001688879
436	0.000122012
437	7.084568e-05
438	5.26634e-05
439	7.498095e-05
440	0.00013740762
441	0.00015818842
442	0.00010055847
443	3.183206e-05
444	7.97594e-06
445	8.0189e-06
446	8.57471e-06
447	8.48089e-06
448	2.622487e-05
449	4.822924e-05
450	3.688337e-05
451	1.045492e-05
452	3.81427e-06
453	8.8e-08
454	1.95682e-06
455	1.51091e-06
456	0
457	8.1e-07
458	5.47074e-06
459	7.57844e-06
460	5.51085e-06
461	0
462	0
463	0
464	2.09768e-06
465	9.68e-07
466	0
467	0
468	2.4198e-06
469	9.88e-08
470	0
471	2.69e-07
472	1.45001e-06
473	0
474	0
475	3.4035e-06
476	0
477	0
478	0
479	9.77e-07
480	2.32e-07
481	9.9e-08
482	1.06e-07
483	9.93e-07
484	0
485	0
486	3.11e-08
487	4.77e-07
488	2.83901e-06
489	0
490	0
491	1.59e-07
492	3.61e-07
493	5.52e-07
494	2.72187e-06
495	2.97e-07
496	0
497	4.67e-07
498	2.30613e-06
499	0
500	0
501	0
502	2.20308e-06
503	0
504	7.9e-07
505	0
506	3.19e-07
507	2.57718e-06
508	2.13025e-06
509	0
510	2.58e-08
511	0
512	0
513	1.31149e-06
514	0
515	0
516	0
517	0
518	1.28e-07
519	0
520	2.8287e-06
521	0
522	5.9e-07
523	1.25502e-06
524	5.70353e-06
525	8.11997e-06
526	1.328066e-05
527	1.234991e-05
528	5.2167e-06
529	0
530	1.70989e-06
531	7.8e-07
532	3.53e-07
533	5.81e-07
534	1.62181e-06
535	3.71e-07
536	2.32113e-06
537	0
538	3.57239e-06
539	0
540	0
541	1.80837e-06
542	0
543	8.24e-07
544	8.72e-07
545	1.91274e-06
546	1.1794e-06
547	1.35117e-06
548	3.95816e-06
549	5.00544e-06
550	1.05443e-05
551	1.403908e-05
552	2.11701e-05
553	3.793561e-05
554	6.764185e-05
555	0.00013111833
556	0.00027226834
557	0.00059950043
558	0.0014423299
559	0.0038335156
560	0.01154462
561	0.039110086
562	0.12515658
563	0.30258226
564	0.51852261
565	0.68455399
566	0.79765488
567	0.88658257
568	0.94153137
569	0.95393456
570	0.94379662
571	0.93703102
572	0.9441655
573	0.96045906
574	0.97527252
575	0.98064384
576	0.97606743
577	0.96726334
578	0.96062599
579	0.96013626
580	0.96536461
581	0.97337791
582	0.98011047
583	0.98227921
584	0.97975174
585	0.97394058
586	0.9679451
587	0.96416512
588	0.96434631
589	0.96808113
590	0.97410294
591	0.97980011
592	0.98305374
593	0.98252495
594	0.97818161
595	0.97120117
596	0.96317078
597	0.95670204
598	0.95279297
599	0.952556
600	0.95591476
601	0.96169914
602	0.96869675
603	0.97555244
604	0.98060699
605	0.9831926
606	0.98329277
607	0.98133087
608	0.97810997
609	0.97475708
610	0.97203392
611	0.97065697
612	0.9708316
613	0.97195366
614	0.97395882
615	0.97642593
616	0.97826904
617	0.9793
618	0.9796051
619	0.97891289
620	0.97741821
621	0.97577026
622	0.97434357
623	0.97307297
624	0.97246429
625	0.97252159
626	0.97321098
627	0.97387749
628	0.97479362
629	0.97563675
630	0.97614014
631	0.97617157
632	0.97615471
633	0.97564362
634	0.97515381
635	0.97459175
636	0.9742411
637	0.97394028
638	0.97396011
639	0.97378853
640	0.97365173
641	0.97347923
642	0.9732058
643	0.97262978
644	0.9720192
645	0.97138847
646	0.97069099
647	0.97020653
648	0.97011169
649	0.97016502
650	0.97069901
651	0.97147339
652	0.97249054
653	0.97349373
654	0.97446625
655	0.97513817
656	0.97560921
657	0.9755471
658	0.97504402
659	0.97437439
660	0.97360542
661	0.97250778
662	0.97161446
663	0.97111069
664	0.97077202
665	0.97077492
666	0.97119965
667	0.97193787
668	0.97282791
669	0.97365898
670	0.97427292
671	0.97492584
672	0.97489342
673	0.97438057
674	0.97380768
675	0.9728653
676	0.97174454
677	0.97037605
678	0.96928658
679	0.96848648
680	0.96799782
681	0.96798233
682	0.96850601
683	0.96941811
684	0.97062965
685	0.97214806
686	0.9736824
687	0.97500298
688	0.97593323
689	0.97660187
690	0.97684303
691	0.97647217
692	0.97549545
693	0.97445389
694	0.97319397
695	0.97158241
696	0.97047028
697	0.96952629
698	0.96892967
699	0.96874115
700	0.96898491
701	0.9698587
702	0.9709655
703	0.97232353
704	0.97391495
705	0.97567383
706	0.97694054
707	0.97805832
708	0.9786245
709	0.97909096
710	0.97876831
711	0.97802025
712	0.97717133
713	0.97591476
714	0.9746759
715	0.97329132
716	0.97235939
717	0.97163521
718	0.97100212
719	0.97117599
720	0.97169502
721	0.97233086
722	0.97339096
723	0.97468231
724	0.9761245
725	0.97725128
726	0.97838806
727	0.97961769
728	0.98003731
729	0.98016991
730	0.98003204
731	0.979515
732	0.97891617
733	0.97783981
734	0.9766922
735	0.97575676
736	0.97490578
737	0.97413864
738	0.97372665
739	0.97390381
740	0.9742746
741	0.97462425
742	0.97579025
743	0.97692474
744	0.97789803
745	0.97931046
746	0.98045143
747	0.98159576
748	0.98223022
749	0.98280609
750	0.98307762
751	0.98259323
752	0.98199379
753	0.98148026
754	0.98039314
755	0.97909492
756	0.97833344
757	0.97718674
758	0.97623711
759	0.975364
760	0.97493774
761	0.97505013
762	0.97530838
763	0.97531738
764	0.97631432
765	0.97718277
766	0.9781427
767	0.9792057
768	0.98039749
769	0.9813279
770	0.98163376
771	0.98247681
772	0.98262512
773	0.98259644
774	0.98252747
775	0.98177422
776	0.98116081
777	0.98038017
778	0.979273
779	0.97830429
780	0.97764519
781	0.9763723
782	0.97630013
783	0.97568428
784	0.97528481
785	0.9752919
786	0.97579163
787	0.97610481
788	0.97670906
789	0.9773735
790	0.97829292
791	0.97910484
792	0.98004501
793	0.98064842
794	0.98131386
795	0.98139458
796	0.98126167
797	0.98129501
798	0.98079483
799	0.98042046
800	0.98156807
801	0.98060669
802	0.97972527
803	0.97869713
804	0.97771088
805	0.97678688
806	0.97594925
807	0.97533852
808	0.97490379
809	0.97466049
810	0.97465508
811	0.97485458
812	0.97526711
813	0.97583748
814	0.97649857
815	0.97723083
816	0.97800232
817	0.97878441
818	0.97948555
819	0.98008652
820	0.98053749
821	0.98082291
822	0.98085442
823	0.98070595
824	0.98039452
825	0.97982605
826	0.97921135
827	0.97837334
828	0.97753181
829	0.97662613
830	0.97572968
831	0.97485924
832	0.97411255
833	0.97346619
834	0.97300705
835	0.97264221
836	0.97246338
837	0.97252632
838	0.97271904
839	0.97308701
840	0.97359344
841	0.97420334
842	0.97482636
843	0.97555283
844	0.97628853
845	0.9769014
846	0.97748192
847	0.97798775
848	0.97826317
849	0.97842339
850	0.97844803
