Wavelength_nm	Transmission
350	9.9999999e-09
351	3.27659e-07
352	9.9999999e-09
353	7.0190303e-08
354	1.42618e-08
355	2.4825201e-07
356	9.9999999e-09
357	2.58976e-07
358	9.9999999e-09
359	2.8666699e-07
360	1.3821899e-07
361	9.9999999e-09
362	9.9999999e-09
363	2.91161e-07
364	5.17639e-09
365	3.45866e-07
366	3.15408e-08
367	2.3276201e-07
368	1.61196e-07
369	4.199e-07
370	6.1727701e-07
371	6.2653601e-07
372	9.9999999e-09
373	4.43516e-07
374	1.56623e-07
375	2.3891499e-07
376	9.9999999e-09
377	3.99497e-07
378	3.9543801e-07
379	1.72129e-08
380	2.5554999e-07
381	1.76123e-07
382	4.2850199e-09
383	2.4190501e-07
384	3.2677701e-08
385	2.74515e-07
386	1.24576e-07
387	3.7877501e-07
388	3.4458401e-07
389	6.2493802e-07
390	3.24241e-07
391	2.28793e-07
392	5.1439002e-07
393	4.1324299e-08
394	6.3433203e-07
395	9.9999999e-09
396	1.5239399e-07
397	9.9999999e-09
398	9.9999999e-09
399	2.5087101e-07
400	8.5258002e-08
401	4.3630101e-07
402	3.09184e-07
403	9.9999999e-09
404	1.8280601e-07
405	3.72892e-07
406	1.12064e-07
407	4.2212901e-07
408	3.3887699e-07
409	1.52081e-07
410	9.32326e-08
411	4.4139301e-07
412	2.46865e-07
413	3.7531601e-07
414	9.9999999e-09
415	2.5447301e-07
416	1.2605599e-07
417	1.81744e-07
418	9.9999999e-09
419	8.9065402e-08
420	4.31484e-09
421	1.6954399e-07
422	1.5417e-07
423	9.9999999e-09
424	8.1556797e-09
425	1.22857e-07
426	9.9999999e-09
427	9.9999999e-09
428	9.9999999e-09
429	8.8657799e-08
430	9.9999999e-09
431	4.86564e-08
432	8.4632802e-08
433	9.9999999e-09
434	1.83271e-07
435	2.6139199e-07
436	1.4246601e-07
437	1.64158e-07
438	1.5104e-07
439	1.25691e-07
440	1.88397e-07
441	9.9999999e-09
442	1.20886e-07
443	1.08267e-07
444	2.0392e-07
445	1.57789e-07
446	1.71057e-07
447	1.5025699e-07
448	1.22099e-07
449	9.9999999e-09
450	3.1460601e-07
451	5.3090801e-08
452	9.9999999e-09
453	1.53805e-07
454	2.9120801e-07
455	2.70957e-07
456	1.21478e-07
457	2.06255e-07
458	1.85202e-07
459	2.83498e-07
460	5.0241198e-07
461	3.9248201e-07
462	3.8880501e-07
463	8.5860199e-07
464	2.78743e-06
465	2.2514299e-05
466	0.000405361
467	0.0130275
468	0.34516701
469	0.903162
470	0.93642199
471	0.96359497
472	0.96405399
473	0.95907199
474	0.97235298
475	0.97298503
476	0.98020899
477	0.975995
478	0.96256101
479	0.96237898
480	0.968095
481	0.96891898
482	0.967933
483	0.96722603
484	0.96199399
485	0.95698702
486	0.96935397
487	0.97640598
488	0.970249
489	0.96773702
490	0.96701002
491	0.960877
492	0.95969802
493	0.96320999
494	0.93747699
495	0.819305
496	0.049318399
497	0.0169737
498	0.000777782
499	6.7507397e-05
500	9.7485399e-06
501	1.9464901e-06
502	5.4923402e-07
503	2.21723e-07
504	2.21401e-07
505	1.20501e-07
506	9.9999999e-09
507	6.6948999e-08
508	9.9999999e-09
509	1.13392e-07
510	5.6614201e-08
511	9.9999999e-09
512	9.9999999e-09
513	1.66046e-08
514	9.9999999e-09
515	1.24302e-08
516	9.9999999e-09
517	7.3994499e-09
518	9.3204697e-08
519	9.9999999e-09
520	6.62506e-08
521	1.73141e-08
