Wavelength	UHP-F-470
200	0
200.5	0
201	0
201.5	0
202	0
202.5	0
203	0
203.5	0
204	0
204.5	0
205	0
205.5	0
206	0
206.5	0
207	0
207.5	0
208	0
208.5	0
209	0
209.5	0
210	0
210.5	0
211	0
211.5	0
212	0
212.5	0
213	0
213.5	0
214	0
214.5	0
215	0
215.5	0
216	0
216.5	0
217	0
217.5	0
218	0
218.5	0
219	0
219.5	0
220	0
220.5	0
221	0
221.5	0
222	0
222.5	0
223	0
223.5	0
224	0
224.5	0
225	0
225.5	0
226	0
226.5	0
227	0
227.5	0
228	0
228.5	0
229	0
229.5	0
230	0
230.5	0
231	0
231.5	0
232	0
232.5	0
233	0
233.5	0
234	0
234.5	0
235	0
235.5	0
236	0
236.5	0
237	0
237.5	0
238	0
238.5	0
239	0
239.5	0
240	0
240.5	0
241	0
241.5	0
242	0
242.5	0
243	0
243.5	0
244	0
244.5	0
245	0
245.5	0
246	6.55158E-05
246.5	0.000380602
247	0.000142041
247.5	0
248	0
248.5	0.000362175
249	0.000113794
249.5	0
250	0
250.5	0
251	0
251.5	0
252	0
252.5	0.000119907
253	0
253.5	0.000170703
254	0.00058794
254.5	0.00106014
255	0.000785185
255.5	0.000728266
256	0
256.5	0.000699473
257	0.00030562
257.5	0.000183896
258	0.000105668
258.5	0.000201393
259	0.000236005
259.5	0.000264828
260	0.000261197
260.5	0.00030368
261	0.000365448
261.5	0.000466465
262	0.000526202
262.5	0.000504562
263	0.000566694
263.5	0.000558965
264	0.000483104
264.5	0.000409849
265	0.000332624
265.5	0.000237145
266	0.000234459
266.5	0.00020921
267	0.000128829
267.5	3.19829E-05
268	0
268.5	0
269	0
269.5	0
270	0
270.5	9.65483E-05
271	0.000182726
271.5	0.000228304
272	0.000304013
272.5	0.000377207
273	0.000438824
273.5	0.000543932
274	0.000639585
274.5	0.000654557
275	0.000740541
275.5	0.000791246
276	0.00086341
276.5	0.000962608
277	0.001032347
277.5	0.001123696
278	0.001177311
278.5	0.001258173
279	0.001276752
279.5	0.00123426
280	0.001172765
280.5	0.001162218
281	0.001210347
281.5	0.001215439
282	0.001180827
282.5	0.001162339
283	0.001141699
283.5	0.001115937
284	0.00111036
284.5	0.001093479
285	0.001072991
285.5	0.000984157
286	0.000941908
286.5	0.000937089
287	0.001001706
287.5	0.001081901
288	0.001147003
288.5	0.001200224
289	0.001201436
289.5	0.001150125
290	0.001054533
290.5	0.000915782
291	0.000835496
291.5	0.000799521
292	0.00088999
292.5	0.000955365
293	0.000916389
293.5	0.000792034
294	0.000624279
294.5	0.000462616
295	0.000340141
295.5	0.000292284
296	0.000318864
296.5	0.000361114
297	0.00045122
297.5	0.000472951
298	0.00048665
298.5	0.000358477
299	0.000348081
299.5	0.000473042
300	0.00056045
300.5	0.000626492
301	0.000714931
301.5	0.00084274
302	0.000893839
302.5	0.000861197
303	0.000838709
303.5	0.000813887
304	0.000903962
304.5	0.000999736
305	0.001075779
305.5	0.001074415
306	0.001045077
306.5	0.00103556
307	0.001050653
307.5	0.001030135
308	0.000999402
308.5	0.001040409
309	0.001152125
309.5	0.001254839
310	0.001332125
310.5	0.001333398
311	0.001349794
311.5	0.001399803
312	0.001443234
312.5	0.001459267
313	0.001440385
313.5	0.001378102
314	0.001396954
314.5	0.001369161
315	0.001340096
315.5	0.0012903
316	0.001269357
316.5	0.001243686
317	0.001291209
317.5	0.00127757
318	0.001203406
318.5	0.001114816
319	0.001069202
319.5	0.001084053
320	0.001148882
320.5	0.001188586
321	0.001274236
321.5	0.001324608
322	0.00128251
322.5	0.00122838
323	0.001146063
323.5	0.001031347
324	0.000983673
324.5	0.001061686
325	0.001183342
325.5	0.001221076
326	0.001213954
326.5	0.001171552
327	0.00104635
327.5	0.000911388
328	0.000770546
328.5	0.00071784
329	0.000718507
329.5	0.000738541
330	0.000756392
330.5	0.000720204
331	0.000637675
331.5	0.0005486
332	0.000546327
332.5	0.000579756
333	0.000664286
333.5	0.000750452
334	0.000769273
334.5	0.00082013
335	0.000886808
335.5	0.000847498
336	0.00081425
336.5	0.000824737
337	0.00086935
337.5	0.000886535
338	0.000831162
338.5	0.000790277
339	0.000718962
339.5	0.000649253
340	0.000600245
340.5	0.000612823
341	0.00064307
341.5	0.000656678
342	0.000679834
342.5	0.000672772
343	0.00065289
343.5	0.000650132
344	0.000714021
344.5	0.000783184
345	0.000815644
345.5	0.000883383
346	0.00094109
346.5	0.000998251
347	0.001038833
347.5	0.001064838
348	0.001106178
348.5	0.001157611
349	0.001302544
349.5	0.001374617
350	0.001432354
350.5	0.001401045
351	0.001412078
351.5	0.00138965
352	0.001388468
352.5	0.001425928
353	0.001457267
353.5	0.001426838
354	0.001387952
354.5	0.001312637
355	0.001208498
355.5	0.001063443
356	0.000987885
356.5	0.000910115
357	0.000919935
357.5	0.000921208
358	0.000958547
358.5	0.000953971
359	0.00095788
359.5	0.000947242
360	0.001006646
360.5	0.001128697
361	0.001356038
361.5	0.001534916
362	0.001639601
362.5	0.001692337
363	0.001690458
363.5	0.001622507
364	0.001556556
364.5	0.001528218
365	0.001541402
365.5	0.001553829
366	0.001526582
366.5	0.00141917
367	0.001248808
367.5	0.001099874
368	0.001051017
368.5	0.001019072
369	0.001011071
369.5	0.001144093
370	0.001297755
370.5	0.001448599
371	0.001578257
371.5	0.001612778
372	0.001739981
372.5	0.001906282
373	0.002085827
373.5	0.002174326
374	0.002232003
374.5	0.002320836
375	0.002395091
375.5	0.002443735
376	0.002419034
376.5	0.002352871
377	0.002230124
377.5	0.002149777
378	0.002052579
378.5	0.001966837
379	0.001947864
379.5	0.001998903
380	0.002079644
380.5	0.002149595
381	0.002162021
381.5	0.002095677
382	0.002029969
382.5	0.002061065
383	0.002184086
383.5	0.002357842
384	0.002552905
384.5	0.002785277
385	0.002950972
385.5	0.002983553
386	0.00299807
386.5	0.002994009
387	0.003030379
387.5	0.003124637
388	0.003320124
388.5	0.003434992
389	0.003446812
389.5	0.003424384
390	0.00337771
390.5	0.003221017
391	0.003106452
391.5	0.002998586
392	0.002940182
392.5	0.003034016
393	0.00308463
393.5	0.003094632
394	0.003069779
394.5	0.00309736
395	0.003181616
395.5	0.003343765
396	0.003538343
396.5	0.003707159
397	0.003847485
397.5	0.003922346
398	0.004054187
398.5	0.004107226
399	0.004109347
399.5	0.004172691
400	0.004315442
400.5	0.004364542
401	0.004394243
401.5	0.004371209
402	0.004353934
402.5	0.004379999
403	0.004448192
403.5	0.004503656
404	0.004563969
404.5	0.004624888
405	0.004642467
405.5	0.004729451
406	0.004776732
406.5	0.004903723
407	0.005040715
407.5	0.005133458
408	0.005175283
408.5	0.005257115
409	0.00529197
409.5	0.005407443
410	0.00559202
410.5	0.005725072
411	0.005925409
411.5	0.006140596
412	0.006301836
412.5	0.006461862
413	0.006685233
413.5	0.006992254
414	0.007387775
414.5	0.007722376
415	0.008144568
415.5	0.008500688
416	0.008871963
416.5	0.009272939
417	0.009637545
417.5	0.010023368
418	0.010459198
418.5	0.010985953
419	0.011571809
419.5	0.012121901
420	0.012675024
420.5	0.013325739
421	0.013977363
421.5	0.014774163
422	0.015667343
422.5	0.016589012
423	0.017567964
423.5	0.018670573
424	0.019869561
424.5	0.021122498
425	0.022408168
425.5	0.023776882
426	0.025309563
426.5	0.026868915
427	0.028510099
427.5	0.030268272
428	0.032128886
428.5	0.034156498
429	0.036399298
429.5	0.038842131
430	0.041469844
430.5	0.044264251
431	0.047152613
431.5	0.05024404
432	0.053453668
432.5	0.05697547
433	0.060809445
433.5	0.065058641
434	0.069626072
434.5	0.0745178
435	0.079645932
435.5	0.084955911
436	0.090535633
436.5	0.09639419
437	0.102749799
437.5	0.109514568
438	0.116476339
438.5	0.123719976
439	0.131230324
439.5	0.138958891
440	0.146905676
440.5	0.155046433
441	0.163375099
441.5	0.1719038
442	0.180717397
442.5	0.189746181
443	0.199038645
443.5	0.2087039
444	0.218823776
444.5	0.229092161
445	0.23937267
445.5	0.249628932
446	0.260024612
446.5	0.270608202
447	0.281713091
447.5	0.293254417
448	0.305277642
448.5	0.317916121
449	0.330948606
449.5	0.344708485
450	0.35901391
450.5	0.374137654
451	0.390049409
451.5	0.406718866
452	0.424418799
452.5	0.443149207
453	0.463364712
453.5	0.485186547
454	0.508402554
454.5	0.53261873
455	0.557168294
455.5	0.581869398
456	0.607358514
456.5	0.634181186
457	0.662428339
457.5	0.691857507
458	0.722014071
458.5	0.752019094
459	0.78053902
459.5	0.807240459
460	0.832123412
460.5	0.855703117
461	0.878312963
461.5	0.899468019
462	0.91880459
462.5	0.935777128
463	0.95108272
463.5	0.964721367
464	0.976693068
464.5	0.986755359
465	0.99424146
465.5	0.998999833
466	1
466.5	0.997939049
467	0.993059444
467.5	0.985785499
468	0.975844441
468.5	0.962296719
469	0.944869559
469.5	0.923199265
470	0.899255863
470.5	0.873766747
471	0.848095783
471.5	0.823091597
472	0.799117887
472.5	0.775447258
473	0.751322007
473.5	0.727196757
474	0.703404895
474.5	0.680158579
475	0.658033664
475.5	0.636908915
476	0.616117556
476.5	0.595295888
477	0.574049908
477.5	0.552500846
478	0.530891168
478.5	0.509978576
479	0.490126768
479.5	0.471335743
480	0.453453962
480.5	0.436632964
481	0.42072121
481.5	0.405173153
482	0.390019101
482.5	0.375713676
483	0.36252965
483.5	0.350042712
484	0.338313475
484.5	0.326978244
485	0.315824862
485.5	0.304580556
486	0.293381711
486.5	0.282398054
487	0.271581092
487.5	0.26106418
488	0.25089278
488.5	0.240954753
489	0.231168266
489.5	0.221572721
490	0.212249948
490.5	0.203360581
491	0.194992513
491.5	0.18716393
492	0.179896047
492.5	0.172979738
493	0.166336201
493.5	0.160007869
494	0.154022019
494.5	0.14834228
495	0.143026239
495.5	0.137898107
496	0.132797253
496.5	0.12780854
497	0.123041075
497.5	0.118555475
498	0.114379019
498.5	0.110332887
499	0.10634434
499.5	0.102395194
500	0.098536973
500.5	0.094875754
501	0.091399414
501.5	0.088247372
502	0.085265054
502.5	0.082325168
503	0.079348912
503.5	0.076269609
504	0.073141813
504.5	0.070192834
505	0.067413581
505.5	0.064704036
506	0.061994492
506.5	0.059251608
507	0.056514787
507.5	0.053862828
508	0.051362409
508.5	0.048995346
509	0.046801039
509.5	0.044643102
510	0.042566997
510.5	0.04055757
511	0.038629975
511.5	0.036826642
512	0.03524759
512.5	0.033738247
513	0.032231934
513.5	0.030810484
514	0.029505114
514.5	0.028211564
515	0.026981055
515.5	0.025824195
516	0.024767957
516.5	0.023851137
517	0.022977354
517.5	0.022114483
518	0.0212407
518.5	0.020390861
519	0.019648009
519.5	0.018907279
520	0.018146243
520.5	0.017510379
521	0.016966954
521.5	0.016398071
522	0.015745235
522.5	0.01508573
523	0.014470779
523.5	0.013913413
524	0.013503041
524.5	0.013125705
525	0.012725941
525.5	0.012311023
526	0.011927929
526.5	0.011533317
527	0.0111972
527.5	0.010864114
528	0.010588917
528.5	0.01030887
529	0.009975178
529.5	0.009646941
530	0.00932416
530.5	0.008980466
531	0.008744063
531.5	0.00849099
532	0.008131536
532.5	0.007624481
533	0.00710591
533.5	0.006649469
534	0.006337296
534.5	0.00614393
535	0.005894495
535.5	0.005620812
536	0.005428356
536.5	0.005115879
537	0.004794614
537.5	0.004521234
538	0.004324535
538.5	0.0042227
539	0.004187845
539.5	0.004086616
540	0.003960231
540.5	0.00376929
541	0.003604414
541.5	0.0033571
542	0.003179798
542.5	0.003066445
543	0.002978249
543.5	0.002918027
544	0.002867867
544.5	0.002719327
545	0.00259279
545.5	0.002435794
546	0.002333595
546.5	0.002356478
547	0.002427187
547.5	0.002455161
548	0.002445008
548.5	0.002377148
549	0.002388665
549.5	0.002389787
550	0.002434127
550.5	0.002376178
551	0.002272616
551.5	0.002177478
552	0.0020547
552.5	0.001915738
553	0.001773411
553.5	0.001686063
554	0.00169167
554.5	0.001581015
555	0.001443931
555.5	0.001370071
556	0.001381103
556.5	0.001480816
557	0.001590865
557.5	0.00161987
558	0.001590804
558.5	0.00163169
559	0.001672818
559.5	0.001600412
560	0.001564982
560.5	0.00150867
561	0.001453236
561.5	0.001465723
562	0.001429778
562.5	0.001432839
563	0.001468845
563.5	0.001477119
564	0.001413472
564.5	0.001267963
565	0.001214681
565.5	0.001227895
566	0.001242837
566.5	0.001195435
567	0.001031741
567.5	0.000832253
568	0.000577968
568.5	0.000375874
569	0.000308832
569.5	0.000273057
570	0.000314864
570.5	0.00033023
571	0.000318046
571.5	0.000256945
572	0.000289981
572.5	0.000366054
573	0.000398999
573.5	0.000434338
574	0.000550449
574.5	0.000593183
575	0.000608913
575.5	0.000582181
576	0.000563269
576.5	0.000551297
577	0.000570573
577.5	0.000595517
578	0.000550085
578.5	0.000564057
579	0.000534688
579.5	0.000465313
580	0.000424033
580.5	0.000480922
581	0.000572664
581.5	0.000598517
582	0.000660376
582.5	0.00072372
583	0.000610125
583.5	0.000451977
584	0.00042764
584.5	0.000536022
585	0.000545811
585.5	0.000517685
586	0.000459827
586.5	0.000415032
587	0.000382451
587.5	0.000300255
588	0.000286095
588.5	0.000351294
589	0.000540568
589.5	0.00058206
590	0.000535264
590.5	0.000577453
591	0.000599608
591.5	0.000546448
592	0.000495409
592.5	0.000467495
593	0.000314045
593.5	0.000155901
594	0.000123138
594.5	8.42159E-05
595	8.03698E-05
595.5	0
596	0
596.5	0
597	0
597.5	0
598	0
598.5	0.000142859
599	0.000180311
599.5	0.000163423
600	0.00006721
600.5	5.54535E-05
601	0.000139568
601.5	0.000231947
602	0.000311075
602.5	0.000242485
603	7.80028E-05
603.5	0
604	0
604.5	0
605	0
605.5	0
606	0
606.5	0
607	0
607.5	0
608	0
608.5	0
609	0
609.5	0
610	3.09555E-05
610.5	0.000102167
611	0.000213592
611.5	0.000319895
612	0.000295648
612.5	0.000250216
613	0.000224982
613.5	0.000153673
614	4.05025E-05
614.5	0
615	0
615.5	0
616	0
616.5	0
617	0
617.5	0
618	0
618.5	0
619	0
619.5	0
620	0
620.5	0
621	0
621.5	1.60075E-05
622	7.90514E-05
622.5	0.000179586
623	0.000266283
623.5	0.00024644
624	0.000181729
624.5	0.000304377
625	0.000403424
625.5	0.000430125
626	0.000387755
626.5	0.000288617
627	0.000157562
627.5	0
628	0
628.5	0
629	0
629.5	0
630	0
630.5	0
631	0
631.5	0
632	0
632.5	0
633	0
633.5	0
634	0
634.5	0
635	0
635.5	0
636	4.60126E-05
636.5	0.000137949
637	0.000168206
637.5	0.000270956
638	0.000314864
638.5	0.000237051
639	0.00015978
639.5	0.000175255
640	0.000152052
640.5	9.11365E-06
641	0
641.5	0
642	0
642.5	0
643	0
643.5	0
644	0
644.5	0
645	0
645.5	0
646	0
646.5	2.05931E-05
647	0.000141753
647.5	0.000256851
648	0.000278182
648.5	0.000357689
649	0.000363448
