Wavelength_nm	Transmission
350	0.001432354
351	0.001412078
352	0.001388468
353	0.001457267
354	0.001387952
355	0.001208498
356	0.000987885
357	0.000919935
358	0.000958547
359	0.00095788
360	0.001006646
361	0.001356038
362	0.001639601
363	0.001690458
364	0.001556556
365	0.001541402
366	0.001526582
367	0.001248808
368	0.001051017
369	0.001011071
370	0.001297755
371	0.001578257
372	0.001739981
373	0.002085827
374	0.002232003
375	0.002395091
376	0.002419034
377	0.002230124
378	0.002052579
379	0.001947864
380	0.002079644
381	0.002162021
382	0.002029969
383	0.002184086
384	0.002552905
385	0.002950972
386	0.00299807
387	0.003030379
388	0.003320124
389	0.003446812
390	0.00337771
391	0.003106452
392	0.002940182
393	0.00308463
394	0.003069779
395	0.003181616
396	0.003538343
397	0.003847485
398	0.004054187
399	0.004109347
400	0.004315442
401	0.004394243
402	0.004353934
403	0.004448192
404	0.004563969
405	0.004642467
406	0.004776732
407	0.005040715
408	0.005175283
409	0.00529197
410	0.00559202
411	0.005925409
412	0.006301836
413	0.006685233
414	0.007387775
415	0.008144568
416	0.008871963
417	0.009637545
418	0.010459198
419	0.011571809
420	0.012675024
421	0.013977363
422	0.015667343
423	0.017567964
424	0.019869561
425	0.022408168
426	0.025309563
427	0.028510099
428	0.032128886
429	0.036399298
430	0.041469844
431	0.047152613
432	0.053453668
433	0.060809445
434	0.069626072
435	0.079645932
436	0.090535633
437	0.1027498
438	0.11647634
439	0.13123032
440	0.14690568
441	0.1633751
442	0.1807174
443	0.19903864
444	0.21882378
445	0.23937267
446	0.26002461
447	0.28171309
448	0.30527764
449	0.33094861
450	0.35901391
451	0.39004941
452	0.4244188
453	0.46336471
454	0.50840255
455	0.55716829
456	0.60735851
457	0.66242834
458	0.72201407
459	0.78053902
460	0.83212341
461	0.87831296
462	0.91880459
463	0.95108272
464	0.97669307
465	0.99424146
466	1
467	0.99305944
468	0.97584444
469	0.94486956
470	0.89925586
471	0.84809578
472	0.79911789
473	0.75132201
474	0.7034049
475	0.65803366
476	0.61611756
477	0.57404991
478	0.53089117
479	0.49012677
480	0.45345396
481	0.42072121
482	0.3900191
483	0.36252965
484	0.33831347
485	0.31582486
486	0.29338171
487	0.27158109
488	0.25089278
489	0.23116827
490	0.21224995
491	0.19499251
492	0.17989605
493	0.1663362
494	0.15402202
495	0.14302624
496	0.13279725
497	0.12304107
498	0.11437902
499	0.10634434
500	0.098536973
501	0.091399414
502	0.085265054
503	0.079348912
504	0.073141813
505	0.067413581
506	0.061994492
507	0.056514787
508	0.051362409
509	0.046801039
510	0.042566997
511	0.038629975
512	0.03524759
513	0.032231934
514	0.029505114
515	0.026981055
516	0.024767957
517	0.022977354
518	0.0212407
519	0.019648009
520	0.018146243
521	0.016966954
522	0.015745235
523	0.014470779
524	0.013503041
525	0.012725941
526	0.011927929
527	0.0111972
528	0.010588917
529	0.009975178
530	0.00932416
531	0.008744063
532	0.008131536
533	0.00710591
534	0.006337296
535	0.005894495
536	0.005428356
537	0.004794614
538	0.004324535
539	0.004187845
540	0.003960231
541	0.003604414
542	0.003179798
543	0.002978249
544	0.002867867
545	0.00259279
546	0.002333595
547	0.002427187
548	0.002445008
549	0.002388665
550	0.002434127
551	0.002272616
