lambda	exc	em
400	4.5283	0
401	4.5283	0
402	4.5283	0
403	4.5283	0
404	4.40252	0
405	4.27673	0
406	4.27673	0
407	4.27673	0
408	4.27673	0
409	4.27673	0
410	4.27673	0
411	4.02516	0
412	4.15094	0
413	4.02516	0
414	3.89937	0
415	3.89937	0
416	3.89937	0
417	3.89937	0
418	3.89937	0
419	3.89937	0
420	3.6478	0
421	3.6478	0
422	3.6478	0
423	3.6478	0
424	3.6478	0
425	3.6478	0
426	3.6478	0
427	3.6478	0
428	3.6478	0
429	3.6478	0
430	3.6478	0
431	3.6478	0
432	3.6478	0
433	3.6478	0
434	3.6478	0
435	3.6478	0
436	3.6478	0
437	3.6478	0
438	3.77358	0
439	3.77358	0
440	3.77358	0
441	3.89937	0
442	3.89937	0
443	3.89937	0
444	3.89937	0
445	3.89937	0
446	3.89937	0
447	3.89937	0
448	4.02516	0
449	4.27673	0
450	4.27673	0
451	4.27673	0
452	4.27673	0
453	4.27673	0
454	4.5283	0
455	4.5283	0
456	4.65409	0
457	4.77987	0
458	4.90566	0
459	4.90566	0
460	4.90566	0
461	5.03145	0
462	5.28302	0
463	5.28302	0
464	5.4088	0
465	5.53459	0
466	5.66038	0
467	5.91195	0
468	5.91195	0
469	6.16352	0
470	6.28931	0
471	6.54088	0
472	6.54088	0
473	6.91824	0
474	7.04403	0
475	7.2956	0
476	7.54717	0
477	7.79874	0
478	7.92453	0
479	8.1761	0
480	8.55346	0
481	8.93082	0
482	9.18239	0
483	9.55975	0
484	9.68553	0
485	10.0629	0
486	10.3145	0
487	10.6918	0
488	11.0692	0
489	11.3208	0
490	11.6981	0
491	12.2013	0
492	12.5786	0
493	12.8302	0
494	13.3333	0
495	13.8365	0
496	14.2138	0
497	14.8428	0
498	15.3459	0
499	15.8491	0
500	16.478	0
501	17.1069	0
502	17.8616	0
503	18.6164	0
504	19.4969	0
505	20.1258	0
506	21.1321	0
507	22.1384	0
508	22.8931	0
509	24.0252	0
510	25.0314	0
511	26.0377	0
512	27.1698	0
513	28.4277	0
514	29.434	0
515	30.6918	0
516	31.6981	0
517	32.8302	0
518	33.9623	0
519	34.9686	0
520	35.9748	0
521	36.9811	0
522	37.6101	0
523	38.6164	0
524	39.2453	0
525	40	0
526	40.6289	0
527	41.2579	0
528	41.8868	0
529	42.6415	0
530	43.2704	0
531	43.8994	0
532	44.7799	0
533	45.5346	0
534	46.1635	0
535	47.1698	0
536	48.3019	0
537	49.5597	0
538	50.8176	0
539	52.2013	0
540	53.8365	0
541	55.4717	0
542	57.4843	0
543	59.4969	0
544	61.761	0
545	64.0252	0
546	66.5409	0
547	69.0566	0
548	71.8239	0
549	74.8428	0
550	77.8616	5.382352941
551	80.7547	5.441176471
552	83.8994	5.926470588
553	86.9182	6.794117647
554	89.6855	8.044117647
555	92.327	9.647058824
556	94.717	11.57352941
557	96.9811	13.80882353
558	98.3648	16.32352941
559	99.4969	19.11764706
560	100	22.05882353
561	100	25.29411765
562	99.2453	28.82352941
563	97.7358	32.5
564	95.9748	36.47058824
565	93.3333	40.29411765
566	90.3145	44.41176471
567	87.044	48.23529412
568	83.3962	52.35294118
569	79.3711	56.32352941
570	75.4717	60.14705882
571	71.195	63.97058824
572	67.044	67.64705882
573	63.0189	71.02941176
574	59.2453	74.26470588
575	55.2201	77.64705882
576	51.8239	80.44117647
577	48.6792	83.08823529
578	45.5346	85.58823529
579	42.3899	87.5
580	39.7484	89.41176471
581	37.1069	91.17647059
582	34.5912	92.94117647
583	32.4528	94.41176471
584	30.4403	95.44117647
585	28.4277	96.47058824
586	26.6667	97.5
587	25.0314	97.94117647
588	23.522	98.67647059
589	22.0126	99.26470588
590	20.5031	99.55882353
591	19.2453	99.85294118
592	18.1132	100
593	16.8553	100
594	15.7233	100
595	14.5912	100
596	13.5849	99.85294118
597	12.5786	99.85294118
598	11.8239	99.26470588
599	10.8176	98.97058824
600	9.93711	98.38235294
601	9.18239	97.79411765
602	8.42767	97.35294118
603	7.79874	96.76470588
604	7.16981	96.02941176
605	6.54088	95.29411765
606	6.16352	94.55882353
607	5.53459	93.97058824
608	5.15723	93.08823529
609	4.77987	92.35294118
610	4.27673	91.61764706
611	3.89937	90.29411765
612	3.52201	89.11764706
613	3.39623	87.94117647
614	3.14465	86.61764706
615	2.89308	85.58823529
616	2.51572	84.26470588
617	2.51572	83.08823529
618	2.26415	81.76470588
619	2.13836	80.29411765
620	1.88679	78.82352941
621	1.88679	77.64705882
622	1.63522	76.17647059
623	1.50943	74.70588235
624	1.50943	73.23529412
625	1.50943	71.91176471
626	1.25786	70.44117647
627	1.25786	68.97058824
628	1.25786	67.64705882
