Wavelength_nm	Transmission
350	2.059e-07
351	2.6801e-07
352	2.7589e-07
353	9.8905e-08
354	5.098e-08
355	2.1253e-07
356	6.9705e-07
357	3.6083e-07
358	1.9871e-07
359	2.1877e-07
360	2.3406e-07
361	8.1929e-08
362	3.4792e-08
363	3.4614e-08
364	3.8908e-08
365	8.5958e-08
366	1.6748e-07
367	1.2984e-07
368	1.0906e-07
369	2.0794e-07
370	3.7444e-07
371	9.9558e-08
372	3.3524e-08
373	3.2871e-08
374	3.3935e-08
375	4.6912e-08
376	6.3827e-08
377	7.7186e-08
378	9.286e-08
379	1.0596e-07
380	1.1778e-07
381	5.4264e-08
382	3.3691e-08
383	8.537e-08
384	1.6423e-07
385	6.1427e-08
386	2.6684e-08
387	3.667e-08
388	5.0885e-08
389	7.8409e-08
390	1.1632e-07
391	4.6254e-08
392	2.7069e-08
393	1.005e-07
394	2.9465e-07
395	2.1214e-07
396	1.4054e-07
397	4.9098e-08
398	2.0085e-08
399	4.3033e-08
400	9.2604e-08
401	2.2943e-07
402	4.5452e-07
403	3.2059e-07
404	2.4668e-07
405	3.1066e-07
406	3.6725e-07
407	2.7526e-07
408	2.0284e-07
409	1.2711e-07
410	7.8834e-08
411	3.6507e-08
412	1.9241e-08
413	1.8902e-08
414	1.8582e-08
415	1.8339e-08
416	1.8096e-08
417	1.7827e-08
418	1.8577e-08
419	3.3485e-08
420	5.7787e-08
421	2.8964e-08
422	1.8238e-08
423	3.555e-08
424	6.5447e-08
425	8.556e-08
426	9.6797e-08
427	3.6774e-08
428	1.6515e-08
429	3.792e-08
430	8.5028e-08
431	9.7282e-08
432	9.4853e-08
433	4.2827e-08
434	2.0645e-08
435	1.455e-08
436	1.0707e-08
437	1.0719e-08
438	1.1712e-08
439	2.8352e-08
440	6.4037e-08
441	2.501e-08
442	1.1429e-08
443	1.1435e-08
444	1.138e-08
445	1.097e-08
446	1.0604e-08
447	1.0464e-08
448	1.0459e-08
449	1.1775e-08
450	1.3618e-08
451	3.118e-08
452	6.4049e-08
453	7.5669e-08
454	7.4914e-08
455	2.527e-08
456	9.7385e-09
457	9.9703e-09
458	1.0198e-08
459	1.0339e-08
460	1.046e-08
461	1.0039e-08
462	1.0592e-08
463	1.8062e-08
464	2.9133e-08
465	3.3754e-08
466	3.8924e-08
467	4.3425e-08
468	5.036e-08
469	8.1531e-08
470	1.3095e-07
471	1.7539e-07
472	2.2331e-07
473	2.2041e-07
474	2.0714e-07
475	1.4617e-07
476	1.086e-07
477	1.1494e-07
478	1.263e-07
479	1.8907e-07
480	2.6939e-07
481	1.3457e-07
482	8.0032e-08
483	1.1807e-07
484	1.6958e-07
485	2.0748e-07
486	2.4477e-07
487	2.239e-07
488	1.9912e-07
