Wavelength_nm	Transmission
350	4.5853e-08
351	4.6152e-08
352	4.6348e-08
353	4.6544e-08
354	4.6742e-08
355	9.299e-08
356	2.0602e-07
357	4.5643e-07
358	9.2327e-07
359	1.1153e-06
360	1.3472e-06
361	1.6273e-06
362	1.46e-06
363	8.9288e-07
364	5.4607e-07
365	3.3396e-07
366	1.2053e-07
367	4.8959e-08
368	1.0053e-07
369	2.0642e-07
370	4.2385e-07
371	6.5613e-07
372	5.955e-07
373	5.4048e-07
374	4.9053e-07
375	3.1317e-07
376	1.6203e-07
377	8.3835e-08
378	4.3376e-08
379	5.6065e-08
380	7.9599e-08
381	1.1301e-07
382	1.3907e-07
383	9.3389e-08
384	6.2713e-08
385	4.2113e-08
386	3.6863e-08
387	4.3251e-08
388	5.0745e-08
389	5.9539e-08
390	6.4468e-08
391	6.8076e-08
392	7.1887e-08
393	1.2585e-08
394	2.2375e-08
395	3.978e-08
396	7.0723e-08
397	1e-07
398	1e-07
399	1e-07
400	1e-07
401	1e-07
402	1e-07
403	1e-07
404	1e-07
405	7.9524e-08
406	6.2931e-08
407	4.98e-08
408	4.4762e-08
409	5.6575e-08
410	7.1506e-08
411	9.0377e-08
412	1e-07
413	1e-07
414	1e-07
415	1e-07
416	1e-07
417	1e-07
418	1e-07
419	1e-07
420	1e-07
421	1e-07
422	1e-07
423	1e-07
424	1e-07
425	1e-07
426	1e-07
427	1e-07
428	7.7501e-08
429	5.0241e-08
430	3.2569e-08
431	2.1893e-08
432	2.9755e-08
433	4.0439e-08
434	5.496e-08
435	7.4694e-08
436	1e-07
437	1e-07
438	1e-07
439	1e-07
440	1e-07
441	9.9014e-08
442	8.122e-08
443	6.6623e-08
444	5.465e-08
445	4.4828e-08
446	3.7161e-08
447	3.7486e-08
448	3.7814e-08
449	3.8144e-08
450	3.8477e-08
451	3.918e-08
452	4.7347e-08
453	5.7216e-08
454	6.9142e-08
455	8.3554e-08
456	1e-07
457	1e-07
458	1e-07
459	1e-07
460	1e-07
461	1.0028e-07
462	1.0594e-07
463	1.1192e-07
464	1.1824e-07
465	1.2491e-07
466	1.3295e-07
467	1.6356e-07
468	2.0122e-07
469	2.4754e-07
470	3.0453e-07
471	3.7095e-07
472	3.7312e-07
473	3.753e-07
474	3.7749e-07
475	3.7969e-07
476	3.8172e-07
477	3.8004e-07
478	3.7836e-07
479	3.7668e-07
480	3.7502e-07
481	3.7524e-07
482	4.1767e-07
483	4.6489e-07
484	5.1746e-07
485	1.8572e-07
486	2.3252e-08
487	1.3992e-07
488	1.1993e-07
489	1.2532e-07
490	3.5344e-08
491	1.3723e-07
492	1.6127e-07
493	1.6316e-08
494	1.3545e-07
495	3.9013e-08
496	2.9549e-08
497	2.4115e-07
498	2.8603e-07
499	5.5039e-07
500	2.697e-06
501	5.0344e-05
502	0.00301
503	0.50523
504	0.95095
505	0.96758
506	0.96842
507	0.96838
508	0.9719
509	0.97936
510	0.97977
511	0.98027
512	0.97842
513	0.97827
514	0.98155
515	0.98259
516	0.98462
517	0.98707
518	0.98425
519	0.98367
520	0.98623
521	0.9861
522	0.98452
523	0.98486
524	0.98479
525	0.98452
526	0.98564
527	0.98443
528	0.97873
529	0.97633
530	0.97565
531	0.96708
532	0.96006
533	0.95454
534	0.93604
535	0.93352
536	0.75141
537	0.6389
538	0.06285
539	0.00191
540	0.00014487
541	2.1749e-05
542	4.7933e-06
543	1.8371e-06
544	8.1029e-07
545	4.4912e-07
546	2.6737e-07
547	2.7965e-07
548	3.3054e-07
549	1.4846e-07
550	1.7788e-07
551	1.0777e-07
552	1.9802e-07
553	2.1673e-07
554	2.1037e-07
555	1.9211e-07
556	1.7543e-07
557	1.6115e-07
558	1.5309e-07
559	1.4542e-07
560	1.3814e-07
561	1.3123e-07
562	1.2506e-07
563	1.2034e-07
564	1.1579e-07
565	1.1142e-07
566	1.0722e-07
567	1.0443e-07
568	1.041e-07
569	1.0378e-07
570	1.0345e-07
571	1.0312e-07
572	1.004e-07
573	9.4927e-08
574	8.975e-08
575	8.4856e-08
576	8.0228e-08
577	7.957e-08
578	8.2106e-08
579	8.4724e-08
580	8.7425e-08
581	9.0212e-08
582	8.4686e-08
583	7.5499e-08
584	6.7309e-08
585	6.0007e-08
586	5.3498e-08
587	5.5414e-08
588	6.0376e-08
589	6.5782e-08
590	7.1671e-08
591	7.8088e-08
592	8.0647e-08
593	8.2489e-08
594	8.4373e-08
595	8.63e-08
596	8.827e-08
597	8.8324e-08
598	8.8269e-08
599	8.8214e-08
600	8.8158e-08
601	8.8202e-08
602	9.0216e-08
603	9.2277e-08
604	9.4384e-08
605	9.654e-08
606	9.4939e-08
607	8.5148e-08
608	7.6367e-08
609	6.8491e-08
610	6.9552e-08
611	7.2886e-08
612	7.6379e-08
613	9.3859e-08
614	1.4057e-07
615	2.1054e-07
616	3.1533e-07
617	3.3177e-07
618	3.2046e-07
619	3.0953e-07
620	2.9991e-07
621	2.9661e-07
622	2.9335e-07
623	2.9012e-07
624	2.8784e-07
625	2.8664e-07
626	2.8544e-07
627	2.8425e-07
628	2.7471e-07
629	2.6342e-07
630	2.5259e-07
631	2.4242e-07
632	2.3415e-07
633	2.2615e-07
634	2.1844e-07
635	2.128e-07
636	2.0942e-07
637	2.0608e-07
638	2.028e-07
639	2.0075e-07
640	1.99e-07
641	1.9728e-07
642	1.9416e-07
643	1.8253e-07
644	1.716e-07
645	1.6132e-07
646	1.559e-07
647	1.5527e-07
648	1.5464e-07
649	1.5402e-07
650	1.5049e-07
651	1.4643e-07
652	1.4247e-07
653	1.3977e-07
654	1.4296e-07
655	1.4622e-07
656	1.4956e-07
657	1.4533e-07
658	1.3448e-07
659	1.2445e-07
660	1.1516e-07
661	1.1232e-07
662	1.1048e-07
663	1.0867e-07
664	1.0644e-07
665	1.0267e-07
666	9.9038e-08
667	9.5532e-08
668	9.0715e-08
669	8.5106e-08
670	7.9844e-08
671	7.4908e-08
672	5.4481e-08
673	3.8758e-08
674	1e-07
675	1e-07
676	1e-07
677	1e-07
678	1e-07
679	1e-07
680	1e-07
681	1e-07
682	1e-07
683	1e-07
684	1e-07
685	1e-07
686	1e-07
687	1e-07
688	1e-07
689	1e-07
690	1e-07
691	1e-07
692	1e-07
693	1e-07
694	1e-07
695	1e-07
696	1.0185e-07
697	1.2573e-07
698	1.552e-07
699	1.9159e-07
700	1.997e-07
701	1.6738e-07
702	1.4029e-07
703	1.1759e-07
704	1.9558e-07
705	3.9117e-07
706	7.8234e-07
707	1.2521e-06
708	5.214e-07
709	2.1711e-07
710	9.0407e-08
711	8.2031e-08
712	1.632e-07
713	3.2469e-07
714	6.4598e-07
715	6.4397e-07
716	5.7151e-07
717	5.072e-07
718	4.0934e-07
719	2.3401e-07
720	1.3378e-07
721	7.6476e-08
722	8.7382e-08
723	1.6554e-07
724	3.136e-07
725	5.941e-07
726	9.199e-07
727	1.4065e-06
728	2.1504e-06
729	2.3898e-06
730	1.2924e-06
731	6.9897e-07
732	3.7802e-07
733	3.4971e-07
734	4.1894e-07
735	5.0188e-07
736	6.2696e-07
737	1.9054e-06
738	5.7909e-06
739	5.7826e-06
740	1.8074e-05
741	2.76e-05
742	3.3933e-05
743	1.4443e-05
744	6.4334e-06
745	3.1302e-06
746	1.7801e-06
747	1.1711e-06
748	8.8495e-07
749	7.1068e-07
750	7.0998e-07
751	7.3694e-07
752	8.6567e-07
753	1.0833e-06
754	1.6713e-06
755	2.6943e-06
756	4.6246e-06
757	4.8907e-06
758	3.7043e-06
759	2.1425e-06
760	1.1448e-06
761	7.4278e-07
762	5.0617e-07
763	4.4364e-07
764	4.0181e-07
765	3.9038e-07
766	4.0701e-07
767	4.5512e-07
768	5.4028e-07
769	6.5918e-07
770	1.016e-06
771	1.6269e-06
772	2.7582e-06
773	4.2181e-06
774	4.6452e-06
775	4.312e-06
776	3.1765e-06
777	2.5562e-06
778	2.1761e-06
779	2.0047e-06
780	1.8843e-06
781	2.0435e-06
782	2.2579e-06
