Wavelength_nm	Transmission
350	5.937e-06
351	4.4016e-06
352	4.7034e-06
353	4.9432e-06
354	4.9529e-06
355	4.2546e-06
356	4.1802e-06
357	1.0471e-05
358	5.2113e-06
359	4.769e-06
360	1.2882e-05
361	4.5737e-06
362	6.9206e-06
363	6.7571e-06
364	1.8766e-05
365	1.5759e-05
366	6.8296e-06
367	1.6214e-05
368	1.069e-05
369	3.0934e-05
370	4.5337e-05
371	0.00013625
372	0.00051862
373	0.00039254
374	0.00094297
375	0.00070928
376	0.00090256
377	0.00629
378	0.00283
379	0.00216
380	0.00728
381	0.00273
382	0.00342
383	0.00218
384	0.00253
385	0.01849
386	0.07107
387	0.06196
388	0.01477
389	0.00645
390	0.0045
391	0.00427
392	0.00469
393	0.00753
394	0.01538
395	0.01965
396	0.01027
397	0.00435
398	0.0024
399	0.00167
400	0.00129
401	0.00124
402	0.00134
403	0.00162
404	0.00221
405	0.00353
406	0.00612
407	0.00898
408	0.00833
409	0.00509
410	0.00304
411	0.00214
412	0.00169
413	0.0015
414	0.00147
415	0.00163
416	0.00191
417	0.00256
418	0.00376
419	0.00594
420	0.0088
421	0.01023
422	0.0088
423	0.0064
424	0.00482
425	0.00405
426	0.00376
427	0.00348
428	0.00446
429	0.00561
430	0.00755
431	0.01053
432	0.01368
433	0.01465
434	0.01316
435	0.01075
436	0.00907
437	0.00819
438	0.00798
439	0.00879
440	0.01048
441	0.01319
442	0.01715
443	0.02118
444	0.02237
445	0.01997
446	0.01598
447	0.01267
448	0.01048
449	0.00931
450	0.00889
451	0.00885
452	0.00969
453	0.0111
454	0.0133
455	0.01607
456	0.01913
457	0.02163
458	0.02235
459	0.02145
460	0.01945
461	0.01734
462	0.01537
463	0.01431
464	0.01374
465	0.01357
466	0.01372
467	0.01431
468	0.01506
469	0.01589
470	0.01678
471	0.01745
472	0.01817
473	0.01859
474	0.01895
475	0.01936
476	0.01975
477	0.02014
478	0.02055
479	0.02099
480	0.02134
481	0.02126
482	0.02097
483	0.02034
484	0.01942
485	0.01874
486	0.01785
487	0.01713
488	0.01656
489	0.01639
490	0.01657
491	0.0169
492	0.01778
493	0.01909
494	0.02093
495	0.02359
496	0.02729
497	0.03239
498	0.03908
499	0.0488
500	0.06091
501	0.07676
502	0.10141
503	0.13571
504	0.18269
505	0.24244
506	0.3114
507	0.3795
508	0.43867
509	0.48606
510	0.53588
511	0.60053
512	0.69158
513	0.80253
514	0.89421
515	0.94303
516	0.95698
517	0.94918
518	0.9434
519	0.94585
520	0.94642
521	0.9515
522	0.95928
523	0.95977
524	0.96115
525	0.96066
526	0.96081
527	0.96272
528	0.96499
529	0.96555
530	0.96504
531	0.97106
532	0.97133
533	0.97472
534	0.97201
535	0.96849
536	0.96461
537	0.96075
538	0.95821
539	0.96025
540	0.95604
541	0.95434
542	0.95779
543	0.95997
544	0.96263
545	0.96303
546	0.96163
547	0.96057
548	0.95933
549	0.95921
550	0.95745
551	0.9588
552	0.95624
553	0.95883
554	0.95762
555	0.9595
556	0.96297
557	0.96314
558	0.96714
559	0.97028
560	0.97102
561	0.97613
562	0.97306
563	0.97178
564	0.973
565	0.9674
566	0.96618
567	0.96582
568	0.96474
569	0.96108
570	0.96525
571	0.96432
572	0.96558
573	0.9692
574	0.97036
575	0.97603
576	0.9762
577	0.97829
578	0.97993
579	0.97765
580	0.97912
581	0.97137
582	0.97148
583	0.96883
584	0.96646
585	0.96155
586	0.95921
587	0.95865
588	0.96011
589	0.95983
590	0.95988
591	0.96434
592	0.96859
593	0.96791
594	0.97352
595	0.9732
596	0.97678
597	0.97551
598	0.9767
599	0.97578
600	0.97342
601	0.97175
602	0.97166
603	0.96567
604	0.95789
605	0.96138
606	0.95873
607	0.95349
608	0.95308
609	0.95228
610	0.95437
611	0.95854
612	0.95752
613	0.96017
614	0.96227
615	0.96512
616	0.96688
617	0.96626
618	0.96913
619	0.97046
620	0.9699
621	0.97034
622	0.97124
623	0.97018
624	0.96285
625	0.96597
626	0.96524
627	0.96099
628	0.96198
629	0.95914
630	0.96266
631	0.95993
632	0.9565
633	0.95688
634	0.95972
635	0.96308
636	0.9673
637	0.96877
638	0.96638
639	0.9716
640	0.97034
641	0.97384
642	0.9756
643	0.97562
644	0.97278
645	0.97374
646	0.96927
647	0.96748
648	0.97023
649	0.96521
650	0.96367
651	0.96302
652	0.9646
653	0.95918
654	0.96118
655	0.96082
656	0.96186
657	0.96298
658	0.9631
659	0.9627
660	0.96256
661	0.96515
662	0.9643
663	0.96608
664	0.96749
665	0.96758
666	0.96955
667	0.9701
668	0.96576
669	0.96489
670	0.96093
671	0.95664
672	0.9602
673	0.9616
674	0.96403
675	0.96339
676	0.95971
677	0.96067
678	0.95962
679	0.96386
680	0.96239
681	0.96479
682	0.96524
683	0.96507
684	0.96922
685	0.96995
686	0.97332
687	0.96994
688	0.97039
689	0.97522
690	0.97494
691	0.97408
692	0.97244
693	0.97008
694	0.97355
695	0.97367
696	0.9684
697	0.96865
698	0.97028
699	0.96556
700	0.96329
701	0.96327
702	0.96205
703	0.96527
704	0.96109
705	0.95999
706	0.96082
707	0.95961
708	0.95759
709	0.95843
710	0.96014
711	0.95722
712	0.95984
713	0.95908
714	0.95961
715	0.95368
716	0.96061
717	0.95921
718	0.95894
719	0.95865
720	0.95662
721	0.96061
722	0.9633
723	0.96485
724	0.96241
725	0.96642
726	0.96567
727	0.96302
728	0.96329
729	0.97513
730	0.96748
731	0.97084
732	0.96948
733	0.97095
734	0.96673
735	0.97334
736	0.97254
737	0.97273
738	0.97715
739	0.96841
740	0.97316
741	0.97199
742	0.97153
743	0.97227
744	0.97338
745	0.97121
746	0.97015
747	0.97765
748	0.97063
749	0.96708
750	0.96078
751	0.95953
752	0.96249
753	0.95954
754	0.95819
755	0.95771
756	0.96093
757	0.96132
758	0.96051
759	0.96018
760	0.96304
761	0.96993
762	0.96819
763	0.96899
764	0.9694
765	0.97477
766	0.97503
767	0.98067
768	0.97193
769	0.97874
770	0.97998
771	0.98036
772	0.97596
773	0.97381
774	0.97347
775	0.97821
776	0.97112
777	0.96967
778	0.97084
779	0.96666
780	0.96486
781	0.95947
782	0.95999
783	0.96047
784	0.959
785	0.96006
786	0.9629
787	0.95916
788	0.96172
789	0.9654
790	0.96421
791	0.95695
792	0.96526
793	0.9682
794	0.97454
795	0.97293
796	0.97776
797	0.97734
798	0.97463
799	0.97552
800	0.97646
801	0.97527
802	0.96602
803	0.95992
804	0.94736
805	0.92751
806	0.91325
807	0.87696
808	0.84136
809	0.80133
810	0.7557
811	0.70981
812	0.65832
813	0.60943
814	0.56978
815	0.52998
816	0.49736
817	0.4699
818	0.44667
819	0.42904
820	0.41405
821	0.40486
822	0.39899
823	0.39273
824	0.3866
825	0.38361
826	0.38811
827	0.38709
828	0.38974
829	0.38276
830	0.38006
831	0.37334
832	0.36218
833	0.34721
834	0.32728
835	0.30196
836	0.27835
837	0.24778
838	0.21998
839	0.19402
840	0.16885
841	0.14304
842	0.12383
843	0.10626
844	0.09121
845	0.07808
846	0.0664
847	0.05706
848	0.04936
849	0.04232
850	0.03662
