Wavelength (nm)	%T
300	13.4658
300.2	8.4545
300.5	5.5258
300.8	3.8054
301	2.7538
301.2	2.0818
301.5	1.6352
301.8	1.3286
302	1.1128
302.2	0.9588
302.5	0.8487
302.8	0.7717
303	0.7217
303.2	0.696
303.5	0.6947
303.8	0.7168
304	0.7473
304.2	0.7475
304.5	0.7088
304.8	0.6736
305	0.6666
305.2	0.6887
305.5	0.7376
305.8	0.8138
306	0.9201
306.2	1.0595
306.5	1.2305
306.8	1.4176
307	1.5785
307.2	1.6466
307.5	1.5717
307.8	1.2842
308	0.9437
308.2	0.6763
308.5	0.4938
308.8	0.3733
309	0.293
309.2	0.2385
309.5	0.2008
309.8	0.1743
310	0.1556
310.2	0.1425
310.5	0.1338
310.8	0.1285
311	0.1262
311.2	0.1268
311.5	0.1302
311.8	0.137
312	0.1479
312.2	0.1649
312.5	0.1917
312.8	0.2387
313	0.3412
313.2	0.6646
313.5	1.1147
313.8	0.6957
314	0.6521
314.2	0.8086
314.5	1.16
314.8	1.8737
315	3.3866
315.2	5.6838
315.5	7.7563
315.8	6.6177
316	4.248
316.2	2.7
316.5	1.8587
316.8	1.4111
317	1.1732
317.2	0.9712
317.5	0.7727
317.8	0.645
318	0.5708
318.2	0.5286
318.5	0.5083
318.8	0.5057
319	0.5199
319.2	0.5523
319.5	0.6066
319.8	0.6895
320	0.8104
320.2	0.9796
320.5	1.1965
320.8	1.4172
321	1.5189
321.2	1.385
321.5	1.0831
321.8	0.7777
322	0.5465
322.2	0.3892
322.5	0.2846
322.8	0.2145
323	0.1664
323.2	0.1326
323.5	0.1083
323.8	0.0904
324	0.0771
324.2	0.0669
324.5	0.0591
324.8	0.0532
325	0.0485
325.2	0.0448
325.5	0.042
325.8	0.0399
326	0.0384
326.2	0.0374
326.5	0.0368
326.8	0.0368
327	0.0372
327.2	0.0381
327.5	0.0396
327.8	0.0419
328	0.0451
328.2	0.0497
328.5	0.0564
328.8	0.0659
329	0.0777
329.2	0.0877
329.5	0.0931
329.8	0.0986
330	0.1083
330.2	0.1238
330.5	0.1463
330.8	0.1781
331	0.2226
331.2	0.2858
331.5	0.3775
331.8	0.5136
332	0.722
332.2	1.0514
332.5	1.5905
332.8	2.5027
333	4.0878
333.2	6.8607
333.5	11.5519
333.8	18.7449
334	28.0163
334.2	37.2575
334.5	42.2004
334.8	37.4215
335	24.4416
335.2	14.3557
335.5	8.262
335.8	4.9159
336	3.0733
336.2	2.0203
336.5	1.3909
336.8	0.9977
337	0.7423
337.2	0.5704
337.5	0.4512
337.8	0.3663
338	0.3047
338.2	0.259
338.5	0.2248
338.8	0.199
339	0.1795
339.2	0.1649
339.5	0.1543
339.8	0.1471
340	0.1432
340.2	0.1427
340.5	0.1468
340.8	0.1594
341	0.197
341.2	0.3975
341.5	1.1098
341.8	0.286
342	0.2261
342.2	0.2346
342.5	0.2676
342.8	0.3239
343	0.4149
343.2	0.5677
343.5	0.8458
343.8	1.4192
344	2.8138
344.2	6.4093
344.5	8.1865
344.8	3.7985
345	1.7179
345.2	0.9308
345.5	0.582
345.8	0.4028
346	0.2984
346.2	0.2338
346.5	0.1926
346.8	0.1671
347	0.1512
347.2	0.1343
347.5	0.115
347.8	0.1005
348	0.091
348.2	0.0847
348.5	0.0806
348.8	0.0783
349	0.0773
349.2	0.0776
349.5	0.0792
349.8	0.0822
350	0.0867
350.2	0.0929
350.5	0.1014
350.8	0.1127
351	0.1277
351.2	0.1473
351.5	0.1729
351.8	0.2061
352	0.2475
352.2	0.2953
352.5	0.3418
352.8	0.372
353	0.3708
353.2	0.3368
353.5	0.2846
353.8	0.231
354	0.1849
354.2	0.1482
354.5	0.1201
354.8	0.0989
355	0.0829
355.2	0.0707
355.5	0.0614
355.8	0.0541
356	0.0485
356.2	0.0441
356.5	0.0406
356.8	0.0379
357	0.0357
357.2	0.0342
357.5	0.033
357.8	0.0323
358	0.0319
358.2	0.0319
358.5	0.0322
358.8	0.0329
359	0.034
359.2	0.0355
359.5	0.0374
359.8	0.04
360	0.0432
360.2	0.0472
360.5	0.0523
360.8	0.0586
361	0.0665
361.2	0.0764
361.5	0.0887
361.8	0.1039
362	0.1224
362.2	0.1443
362.5	0.1686
362.8	0.1933
363	0.2146
363.2	0.2283
363.5	0.2318
363.8	0.2253
364	0.2119
364.2	0.1954
364.5	0.1789
364.8	0.1641
365	0.1519
365.2	0.1426
365.5	0.1363
365.8	0.1328
366	0.1325
366.2	0.1354
366.5	0.1424
366.8	0.1547
367	0.1745
367.2	0.2064
367.5	0.2705
367.8	0.3518
368	0.5373
368.2	0.991
368.5	2.5312
368.8	7.1285
369	2.6492
369.2	0.8003
369.5	0.3439
369.8	0.1816
370	0.1086
370.2	0.0706
370.5	0.0486
370.8	0.0351
371	0.0262
371.2	0.0201
371.5	0.0158
371.8	0.0127
372	0.0104
372.2	0.0086
372.5	0.0072
372.8	0.0062
373	0.0053
373.2	0.0046
373.5	0.004
373.8	0.0036
374	0.0032
374.2	0.0028
374.5	0.0026
374.8	0.0023
375	0.0021
375.2	0.002
375.5	0.0018
375.8	0.0017
376	0.0016
376.2	0.0015
376.5	0.0014
376.8	0.0013
377	0.0012
377.2	0.0012
377.5	0.0011
377.8	0.0011
378	0.001
378.2	0.001
378.5	0.001
378.8	0.0009
379	0.0009
379.2	0.0009
379.5	0.0009
379.8	0.0009
380	0.0008
380.2	0.0008
380.5	0.0008
380.8	0.0008
381	0.0008
381.2	0.0008
381.5	0.0008
381.8	0.0008
382	0.0008
382.2	0.0008
382.5	0.0008
382.8	0.0008
383	0.0008
383.2	0.0008
383.5	0.0008
383.8	0.0008
384	0.0008
384.2	0.0008
384.5	0.0008
384.8	0.0008
385	0.0008
385.2	0.0008
385.5	0.0008
385.8	0.0008
386	0.0008
386.2	0.0008
386.5	0.0008
386.8	0.0008
387	0.0008
387.2	0.0008
387.5	0.0008
387.8	0.0008
388	0.0008
