Wavelength (nm)	%T
1200	58.94736099
1199.5	59.92606735
1199	61.10277176
1198.5	62.47942352
1198	63.90637207
1197.5	65.65649414
1197	67.55795288
1196.5	69.46526337
1196	71.7691803
1195.5	74.15007019
1195	76.5039444
1194.5	78.92332458
1194	81.33422852
1193.5	83.70311737
1193	85.90927124
1192.5	88.03943634
1192	89.78782654
1191.5	91.16320038
1191	92.18805695
1190.5	92.75369263
1190	92.86619568
1189.5	92.45568848
1189	91.55286407
1188.5	90.29873657
1188	88.67900085
1187.5	86.74375153
1187	84.61534119
1186.5	82.30823517
1186	79.84593201
1185.5	77.4953537
1185	75.18498993
1184.5	72.94252777
1184	70.78507233
1183.5	68.87699127
1183	67.03837585
1182.5	65.39320374
1182	63.99400711
1181.5	62.6992836
1181	61.65848541
1180.5	60.82956314
1180	60.20516586
1179.5	59.7149353
1179	59.47429657
1178.5	59.44844055
1178	59.67360306
1177.5	60.06774139
1177	60.69648361
1176.5	61.56042099
1176	62.64876556
1175.5	63.91253662
1175	65.40518188
1174.5	67.1178894
1174	68.97238922
1173.5	71.09823608
1173	73.42945099
1172.5	76.06130219
1172	78.57936859
1171.5	81.32984161
1171	84.11670685
1170.5	86.7869339
1170	89.52799225
1169.5	91.93745422
1169	94.0322113
1168.5	95.79508972
1168	97.14820099
1167.5	97.95032501
1167	98.22642517
1166.5	97.86522675
1166	97.00702667
1165.5	95.73993683
1165	93.95539093
1164.5	91.88008118
1164	89.5273056
1163.5	86.98547363
1163	84.38154602
1162.5	81.93717194
1162	79.39248657
1161.5	76.92779541
1161	74.69386292
1160.5	72.58061218
1160	70.73442078
1159.5	69.11273193
1159	67.71123505
1158.5	66.43236542
1158	65.43874359
1157.5	64.72978973
1157	64.20148468
1156.5	63.95863342
1156	63.82948685
1155.5	63.99614334
1155	64.3433075
1154.5	64.98013306
1154	65.75479889
1153.5	66.85109711
1153	68.10235596
1152.5	69.5246048
1152	71.15890503
1151.5	72.93558502
1151	74.91156769
1150.5	77.12447357
1150	79.38863373
1149.5	81.61258698
1149	83.95600128
1148.5	86.3186264
1148	88.45420074
1147.5	90.58844757
1147	92.46817017
1146.5	93.99408722
1146	95.21133423
1145.5	96.12689209
1145	96.74678802
1144.5	96.82061768
1144	96.66177368
1143.5	95.94069672
1143	95.09996033
1142.5	94.10923004
1142	92.83370209
1141.5	91.43260193
1141	89.84668732
1140.5	88.34845734
1140	86.99230194
1139.5	85.67942047
1139	84.39240265
1138.5	83.19741058
1138	82.29235077
1137.5	81.59174347
1137	80.97950745
1136.5	80.56826782
1136	80.3453598
1135.5	80.36405182
1135	80.52670288
1134.5	80.94794464
1134	81.4901886
1133.5	82.17523956
1133	82.98629761
1132.5	83.92149353
1132	85.06291962
1131.5	86.09423828
1131	87.17777252
1130.5	88.11701202
1130	89.16041565
1129.5	90.29655457
1129	90.84680939
1128.5	91.37626648
1128	91.73214722
1127.5	91.84448242
1127	91.71650696
1126.5	91.31897736
1126	90.63341522
1125.5	89.83344269
1125	88.8192749
1124.5	87.81448364
1124	86.58709717
1123.5	85.29825592
1123	84.0552063
1122.5	82.95731354
1122	81.9817276
1121.5	80.97988129
1121	80.21985626
1120.5	79.59033203
1120	79.16092682
1119.5	79.0442276
1119	79.11174774
1118.5	79.29522705
1118	79.79399872
1117.5	80.59273529
1117	81.55596924
1116.5	82.79691315
1116	84.10255432
1115.5	85.55413818
1115	87.21292114
1114.5	88.98693085
1114	90.59793854
1113.5	92.04003906
1113	93.25843048
1112.5	94.27346802
1112	94.84401703
1111.5	94.64124298
1111	93.94400787
1110.5	92.63829803
1110	90.69248962
1109.5	88.27022552
1109	85.41735077
1108.5	81.98504639
1108	78.301651
1107.5	74.70674896
1107	71.1194458
1106.5	67.57287598
1106	64.07949066
1105.5	60.85064316
1105	57.86001587
1104.5	55.16294861
1104	52.84445953
1103.5	50.6617012
1103	48.79259872
1102.5	47.29751968
1102	45.97203064
1101.5	44.95623779
1101	44.1708374
1100.5	43.58514404
1100	43.31905365
1099.5	43.30136108
1099	43.48605728
1098.5	43.93302536
1098	44.58853149
1097.5	45.55299759
1097	46.78876114
1096.5	48.30949402
1096	50.00485611
1095.5	52.02695084
1095	54.42746735
1094.5	56.90937042
1094	59.72698212
1093.5	62.57680511
1093	65.48376465
1092.5	68.4121933
1092	71.2403183
1091.5	73.6071701
1091	75.37425995
1090.5	76.48431396
1090	76.899086
1089.5	76.57257843
1089	75.42718506
1088.5	73.52697754
1088	71.20100403
1087.5	68.51113129
1087	65.62976074
1086.5	62.85101318
1086	59.94365311
1085.5	57.24863434
1085	54.79050827
1084.5	52.74597931
1084	50.87913895
1083.5	49.33389282
1083	48.09863281
1082.5	47.17356491
1082	46.59133148
1081.5	46.35908127
1081	46.40470505
1080.5	46.7407608
1080	47.44220352
1079.5	48.49932861
1079	49.93725967
1078.5	51.67514038
1078	53.70371246
1077.5	56.15309906
1077	58.95858383
1076.5	61.97529602
1076	65.2834549
1075.5	68.55337524
1075	71.69430542
1074.5	74.70354462
1074	77.06668854
1073.5	78.70188141
1073	79.39942169
1072.5	79.09968567
1072	77.99701691
1071.5	76.04493713
1071	73.4366684
1070.5	70.3871994
1070	67.3634491
1069.5	64.2186203
1069	61.3520813
1068.5	58.85660172
1068	56.53855896
1067.5	54.7694397
1067	53.46807098
1066.5	52.61641693
1066	52.25244904
1065.5	52.36726379
1065	53.01752853
1064.5	54.3319931
1064	56.20650101
1063.5	58.68991089
1063	61.87375259
1062.5	65.80395508
1062	70.01626587
1061.5	74.85006714
1061	79.50735474
1060.5	83.1078186
1060	85.4355545
1059.5	85.35993195
1059	82.52360535
1058.5	77.16589355
1058	69.95853424
1057.5	61.71012497
1057	53.76777649
1056.5	46.13848114
1056	39.38130569
1055.5	33.91041946
1055	29.15529251
1054.5	25.35680008
1054	22.28473282
1053.5	19.7118721
1053	17.64463806
1052.5	16.00207138
1052	14.70466232
1051.5	13.64666176
1051	12.83938408
1050.5	12.20312405
1050	11.71956921
1049.5	11.42541885
1049	11.29559803
1048.5	11.28521442
1048	11.43066025
1047.5	11.71756935
1047	12.2309885
1046.5	12.95769405
1046	13.87943649
1045.5	15.15707207
1045	16.77659225
1044.5	18.84937859
1044	21.4459095
1043.5	24.65055466
1043	28.09171677
1042.5	31.43022346
1042	33.97399902
1041.5	34.63254547
1041	33.1196785
1040.5	29.62125778
1040	25.08925438
1039.5	20.80557251
1039	16.87958717
1038.5	13.65865898
1038	11.16618061
1037.5	9.186720848
1037	7.678225517
1036.5	6.512905121
1036	5.638761044
1035.5	4.938075542
1035	4.383741379
1034.5	3.968302965
1034	3.629734039
1033.5	3.368375778
1033	3.170890093
1032.5	3.019366503
1032	2.917924404
1031.5	2.854711294
1031	2.823750257
1030.5	2.830387592
1030	2.869107485
1029.5	2.938829422
1029	3.047109604
1028.5	3.186412573
1028	3.350818157
1027.5	3.539475441
1027	3.738168716
1026.5	3.91264081
1026	4.035621166
1025.5	4.070140362
1025	3.988707066
1024.5	3.768582582
1024	3.445535898
1023.5	3.067587614
1023	2.67130971
1022.5	2.284268379
1022	1.930141687
1021.5	1.643559337
1021	1.38822341
1020.5	1.180962801
1020	1.016155601
1019.5	0.877168417
1019	0.769666016
1018.5	0.684822261
