Wavelength	 Transmission
300	1.00E-10
300.5	1.00E-10
301	1.00E-10
301.5	1.43E-08
302	7.25E-07
302.5	3.24E-07
303	1.00E-10
303.5	1.00E-10
304	1.00E-10
304.5	1.00E-10
305	1.00E-10
305.5	1.00E-10
306	1.00E-10
306.5	1.00E-10
307	6.20E-08
307.5	1.00E-10
308	1.00E-10
308.5	1.00E-10
309	1.00E-10
309.5	1.00E-10
310	7.19E-08
310.5	1.00E-10
311	1.00E-10
311.5	1.00E-10
312	1.00E-10
312.5	2.51E-07
313	9.92E-07
313.5	1.00E-10
314	1.00E-10
314.5	1.00E-10
315	3.98E-07
315.5	3.40E-07
316	2.82E-07
316.5	6.03E-07
317	9.23E-07
317.5	5.38E-07
318	1.52E-07
318.5	2.97E-07
319	4.42E-07
319.5	1.49E-07
320	1.00E-10
320.5	5.17E-07
321	1.18E-06
321.5	7.04E-07
322	2.28E-07
322.5	1.00E-10
323	1.00E-10
323.5	1.00E-10
324	1.00E-10
324.5	1.00E-10
325	1.00E-10
325.5	1.44E-07
326	1.03E-06
326.5	1.04E-06
327	1.04E-06
327.5	4.69E-07
328	1.00E-10
328.5	1.63E-07
329	4.29E-07
329.5	1.00E-10
330	1.00E-10
330.5	1.00E-10
331	1.00E-10
331.5	1.00E-10
332	1.00E-10
332.5	1.00E-10
333	1.77E-07
333.5	1.00E-10
334	1.00E-10
334.5	1.00E-10
335	1.00E-10
335.5	1.00E-10
336	1.00E-10
336.5	1.00E-10
337	3.07E-07
337.5	9.75E-08
338	1.00E-10
338.5	1.52E-07
339	4.16E-07
339.5	6.63E-07
340	9.10E-07
340.5	3.59E-07
341	1.00E-10
341.5	1.00E-10
342	4.46E-08
342.5	1.00E-10
343	1.00E-10
343.5	2.84E-07
344	7.58E-07
344.5	1.58E-07
345	1.00E-10
345.5	1.00E-10
346	1.00E-10
346.5	1.00E-10
347	2.56E-07
347.5	1.93E-07
348	1.30E-07
348.5	4.23E-07
349	7.16E-07
349.5	1.23E-06
350	1.75E-06
350.5	1.03E-06
351	3.04E-07
351.5	1.00E-10
352	1.00E-10
352.5	1.25E-07
353	6.35E-07
353.5	1.14E-06
354	1.64E-06
354.5	1.12E-06
355	6.10E-07
355.5	1.02E-06
356	1.43E-06
356.5	3.91E-07
357	1.00E-10
357.5	5.21E-09
358	6.58E-07
358.5	7.04E-07
359	7.50E-07
359.5	4.94E-07
360	2.37E-07
360.5	4.90E-07
361	7.42E-07
361.5	1.01E-06
362	1.28E-06
362.5	9.30E-07
363	5.80E-07
363.5	1.09E-06
364	1.59E-06
364.5	8.78E-07
365	1.62E-07
365.5	5.90E-07
366	1.02E-06
366.5	9.25E-07
367	8.32E-07
367.5	4.49E-07
368	6.47E-08
368.5	1.10E-07
369	1.56E-07
369.5	2.21E-07
370	2.86E-07
370.5	1.05E-07
371	1.00E-10
371.5	4.92E-08
372	1.74E-07
372.5	1.52E-07
373	1.29E-07
373.5	1.68E-07
374	2.06E-07
374.5	4.28E-08
375	1.00E-10
375.5	1.00E-10
