Typical Measured Spectrum of Semrock LL02-561 Optical Filter	
For wavelengths between 320 and 1120 nm, values near or below 3e-7 (Optical Density 6.5) are measurement noise limited.
For wavelengths < 320 nm and > 1120 nm, values near or below 3e-6 (Optical Density 5.5) are measurement noise limited. 
Data format:  Wavelength (nm) <tab> Transmission (0 to 1)
250.0	0.01368
250.2	0.01289
250.4	0.01168
250.6	0.01058
250.8	0.00976
251.0	0.00952
251.2	0.0093
251.4	0.00907
251.6	0.00892
251.8	0.00878
252.0	0.00864
252.2	0.0084
252.4	0.00806
252.6	0.00772
252.8	0.00741
253.0	0.00727
253.2	0.00713
253.4	0.00699
253.6	0.00319
253.8	0.00102
254.0	3.2893e-04
254.2	9.1172e-04
254.4	8.1593e-04
254.6	2.1984e-04
254.8	3.1125e-04
255.0	6.3942e-04
255.2	7.0718e-04
255.4	8.7346e-04
255.6	0.00127
255.8	5.3041e-04
256.0	1.3871e-04
256.2	4.9422e-04
256.4	0.00122
256.6	0.0014
256.8	5.7153e-04
257.0	1.2661e-04
257.2	4.1407e-04
257.4	0.00116
257.6	0.00111
257.8	0.00134
258.0	0.00198
258.2	4.1287e-04
258.4	8.2906e-05
258.6	7.8461e-05
258.8	1.0122e-04
259.0	1.8517e-04
259.2	2.9736e-04
259.4	4.4002e-04
259.6	3.9264e-04
259.8	3.5037e-04
260.0	3.1265e-04
260.2	3.0041e-04
260.4	2.8866e-04
260.6	2.7737e-04
260.8	2.6651e-04
261.0	2.5554e-04
261.2	2.4498e-04
261.4	2.3485e-04
261.6	2.2514e-04
261.8	2.1584e-04
262.0	2.0691e-04
262.2	1.9836e-04
262.4	1.9016e-04
262.6	1.823e-04
262.8	1.7476e-04
263.0	1.6754e-04
263.2	1.6061e-04
263.4	1.5397e-04
263.6	1.4761e-04
263.8	1.415e-04
264.0	1.3565e-04
264.2	1.3005e-04
264.4	1.2467e-04
264.6	1.1952e-04
264.8	1.1458e-04
265.0	4.2466e-05
265.2	4.1996e-05
265.4	4.1531e-05
265.6	4.1072e-05
265.8	4.0617e-05
266.0	4.0168e-05
266.2	3.9723e-05
266.4	3.9284e-05
266.6	3.8849e-05
266.8	3.8419e-05
267.0	3.7994e-05
267.2	3.7574e-05
267.4	3.7158e-05
267.6	3.6747e-05
267.8	3.634e-05
268.0	3.5938e-05
268.2	3.5541e-05
268.4	3.5147e-05
268.6	3.4759e-05
268.8	3.521e-05
269.0	3.585e-05
269.2	3.6501e-05
269.4	3.7164e-05
269.6	3.7839e-05
269.8	3.8527e-05
270.0	3.9227e-05
270.2	3.9939e-05
270.4	4.0665e-05
270.6	4.1404e-05
270.8	4.2156e-05
271.0	4.2922e-05
271.2	4.3701e-05
271.4	4.4495e-05
271.6	4.5304e-05
271.8	4.6127e-05
272.0	4.6965e-05
272.2	4.7818e-05
272.4	4.8687e-05
272.6	4.9571e-05
272.8	5.0702e-05
273.0	5.2087e-05
273.2	5.351e-05
273.4	5.4971e-05
273.6	5.6473e-05
273.8	5.8015e-05
274.0	5.96e-05
274.2	6.1228e-05
274.4	6.29e-05
274.6	6.4618e-05
274.8	6.6383e-05
275.0	6.8196e-05
275.2	6.5903e-05
275.4	6.3687e-05
275.6	6.1546e-05
275.8	5.9476e-05
276.0	5.7476e-05
276.2	5.5544e-05
276.4	5.3676e-05
276.6	5.1871e-05
276.8	5.0127e-05
277.0	4.8442e-05
277.2	4.6813e-05
277.4	4.5239e-05
277.6	4.3718e-05
277.8	4.3265e-05
278.0	4.3433e-05
278.2	4.3602e-05
278.4	4.3771e-05
278.6	4.3941e-05
278.8	4.4111e-05
279.0	4.4282e-05
279.2	4.4454e-05
279.4	4.4627e-05
279.6	4.48e-05
279.8	4.4974e-05
280.0	4.5148e-05
280.2	4.5323e-05
280.4	4.5499e-05
280.6	4.5676e-05
280.8	4.5853e-05
281.0	4.6031e-05
281.2	4.621e-05
281.4	4.6389e-05
281.6	4.6569e-05
281.8	4.673e-05
282.0	4.6885e-05
282.2	4.7041e-05
282.4	4.7197e-05
282.6	4.7354e-05
282.8	4.7511e-05
283.0	4.7668e-05
283.2	4.7827e-05
283.4	4.7985e-05
283.6	4.8145e-05
283.8	4.8304e-05
284.0	4.8465e-05
284.2	4.8625e-05
284.4	4.8787e-05
284.6	4.8949e-05
284.8	4.9111e-05
285.0	4.9274e-05
285.2	4.9438e-05
285.4	4.9602e-05
285.6	4.9766e-05
285.8	5.1282e-05
286.0	5.3114e-05
286.2	5.5012e-05
286.4	5.6977e-05
286.6	5.9012e-05
286.8	6.112e-05
287.0	6.3303e-05
287.2	6.5565e-05
287.4	6.7907e-05
287.6	7.0332e-05
287.8	7.2845e-05
288.0	7.5447e-05
288.2	7.8142e-05
288.4	8.0933e-05
288.6	8.3824e-05
288.8	8.6819e-05
289.0	8.992e-05
289.2	9.3132e-05
289.4	9.6459e-05
289.6	9.9905e-05
289.8	1.0111e-04
290.0	1.0223e-04
290.2	1.0337e-04
290.4	1.0451e-04
290.6	1.0567e-04
290.8	1.0685e-04
291.0	1.0803e-04
291.2	1.0923e-04
291.4	1.1044e-04
291.6	1.1167e-04
291.8	1.1291e-04
292.0	1.1416e-04
292.2	1.1543e-04
292.4	1.1671e-04
292.6	1.1801e-04
292.8	1.1932e-04
293.0	1.2064e-04
293.2	1.2198e-04
293.4	1.2333e-04
293.6	1.2313e-04
293.8	1.0809e-04
294.0	9.4885e-05
294.2	8.3295e-05
294.4	7.3121e-05
294.6	6.419e-05
294.8	5.6349e-05
295.0	4.9467e-05
295.2	5.0401e-05
295.4	5.1353e-05
295.6	5.2404e-05
295.8	5.3641e-05
296.0	5.4906e-05
296.2	5.6202e-05
296.4	5.7528e-05
296.6	5.8885e-05
296.8	6.0274e-05
297.0	6.1697e-05
297.2	6.3152e-05
297.4	6.4642e-05
297.6	6.6167e-05
297.8	6.7728e-05
298.0	6.9326e-05
298.2	7.0962e-05
298.4	7.2636e-05
298.6	7.435e-05
298.8	7.6104e-05
299.0	7.79e-05
299.2	7.9738e-05
299.4	8.1619e-05
299.6	8.3469e-05
299.8	8.3726e-05
300.0	8.3985e-05
300.2	8.4244e-05
300.4	8.4503e-05
300.6	8.4764e-05
300.8	8.5026e-05
301.0	8.5288e-05
301.2	8.5551e-05
301.4	8.5815e-05
301.6	8.608e-05
301.8	8.6345e-05
302.0	8.6611e-05
302.2	8.6879e-05
302.4	8.7147e-05
302.6	8.7415e-05
302.8	8.7685e-05
303.0	8.7955e-05
303.2	8.8227e-05
303.4	8.8499e-05
303.6	8.8772e-05
303.8	8.9505e-05
304.0	9.0391e-05
304.2	9.1286e-05
304.4	9.219e-05
304.6	9.3102e-05
304.8	9.4024e-05
305.0	9.4955e-05
305.2	9.6923e-05
305.4	7.745e-05
305.6	8.5861e-05
305.8	8.3143e-05
306.0	9.6482e-05
306.2	8.2757e-05
306.4	1.0055e-04
306.6	8.3893e-05
306.8	8.6248e-05
307.0	7.8492e-05
307.2	6.763e-05
307.4	8.3735e-05
307.6	8.5715e-05
307.8	8.0115e-05
308.0	7.2117e-05
308.2	7.8111e-05
308.4	7.2283e-05
308.6	7.5511e-05
308.8	8.4672e-05
309.0	9.7572e-05
309.2	9.2548e-05
309.4	8.2395e-05
309.6	8.3069e-05
309.8	8.3609e-05
310.0	9.43e-05
310.2	9.3113e-05
310.4	8.6518e-05
310.6	9.0778e-05
310.8	9.0328e-05
311.0	1.1202e-04
311.2	7.1948e-05
311.4	9.8762e-05
311.6	9.3493e-05
311.8	7.0252e-05
312.0	7.0382e-05
312.2	6.7871e-05
312.4	9.2204e-05
312.6	8.8587e-05
312.8	9.7837e-05
313.0	8.4363e-05
313.2	9.4261e-05
313.4	9.1519e-05
313.6	8.0894e-05
313.8	7.0469e-05
314.0	8.3516e-05
314.2	9.5088e-05
314.4	8.037e-05
314.6	7.6894e-05
314.8	7.4614e-05
315.0	1.0679e-04
315.2	8.1924e-05
315.4	8.5279e-05
315.6	8.6166e-05
315.8	8.248e-05
316.0	8.7347e-05
316.2	7.6257e-05
316.4	7.6666e-05
316.6	7.302e-05
316.8	8.7465e-05
317.0	1.0084e-04
317.2	9.9179e-05
317.4	8.3907e-05
317.6	8.4661e-05
317.8	8.3146e-05
318.0	9.8864e-05
318.2	8.3352e-05
318.4	8.1756e-05
318.6	8.9767e-05
318.8	1.0735e-04
319.0	1.0151e-04
319.2	1.1193e-04
319.4	1.058e-04
319.6	1.0609e-04
319.8	1.1644e-04
320.0	1.0957e-04
320.2	1.0723e-04
320.4	1.2712e-04
320.6	1.2046e-04
320.8	1.2015e-04
321.0	1.26e-04
321.2	1.2297e-04
321.4	1.3218e-04
321.6	1.207e-04
321.8	1.4927e-04
322.0	1.5406e-04
322.2	1.619e-04
322.4	1.8029e-04
322.6	1.9696e-04
322.8	1.8978e-04
323.0	2.0465e-04
323.2	2.0254e-04
323.4	2.2869e-04
323.6	2.1254e-04
323.8	2.1381e-04
324.0	2.236e-04
324.2	2.1877e-04
324.4	2.2919e-04
324.6	2.1925e-04
324.8	2.1748e-04
325.0	2.1009e-04
325.2	2.0885e-04
325.4	2.2673e-04
325.6	2.3959e-04
325.8	2.2845e-04
326.0	2.4478e-04
326.2	2.5161e-04
326.4	2.7248e-04
326.6	2.7311e-04
326.8	2.8028e-04
327.0	2.5731e-04
327.2	3.1069e-04
327.4	2.9234e-04
327.6	2.9065e-04
327.8	2.9557e-04
328.0	2.785e-04
328.2	2.8906e-04
328.4	3.0001e-04
328.6	3.1306e-04
328.8	3.0602e-04
329.0	3.1462e-04
329.2	3.1451e-04
329.4	3.0826e-04
329.6	3.2479e-04
329.8	3.4638e-04
330.0	3.4106e-04
330.2	3.594e-04
330.4	3.2691e-04
330.6	3.4934e-04
330.8	3.5127e-04
331.0	3.5483e-04
331.2	3.7229e-04
331.4	3.8053e-04
331.6	3.6155e-04
331.8	3.6822e-04
332.0	3.9548e-04
332.2	3.9909e-04
332.4	4.0431e-04
332.6	4.402e-04
332.8	4.2068e-04
333.0	4.1605e-04
333.2	4.2845e-04
333.4	4.237e-04
333.6	4.5181e-04
333.8	4.6052e-04
334.0	4.5544e-04
334.2	4.6006e-04
334.4	4.748e-04
334.6	4.6441e-04
334.8	4.9073e-04
335.0	4.9517e-04
335.2	5.0754e-04
335.4	5.2378e-04
335.6	5.1246e-04
335.8	5.2887e-04
336.0	5.3425e-04
336.2	5.1843e-04
336.4	5.1823e-04
336.6	5.3455e-04
336.8	5.1343e-04
337.0	5.4621e-04
337.2	5.3898e-04
337.4	5.4028e-04
337.6	5.5227e-04
337.8	5.7718e-04
338.0	5.7499e-04
338.2	5.656e-04
338.4	5.7662e-04
338.6	5.8531e-04
338.8	5.8503e-04
339.0	6.0474e-04
339.2	6.0247e-04
339.4	6.1521e-04
339.6	6.043e-04
339.8	6.0206e-04
340.0	5.9619e-04
340.2	6.1664e-04
340.4	6.1825e-04
340.6	6.4141e-04
340.8	6.5103e-04
341.0	6.4972e-04
341.2	6.6714e-04
341.4	6.4584e-04
341.6	6.6063e-04
341.8	6.9287e-04
342.0	7.005e-04
342.2	7.3167e-04
342.4	7.4106e-04
342.6	7.3484e-04
342.8	7.4127e-04
343.0	7.6514e-04
343.2	7.9326e-04
343.4	8.2512e-04
343.6	8.3485e-04
343.8	8.7578e-04
344.0	9.1893e-04
344.2	9.7049e-04
344.4	0.00103
344.6	0.00112
344.8	0.0012
345.0	0.0013
345.2	0.00143
345.4	0.0016
345.6	0.00175
345.8	0.00193
346.0	0.00212
346.2	0.0023
346.4	0.00248
346.6	0.00269
346.8	0.00289
347.0	0.00318
347.2	0.00352
347.4	0.00391
347.6	0.00434
347.8	0.00482
348.0	0.00532
348.2	0.00595
348.4	0.00659
348.6	0.0072
348.8	0.00783
349.0	0.00852
349.2	0.00937
349.4	0.0102
349.6	0.01118
349.8	0.01217
350.0	0.0133
350.2	0.01449
350.4	0.01567
350.6	0.01664
350.8	0.01735
351.0	0.01799
351.2	0.01854
351.4	0.01904
351.6	0.01948
351.8	0.02001
352.0	0.02063
352.2	0.02143
352.4	0.02205
352.6	0.02278
352.8	0.02324
353.0	0.02352
353.2	0.02367
353.4	0.02379
353.6	0.02374
353.8	0.02392
354.0	0.02424
354.2	0.02492
354.4	0.02579
354.6	0.02699
354.8	0.02808
355.0	0.02878
355.2	0.02902
355.4	0.02847
355.6	0.02707
355.8	0.02528
356.0	0.02311
356.2	0.02085
356.4	0.01897
356.6	0.01738
356.8	0.01617
357.0	0.01524
357.2	0.01478
357.4	0.01475
357.6	0.01524
357.8	0.01661
358.0	0.01899
358.2	0.02253
358.4	0.02801
358.6	0.03556
358.8	0.04449
359.0	0.05159
359.2	0.05295
359.4	0.0486
359.6	0.04123
359.8	0.03433
360.0	0.02917
360.2	0.02541
360.4	0.02302
360.6	0.02175
360.8	0.02149
361.0	0.02209
361.2	0.02366
361.4	0.02648
361.6	0.03107
361.8	0.03861
362.0	0.05045
362.2	0.06745
362.4	0.08653
362.6	0.09757
362.8	0.09109
363.0	0.07059
363.2	0.05161
363.4	0.03783
363.6	0.02875
363.8	0.02286
364.0	0.01887
364.2	0.01647
364.4	0.01493
364.6	0.01372
364.8	0.0132
365.0	0.01361
365.2	0.01485
365.4	0.01622
365.6	0.01806
365.8	0.02104
366.0	0.0252
366.2	0.03178
366.4	0.04154
366.6	0.05735
366.8	0.08312
367.0	0.12718
367.2	0.19394
367.4	0.26652
367.6	0.29367
367.8	0.26125
368.0	0.20855
368.2	0.16631
368.4	0.13796
368.6	0.1218
368.8	0.11319
369.0	0.11085
369.2	0.11378
369.4	0.123
369.6	0.13799
369.8	0.16117
370.0	0.1938
370.2	0.23703
370.4	0.28717
370.6	0.33307
370.8	0.35929
371.0	0.35993
371.2	0.34195
371.4	0.31769
371.6	0.29695
371.8	0.28458
372.0	0.28474
372.2	0.29525
372.4	0.31998
372.6	0.35581
372.8	0.39733
373.0	0.42351
373.2	0.41121
373.4	0.35592
373.6	0.27928
373.8	0.20899
374.0	0.15643
374.2	0.11925
374.4	0.09345
374.6	0.07594
374.8	0.06361
375.0	0.05474
375.2	0.04917
375.4	0.04475
375.6	0.04206
375.8	0.04066
376.0	0.04039
376.2	0.04088
376.4	0.04282
376.6	0.04575
376.8	0.05047
377.0	0.05723
377.2	0.06724
377.4	0.08177
377.6	0.1024
377.8	0.13157
378.0	0.17213
378.2	0.22366
378.4	0.28002
378.6	0.32466
378.8	0.3435
379.0	0.33415
379.2	0.31133
379.4	0.28691
379.6	0.26731
379.8	0.2545
380.0	0.24825
380.2	0.24822
380.4	0.25233
380.6	0.25643
380.8	0.25883
381.0	0.25414
381.2	0.23997
381.4	0.21847
381.6	0.19061
381.8	0.16327
382.0	0.13903
382.2	0.1185
382.4	0.10259
382.6	0.09077
382.8	0.08245
383.0	0.07644
383.2	0.07252
383.4	0.07082
383.6	0.07067
383.8	0.07285
384.0	0.07693
384.2	0.08352
384.4	0.09282
384.6	0.10608
384.8	0.12319
385.0	0.16264
