Wavelength_nm	Excitation	Emission
350	0	0
351	0	0
352	0	0
353	0	0
354	0	0
355	0	0
356	0	0
357	0	0
358	0	0
359	0	0
360	0	0
361	0	0
362	0	0
363	0	0
364	0	0
365	0	0
366	0	0
367	0	0
368	0	0
369	0	0
370	0	0
371	0	0
372	0	0
373	0	0
374	0	0
375	0	0
376	0	0
377	0	0
378	0	0
379	0	0
380	0	0
381	0	0
382	0	0
383	0	0
384	0	0
385	0	0
386	0	0
387	0	0
388	0	0
389	0	0
390	0	0
391	0	0
392	0	0
393	0	0
394	0	0
395	0	0
396	0	0
397	0	0
398	0	0
399	0	0
400	0.0066578248	0
401	0.0061883657	0
402	0.0062497389	0
403	0.0065241698	0
404	0.0067355099	0
405	0.0067763806	0
406	0.0067885688	0
407	0.0065807307	0
408	0.0069165503	0
409	0.0072675459	0
410	0.0076284152	0
411	0.0079582039	0
412	0.0078769064	0
413	0.0084171463	0
414	0.0089311309	0
415	0.0087160345	0
416	0.0090755505	0
417	0.0094735463	0
418	0.0098755523	0
419	0.010317356	0
420	0.010743678	0
421	0.011115103	0
422	0.011321441	0
423	0.012084157	0
424	0.012778106	0
425	0.013533471	0
426	0.014102401	0
427	0.014236285	0
428	0.015019451	0
429	0.015509057	0
430	0.016470454	0
431	0.017169108	0
432	0.017955168	0
433	0.019217675	0
434	0.020184095	0
435	0.020989681	0
436	0.022143127	0
437	0.023326807	0
438	0.024835489	0
439	0.026851703	0
440	0.029161339	0
441	0.031510742	0
442	0.03324612	0
443	0.035506244	0
444	0.038896654	0
445	0.042877181	0
446	0.046239741	0
447	0.049618445	0
448	0.052246203	0
449	0.055170315	0
450	0.057688203	0
451	0.061240282	0
452	0.064253326	0
453	0.068399102	0
454	0.071814982	0
455	0.075406636	0
456	0.079757072	0
457	0.083917038	0
458	0.089344226	0
459	0.095600152	0
460	0.10032795	0
461	0.1069745	0
462	0.11413368	0
463	0.12043021	0
464	0.12758727	0
465	0.13585165	0
466	0.14265157	0
467	0.15289917	0
468	0.16261413	0
469	0.17293634	0
470	0.18808884	0
471	0.20300999	0
472	0.21666305	0
473	0.22980739	0
474	0.24571872	0
475	0.26165415	0
476	0.27918965	0
477	0.29477492	0
478	0.31222766	0
479	0.32573513	0
480	0.34011619	0
481	0.35276327	0
482	0.36474846	0
483	0.37471045	0
484	0.38356881	0
485	0.39175721	0
486	0.39931236	0
487	0.40584783	0
488	0.41251334	0
489	0.41746755	0
490	0.42295158	0
491	0.43133131	0
492	0.44063208	0
493	0.45011658	0
494	0.46473643	0
495	0.47950091	0
496	0.49264706	0
497	0.51159985	0
498	0.53216818	0
499	0.55652316	0
500	0.57949929	0.033869252
501	0.60862842	0.034210847
502	0.64075636	0.035580015
503	0.67272783	0.038124675
504	0.7075441	0.042581972
505	0.74605019	0.049032483
506	0.78882669	0.058377768
507	0.82395136	0.071144961
508	0.86766508	0.086446596
509	0.90505777	0.10579876
510	0.93863374	0.12886217
511	0.9686134	0.15744675
512	0.98602085	0.19016665
513	1	0.22975915
514	0.99849292	0.27558534
515	0.99446612	0.32558989
516	0.96753026	0.38164312
517	0.93407731	0.44291853
518	0.88926165	0.50868202
519	0.83209297	0.57697527
520	0.77159106	0.6448997
521	0.70784561	0.70682211
522	0.64278626	0.76338724
523	0.57615394	0.813438
524	0.50653239	0.86473043
525	0.44223325	0.90905589
526	0.38099704	0.9464974
527	0.3264109	0.97534996
528	0.27825298	0.99069583
529	0.2352734	0.99774946
530	0.19609693	1
531	0.16536781	0.99166307
532	0.13772162	0.97925572
533	0.11451618	0.9657457
534	0.095921307	0.95158433
535	0.080630244	0.93119892
536	0.06746568	0.90406472
537	0.057211102	0.87259992
538	0.049815687	0.84448306
539	0.045164073	0.81434013
540	0.045519781	0.78027568
541	0	0.75003191
542	0	0.7214045
543	0	0.69435402
544	0	0.66705541
545	0	0.63513105
546	0	0.60652133
547	0	0.58390421
548	0	0.56071036
549	0	0.54193532
550	0	0.52612138
551	0	0.50910802
552	0	0.49024416
553	0	0.47523968
554	0	0.45979896
555	0	0.44695309
556	0	0.43877391
557	0	0.42842546
558	0	0.42213887
559	0	0.41394656
560	0	0.40455851
561	0	0.39885462
562	0	0.38927934
563	0	0.38170139
564	0	0.37584252
565	0	0.36972941
566	0	0.36286905
567	0	0.35594635
568	0	0.34764505
569	0	0.34017626
570	0	0.33118752
571	0	0.32243828
572	0	0.3133151
573	0	0.30370183
574	0	0.29590459
575	0	0.28708607
576	0	0.28126653
577	0	0.27216066
578	0	0.26362335
579	0	0.25516113
580	0	0.24666654
581	0	0.23812268
582	0	0.22976102
583	0	0.22115243
584	0	0.2112637
585	0	0.20409779
586	0	0.19598989
587	0	0.18943179
588	0	0.18263554
589	0	0.17633867
590	0	0.16924429
591	0	0.162501
592	0	0.15615618
593	0	0.15028024
594	0	0.14558757
595	0	0.13915376
596	0	0.13538331
597	0	0.13108725
598	0	0.12583634
599	0	0.12142615
600	0	0.11703111
601	0	0.112967
602	0	0.10876133
603	0	0.10524457
604	0	0.10138498
605	0	0.098173719
606	0	0.095487888
607	0	0.09315405
608	0	0.089737732
609	0	0.086503093
610	0	0.083345827
611	0	0.080249235
612	0	0.077166542
613	0	0.075260871
614	0	0.07301333
615	0	0.069749146
616	0	0.068179705
617	0	0.066301234
618	0	0.065465666
619	0	0.063521878
620	0	0.061132802
621	0	0.060215945
622	0	0.057889675
623	0	0.055806737
624	0	0.053362973
625	0	0.052806342
626	0	0.05199221
627	0	0.051414741
628	0	0.049463707
629	0	0.049407008
630	0	0.048413217
631	0	0.047858838
632	0	0.046463459
633	0	0.04476164
634	0	0.043531912
635	0	0.042893009
636	0	0.04100359
637	0	0.040377866
638	0	0.039781698
639	0	0.038796214
640	0	0.036741807
641	0	0.035357084
642	0	0.034437894
643	0	0.032984145
644	0	0.032306423
645	0	0.031350271
646	0	0.030284263
647	0	0.030024905
648	0	0.029409962
649	0	0.028428884
650	0	0.028357864
651	0	0.027896647
652	0	0.027336494
653	0	0.026276834
654	0	0.025705268
655	0	0.025542547
656	0	0.025594352
657	0	0.025248604
658	0	0.024830782
659	0	0.023549612
660	0	0.02330014
661	0	0.023333163
662	0	0.022800246
663	0	0.022579949
664	0	0.022868604
665	0	0.02175702
666	0	0.022066457
667	0	0.021496885
668	0	0.020999803
669	0	0.020308076
670	0	0.019767172
671	0	0.020089009
672	0	0.019622377
673	0	0.019569295
674	0	0.019491346
675	0	0.019684299
676	0	0.019138034
677	0	0.018818797
678	0	0.018684439
679	0	0.017879399
680	0	0.018056314
681	0	0.017610673
682	0	0.017336395
683	0	0.017309039
684	0	0.016774278
685	0	0.016308509
686	0	0.016702432
687	0	0.016927463
688	0	0.017194012
689	0	0.017151226
690	0	0.016143753
691	0	0.015558135
692	0	0.016447447
693	0	0.015762833
694	0	0.015146715
695	0	0.015505415
696	0	0.015572389
697	0	0.015031621
698	0	0.014574483
699	0	0.014193751
700	0	0.014451729
701	0	0
702	0	0
703	0	0
704	0	0
705	0	0
706	0	0
707	0	0
708	0	0
709	0	0
710	0	0
711	0	0
712	0	0
713	0	0
714	0	0
715	0	0
716	0	0
717	0	0
718	0	0
719	0	0
720	0	0
721	0	0
722	0	0
723	0	0
724	0	0
725	0	0
726	0	0
727	0	0
728	0	0
729	0	0
730	0	0
731	0	0
732	0	0
733	0	0
734	0	0
735	0	0
736	0	0
737	0	0
738	0	0
739	0	0
740	0	0
741	0	0
742	0	0
743	0	0
744	0	0
745	0	0
746	0	0
747	0	0
748	0	0
749	0	0
750	0	0
751	0	0
752	0	0
753	0	0
754	0	0
755	0	0
756	0	0
757	0	0
758	0	0
759	0	0
760	0	0
761	0	0
762	0	0
763	0	0
764	0	0
765	0	0
766	0	0
767	0	0
768	0	0
769	0	0
770	0	0
771	0	0
772	0	0
773	0	0
774	0	0
775	0	0
776	0	0
777	0	0
778	0	0
779	0	0
780	0	0
781	0	0
782	0	0
783	0	0
784	0	0
785	0	0
786	0	0
787	0	0
788	0	0
789	0	0
790	0	0
791	0	0
792	0	0
793	0	0
794	0	0
795	0	0
796	0	0
797	0	0
798	0	0
799	0	0
800	0	0
801	0	0
802	0	0
803	0	0
804	0	0
805	0	0
806	0	0
807	0	0
808	0	0
809	0	0
810	0	0
811	0	0
812	0	0
813	0	0
814	0	0
815	0	0
816	0	0
817	0	0
818	0	0
819	0	0
820	0	0
821	0	0
822	0	0
823	0	0
824	0	0
825	0	0
826	0	0
827	0	0
828	0	0
829	0	0
830	0	0
831	0	0
832	0	0
833	0	0
834	0	0
835	0	0
836	0	0
837	0	0
838	0	0
839	0	0
840	0	0
841	0	0
842	0	0
843	0	0
844	0	0
845	0	0
846	0	0
847	0	0
848	0	0
849	0	0
850	0	0
