Wavelength_nm	Excitation	Emission
350	0.0092	0
351	0.0102	0
352	0.0112	0
353	0.0122	0
354	0.0131	0
355	0.0141	0
356	0.015	0
357	0.016	0
358	0.0169	0
359	0.0178	0
360	0.0187	0
361	0.0195	0
362	0.0204	0
363	0.0212	0
364	0.0221	0
365	0.0229	0
366	0.0237	0
367	0.0245	0
368	0.0253	0
369	0.0261	0
370	0.0268	0
371	0.0276	0
372	0.0283	0
373	0.0291	0
374	0.0298	0
375	0.0305	0
376	0.0311	0
377	0.0318	0
378	0.0325	0
379	0.0332	0
380	0.0339	0
381	0.0347	0
382	0.0356	0
383	0.0366	0
384	0.0378	0
385	0.0392	0
386	0.0408	0
387	0.0428	0
388	0.045	0
389	0.0476	0
390	0.0504	0
391	0.0533	0
392	0.0563	0
393	0.0593	0
394	0.0623	0
395	0.0651	0
396	0.0677	0
397	0.0703	0
398	0.0728	0
399	0.0754	0
400	0.0782	0
401	0.0813	0
402	0.0849	0
403	0.0889	0
404	0.0933	0
405	0.0982	0
406	0.1035	0
407	0.109	0
408	0.1148	0
409	0.1206	0
410	0.1266	0
411	0.1325	0
412	0.1385	0
413	0.1444	0
414	0.1503	0
415	0.1562	0
416	0.1621	0
417	0.168	0
418	0.174	0
419	0.18	0
420	0.1861	0
421	0.1923	0
422	0.1986	0
423	0.2052	0
424	0.2121	0
425	0.2193	0
426	0.2269	0
427	0.2351	0
428	0.244	0
429	0.2534	0
430	0.2636	0
431	0.2745	0
432	0.286	0
433	0.2982	0
434	0.3108	0
435	0.3239	0
436	0.3372	0
437	0.3507	0
438	0.3643	0
439	0.3779	0
440	0.3914	0
441	0.4046	0
442	0.4177	0
443	0.4304	0
444	0.4429	0
445	0.455	0
446	0.4669	0
447	0.4785	0
448	0.4899	0
449	0.5012	0
450	0.5125	0
451	0.5238	0
452	0.5352	0
453	0.5467	0
454	0.5584	0
455	0.5702	0
456	0.5822	0
457	0.5943	0
458	0.6066	0
459	0.6191	0
460	0.6316	0
461	0.6442	0
462	0.6569	0
463	0.6696	0
464	0.6824	0
465	0.6951	0
466	0.7078	0
467	0.7204	0
468	0.7329	0
469	0.7452	0
470	0.7575	0
471	0.7698	0
472	0.7821	0
473	0.7946	0
474	0.8073	0
475	0.8204	0
476	0.8337	0
477	0.8473	0
478	0.8609	0
479	0.8745	0
480	0.8876	0
481	0.8999	0
482	0.9112	0
483	0.9213	0
484	0.9301	0
485	0.9377	0
486	0.9445	0
487	0.9505	0
488	0.9561	0
489	0.9615	0
490	0.9669	0
491	0.9723	0
492	0.9777	0
493	0.9829	0
494	0.9876	0
495	0.9916	0
496	0.9949	0
497	0.9973	0
498	0.9989	0
499	0.9998	0
500	1	0
501	0.9994	0
502	0.9978	0
503	0.9952	0
504	0.9918	0
505	0.9882	0
506	0.985	0
507	0.983	0
508	0.9824	0
509	0.9828	0
510	0.9839	0
511	0.985	0
512	0.986	0
513	0.9866	0
514	0.9868	0
515	0.9866	0
516	0.9865	0
517	0.9866	0
518	0.9873	0
519	0.9886	0.0008
520	0.9903	0.0019
521	0.9918	0.0032
522	0.9918	0.0048
523	0.9893	0.0065
524	0.9836	0.0085
525	0.9745	0.0107
526	0.9626	0.0134
527	0.9485	0.0168
528	0.9334	0.0209
529	0.9179	0.0261
530	0.9024	0.0325
531	0.8861	0.0403
532	0.8683	0.0493
533	0.8486	0.0595
534	0.8272	0.0707
535	0.8041	0.0828
536	0.7793	0.0956
537	0.7526	0.1088
538	0.7242	0.1226
539	0.6953	0.1369
540	0.6669	0.152
541	0.6401	0.168
542	0.615	0.1854
543	0.5908	0.2042
544	0.5664	0.2247
545	0.541	0.2468
546	0.5146	0.2704
547	0.488	0.2951
548	0.462	0.3207
549	0.4366	0.3467
