Wavelength_nm	Excitation	Emission
350	0.17	0
351	0.158	0
352	0.15	0
353	0.141	0
354	0.136	0
355	0.132	0
356	0.129	0
357	0.126	0
358	0.125	0
359	0.124	0
360	0.123	0
361	0.123	0
362	0.122	0
363	0.122	0
364	0.121	0
365	0.12	0
366	0.12	0
367	0.119	0
368	0.118	0
369	0.116	0
370	0.115	0
371	0.114	0
372	0.112	0
373	0.111	0
374	0.109	0
375	0.105	0
376	0.103	0
377	0.1	0
378	0.098	0
379	0.094	0
380	0.09	0
381	0.087	0
382	0.082	0
383	0.079	0
384	0.076	0
385	0.071	0
386	0.067	0
387	0.064	0
388	0.06	0
389	0.057	0
390	0.055	0
391	0.052	0
392	0.05	0
393	0.046	0
394	0.045	0
395	0.042	0
396	0.04	0
397	0.039	0
398	0.036	0
399	0.033	0
400	0.031	0
401	0.029	0
402	0.027	0
403	0.025	0
404	0.022	0
405	0.02	0
406	0.017	0
407	0.016	0
408	0.013	0
409	0.012	0
410	0.01	0
411	0.009	0
412	0.007	0
413	0.007	0
414	0.006	0
415	0.005	0
416	0.004	0
417	0.004	0
418	0.004	0
419	0.003	0
420	0.003	0
421	0.003	0
422	0.003	0
423	0.003	0
424	0.003	0
425	0.003	0
426	0.003	0
427	0.003	0
428	0.003	0
429	0.003	0
430	0.004	0
431	0.004	0
432	0.004	0
433	0.004	0
434	0.005	0
435	0.005	0
436	0.005	0
437	0.005	0
438	0.006	0
439	0.006	0
440	0.006	0
441	0.007	0
442	0.007	0
443	0.008	0
444	0.008	0
445	0.009	0
446	0.009	0
447	0.01	0
448	0.01	0
449	0.011	0
450	0.012	0
451	0.012	0
452	0.013	0
453	0.014	0
454	0.015	0
455	0.016	0
456	0.016	0
457	0.017	0
458	0.018	0
459	0.02	0
460	0.021	0
461	0.022	0
462	0.023	0
463	0.025	0
464	0.025	0
465	0.027	0
466	0.029	0
467	0.03	0
468	0.031	0
469	0.033	0
470	0.034	0
471	0.036	0
472	0.038	0
473	0.039	0
474	0.041	0
475	0.042	0
476	0.044	0
477	0.046	0
478	0.049	0
479	0.05	0
480	0.053	0
481	0.056	0
482	0.058	0
483	0.061	0
484	0.063	0
485	0.066	0
486	0.069	0
487	0.073	0
488	0.076	0
489	0.081	0
490	0.084	0
491	0.089	0
492	0.093	0
493	0.097	0
494	0.101	0
495	0.106	0
496	0.112	0
497	0.117	0
498	0.122	0
499	0.127	0
500	0.133	0
501	0.137	0
502	0.142	0
503	0.148	0
504	0.152	0
505	0.159	0
506	0.164	0
507	0.169	0
508	0.175	0
509	0.18	0
510	0.187	0
511	0.191	0
512	0.198	0
513	0.204	0
514	0.209	0
515	0.217	0
516	0.225	0
517	0.232	0
518	0.239	0
519	0.248	0
520	0.257	0
521	0.266	0
522	0.275	0
523	0.284	0
524	0.296	0
525	0.306	0
526	0.32	0
527	0.331	0
528	0.346	0
529	0.356	0
530	0.373	0
531	0.383	0
532	0.4	0
533	0.414	0
534	0.429	0
535	0.442	0
536	0.457	0
537	0.472	0
538	0.485	0
539	0.496	0
540	0.507	0
541	0.519	0
542	0.526	0
543	0.535	0
544	0.546	0
545	0.553	0
546	0.555	0
547	0.566	0
548	0.569	0
549	0.575	0
550	0.578	0.001
551	0.583	0.001
552	0.587	0.002
553	0.588	0.002
554	0.594	0.002
555	0.599	0.003
556	0.604	0.003
557	0.609	0.004
558	0.615	0.004
559	0.623	0.005
560	0.629	0.006
561	0.639	0.009
562	0.647	0.016
563	0.655	0.025
564	0.669	0.029
565	0.681	0.026
566	0.692	0.02
567	0.703	0.019
568	0.72	0.022
569	0.733	0.026
570	0.751	0.03
571	0.77	0.034
572	0.792	0.042
573	0.807	0.048
574	0.822	0.055
575	0.845	0.065
576	0.859	0.075
577	0.883	0.089
578	0.904	0.102
579	0.921	0.119
580	0.941	0.138
581	0.955	0.16
582	0.967	0.183
583	0.984	0.211
584	0.993	0.237
585	0.995	0.265
