Wavelength_nm	Excitation	Emission
350	0.089	0
351	0.085	0
352	0.081	0
353	0.078	0
354	0.075	0
355	0.073	0
356	0.07	0
357	0.068	0
358	0.065	0
359	0.063	0
360	0.061	0
361	0.058	0
362	0.055	0
363	0.052	0
364	0.049	0
365	0.047	0
366	0.044	0
367	0.041	0
368	0.039	0
369	0.037	0
370	0.035	0
371	0.033	0
372	0.032	0
373	0.03	0
374	0.029	0
375	0.028	0
376	0.027	0
377	0.026	0
378	0.025	0
379	0.023	0
380	0.022	0
381	0.021	0
382	0.019	0
383	0.018	0
384	0.017	0
385	0.016	0
386	0.015	0
387	0.014	0
388	0.013	0
389	0.012	0
390	0.011	0
391	0.011	0
392	0.01	0
393	0.01	0
394	0.01	0
395	0.01	0
396	0.01	0
397	0.01	0
398	0.01	0
399	0.01	0
400	0.011	0
401	0.011	0
402	0.011	0
403	0.012	0
404	0.012	0
405	0.013	0
406	0.013	0
407	0.014	0
408	0.015	0
409	0.015	0
410	0.016	0
411	0.017	0
412	0.018	0
413	0.019	0
414	0.02	0
415	0.021	0
416	0.022	0
417	0.023	0
418	0.024	0
419	0.025	0
420	0.027	0
421	0.028	0
422	0.029	0
423	0.031	0
424	0.032	0
425	0.033	0
426	0.035	0
427	0.037	0
428	0.039	0
429	0.04	0
430	0.042	0
431	0.044	0
432	0.046	0
433	0.049	0
434	0.051	0
435	0.053	0
436	0.056	0
437	0.058	0
438	0.061	0
439	0.063	0
440	0.066	0
441	0.069	0
442	0.072	0
443	0.075	0
444	0.078	0
445	0.082	0
446	0.086	0
447	0.089	0
448	0.092	0
449	0.096	0
450	0.098	0
451	0.102	0
452	0.106	0
453	0.109	0
454	0.114	0
455	0.117	0
456	0.121	0
457	0.125	0
458	0.128	0
459	0.132	0
460	0.137	0
461	0.141	0
462	0.145	0
463	0.149	0
464	0.153	0
465	0.159	0
466	0.164	0
467	0.169	0
468	0.172	0
469	0.178	0
470	0.184	0
471	0.191	0
472	0.197	0
473	0.202	0
474	0.206	0
475	0.214	0
476	0.22	0
477	0.225	0
478	0.231	0
479	0.236	0
480	0.241	0
481	0.245	0
482	0.248	0
483	0.252	0
484	0.257	0
485	0.26	0
486	0.264	0
487	0.268	0
488	0.272	0
489	0.275	0
490	0.28	0
491	0.285	0
492	0.289	0
493	0.293	0
494	0.301	0
495	0.307	0
496	0.315	0
497	0.325	0
498	0.333	0
499	0.342	0
500	0.355	0
501	0.366	0
502	0.379	0
503	0.392	0
504	0.405	0
505	0.42	0
506	0.434	0
507	0.449	0
508	0.463	0
509	0.48	0
510	0.493	0
511	0.507	0
512	0.522	0
513	0.534	0
514	0.546	0
515	0.557	0
516	0.568	0
517	0.576	0
518	0.583	0
519	0.588	0
520	0.593	0
521	0.599	0
522	0.601	0
523	0.605	0
524	0.606	0
525	0.61	0
526	0.611	0
527	0.613	0
528	0.619	0
529	0.624	0
530	0.629	0.003
531	0.634	0.003
532	0.644	0.004
533	0.653	0.005
534	0.664	0.005
535	0.676	0.006
536	0.69	0.008
537	0.707	0.011
538	0.721	0.016
539	0.742	0.021
540	0.761	0.022
541	0.779	0.022
542	0.799	0.024
543	0.822	0.027
544	0.841	0.032
545	0.863	0.038
546	0.885	0.045
547	0.906	0.054
548	0.924	0.064
549	0.945	0.076
550	0.961	0.088
551	0.973	0.104
552	0.984	0.121
553	0.996	0.141
554	1	0.164
555	0.999	0.188
556	0.995	0.217
557	0.989	0.247
558	0.975	0.281
559	0.958	0.318
560	0.939	0.356
561	0.912	0.398
562	0.879	0.441
563	0.845	0.485
564	0.806	0.532
565	0.765	0.578
566	0.723	0.625
567	0.676	0.669
568	0.632	0.716
569	0.586	0.756
570	0.541	0.797
571	0.495	0.833
572	0.452	0.868
573	0.41	0.896
574	0.37	0.925
575	0.332	0.944
576	0.297	0.965
577	0.265	0.977
578	0.235	0.986
579	0.209	0.996
580	0.186	0.996
581	0.164	1
582	0.144	0.998
583	0.126	0.996
584	0.109	0.988
585	0.096	0.979
586	0.084	0.97
587	0.072	0.96
588	0.062	0.946
589	0.055	0.934
590	0.048	0.925
591	0.041	0.91
592	0.036	0.896
593	0.031	0.882
594	0.027	0.869
595	0.023	0.856
596	0.021	0.843
597	0.018	0.828
598	0.016	0.816
599	0.013	0.802
600	0.012	0.793
601	0.01	0.78
602	0.009	0.77
