Wavelength_nm	Excitation	Emission
350	0.39835051	0.16188797
351	0.35447411	0.30503038
352	0.36769314	0.12259444
353	0.30980403	0.27107816
354	0.31788346	0.086436283
355	0.24318245	0.20110613
356	0.23962135	0.05900578
357	0.14928194	0.1210795
358	0.12747854	0.029306205
359	0.11273799	0.052084939
360	0.19257938	0.0331456
361	0.11104022	0.12000128
362	0.12652064	0.016462155
363	0.10987604	0.039495191
364	0.1175558	0.04018815
365	0.10075864	0.036867849
366	0.066535297	0.034510705
367	0.15696177	0.014592502
368	0.10375068	0.09099365
369	0.12415121	0.019494497
370	0.23036695	0.036367669
371	0.38874789	0.14167456
372	0.28050916	0.33822384
373	0.16870171	0.057820619
374	0.28614123	0.06086651
375	0.28990715	0.25177672
376	0.32329811	0.093113259
377	0.25645099	0.29978994
378	0.22903893	0.05090896
379	0.26476899	0.10158944
380	0.20432206	0.16553758
381	0.33141374	0.057052026
382	0.29102022	0.27255331
383	0.20615802	0.087336888
384	0.29998089	0.0856984
385	0.22780559	0.22174144
386	0.21596686	0.052806543
387	0.35980183	0.096104069
388	0.26466169	0.27763809
389	0.17739601	0.054747026
390	0.287376	0.067770502
391	0.32530534	0.17248405
392	0.35567359	0.14082335
393	0.5009604	0.15914633
394	0.68875366	0.42290186
395	0.95731233	0.95069202
396	0.96051695	0.9582656
397	0.96924167	0.97730143
398	0.966494	0.96684138
399	0.97000769	0.98079553
400	0.96817156	0.97133282
401	0.97125611	0.97822324
402	0.96847515	0.97483602
403	0.96959222	0.97124789
404	0.97169529	0.97844492
405	0.96676818	0.96747453
406	0.97138302	0.97299285
407	0.97000579	0.97357942
408	0.96639328	0.9640207
409	0.97206238	0.97271035
410	0.96833434	0.96737891
411	0.96642169	0.96148038
412	0.97128696	0.97020711
413	0.96676138	0.96238873
414	0.96693981	0.96015245
415	0.97172394	0.96843414
416	0.96802707	0.96159826
417	0.96702328	0.95811618
418	0.9715236	0.96592744
419	0.96976137	0.96257333
420	0.96761409	0.95704694
421	0.97165957	0.96380873
422	0.97183157	0.96428603
423	0.96863468	0.95715917
424	0.97128608	0.96101759
425	0.97384357	0.96589444
426	0.9711913	0.96003986
427	0.97144017	0.95908266
428	0.97474926	0.96551805
429	0.97420853	0.96451537
430	0.97353645	0.96119747
431	0.97645729	0.96530469
432	0.9769315	0.96720787
433	0.97429559	0.96328719
434	0.97488187	0.96420094
435	0.97758384	0.96879201
436	0.97808082	0.96858674
437	0.97850969	0.96732798
438	0.98012289	0.96918827
439	0.97979475	0.96908538
440	0.97877582	0.96724085
441	0.98026984	0.96894337
442	0.98143445	0.97086813
443	0.98060588	0.96990144
444	0.98089341	0.97000751
445	0.98206952	0.97118472
446	0.98173516	0.97070109
447	0.98160983	0.97102865
448	0.98268202	0.9723133
449	0.98263343	0.97125205
450	0.98224475	0.9710186
451	0.98345302	0.97385905
452	0.98377361	0.97337962
453	0.98255724	0.97024387
454	0.98360795	0.97344401
455	0.98575696	0.97826816
456	0.98451744	0.97422044
457	0.98318458	0.97072759
458	0.98577846	0.97765174
459	0.98700617	0.9810511
460	0.9842887	0.97359883
461	0.98462046	0.97322312
462	0.98759706	0.98151697
463	0.98531349	0.97781166
464	0.98259521	0.96942126
465	0.98708337	0.97816687
466	0.98883408	0.98648257
467	0.98254947	0.97478998
468	0.98383356	0.97249821
469	0.99022745	0.98743111
470	0.98251817	0.9811953
471	0.97888266	0.97159868
472	0.99234651	0.99063654
473	0.98065882	0.98434914
474	0.97365945	0.98754196
475	0.95097244	0.91219441
476	0.70103538	0.48172588
477	0.48368669	0.33114676
478	0.68858962	0.91335006
479	0.33493319	0.028859104
480	0.35574363	0.0029402942
481	0.039390926	0.00061324734
482	0.0082140584	0.00018812006
483	0.0027901717	7.5156725e-05
484	0.0012899239	3.683136e-05
485	0.00074858764	2.1382939e-05
486	0.00052321717	1.4410918e-05
487	0.00043049863	1.1101283e-05
488	0.00041182834	9.7006541e-06
489	0.00045562032	9.5554037e-06
490	0.00058328057	1.0592907e-05
491	0.00086963316	1.319704e-05
492	0.0015310554	1.8560931e-05
493	0.0032626351	2.9579214e-05
494	0.0087804959	5.3991662e-05
495	0.031975443	0.00011440547
496	0.16155744	0.00028775149
497	0.48677733	0.00088912979
498	0.46851253	0.0035732437
499	0.47883758	0.020640658
500	0.59586626	0.19214278
501	0.94844117	0.90109626
502	0.97894483	0.97751391
503	0.98445601	0.98722319
504	0.99280894	0.99204577
505	0.99314622	0.98785053
506	0.9932716	0.99242833
507	0.98940723	0.98796943
508	0.986432	0.9792812
509	0.99005887	0.98190436
510	0.99478161	0.98998443
511	0.99330924	0.98889961
512	0.98837797	0.98060529
513	0.9874785	0.97800063
514	0.99150063	0.98392048
515	0.99450725	0.98867969
516	0.99252648	0.98513453
517	0.98862024	0.97837956
518	0.98791292	0.97725155
519	0.9908945	0.98236975
520	0.9933652	0.98615784
521	0.99201376	0.98304065
522	0.98850934	0.97662737
523	0.98705727	0.97464469
524	0.98919186	0.97922007
525	0.99207335	0.98434643
