Wavelength_nm	Transmission
350	0
351	0
352	0
353	0
354	0
355	0
356	0
357	0
358	0
359	0
360	0
361	0
362	0
363	0
364	0
365	0
366	0
367	0
368	0
369	0
370	0
371	0
372	0
373	0
374	0
375	0
376	0
377	0
378	0
379	0
380	0
381	0
382	0
383	0
384	0
385	0
386	0
387	0
388	0
389	0
390	0.000176336
391	0.001800713
392	6.25623e-05
393	0.002593751
394	0.001762976
395	0
396	0.001953914
397	0.005154792
398	0.006670464
399	0.006663705
400	0.005037639
401	0.00479432
402	0.005069743
403	0.006919978
404	0.010529204
405	0.014817694
406	0.020813357
407	0.021229026
408	0.024039018
409	0.031184812
410	0.036224097
411	0.043857091
412	0.051170167
413	0.058831323
414	0.06922587
415	0.077114011
416	0.085839122
417	0.094931465
418	0.10606442
419	0.11941652
420	0.131908
421	0.14378274
422	0.1551286
423	0.16744829
424	0.17651979
425	0.18396185
426	0.19102147
427	0.19506044
428	0.20311924
429	0.20385483
430	0.20564424
431	0.21017154
432	0.20901634
433	0.20498694
434	0.19970321
435	0.19818866
436	0.19522716
437	0.18649923
438	0.17698728
439	0.17012761
440	0.16258304
441	0.15520632
442	0.14812699
443	0.14053173
444	0.13279567
445	0.12643334
446	0.11835595
447	0.10789663
448	0.098819493
449	0.090819268
450	0.083631231
451	0.077251441
452	0.071442773
453	0.065482031
454	0.060575106
455	0.057813553
456	0.058686571
457	0.059561278
458	0.060046226
459	0.062082329
460	0.063062926
461	0.065848135
462	0.067212859
463	0.067649368
464	0.068515064
465	0.071209029
466	0.071959825
467	0.072699355
468	0.075114518
469	0.077649086
470	0.079484677
471	0.083471835
472	0.086580343
473	0.091160027
474	0.096969821
475	0.10205135
476	0.10890708
477	0.11648881
478	0.12467885
479	0.13372275
480	0.14515986
481	0.15831483
482	0.17314769
483	0.18773666
484	0.20491879
485	0.22479994
486	0.24495371
487	0.26732775
488	0.29325244
489	0.32048272
490	0.34723312
491	0.37703402
492	0.40924726
493	0.44245461
494	0.48015097
495	0.51374471
496	0.54898647
497	0.58339014
498	0.6175781
499	0.65530149
500	0.687624
501	0.71705935
502	0.74758907
503	0.77534992
504	0.80573771
505	0.83387593
506	0.85739897
507	0.87876032
508	0.90323186
509	0.92393534
510	0.9361131
511	0.95354361
512	0.9658481
513	0.97273593
514	0.98156299
515	0.99365907
516	0.99618801
517	0.9981875
518	1
519	0.99723901
520	0.99550086
521	0.98786054
522	0.96987017
523	0.94761779
524	0.92292997
525	0.89795996
526	0.87071785
527	0.84484498
528	0.82559296
529	0.81544511
530	0.81083163
531	0.80863782
532	0.81680927
533	0.82868569
534	0.83913938
535	0.85585852
536	0.87160157
537	0.89425723
538	0.91945592
539	0.94301952
540	0.96525501
541	0.97358022
542	0.98008561
543	0.98244952
544	0.9904841
545	0.99153905
546	0.98232336
547	0.9750131
548	0.97316117
549	0.96898026
550	0.96362387
551	0.95453773
552	0.94771354
553	0.94072095
554	0.92979696
555	0.92503535
556	0.91655975
557	0.90799967
558	0.89819314
559	0.88856797
560	0.88084204
561	0.87239179
562	0.85927174
563	0.84980653
564	0.83754204
565	0.82620294
566	0.81444649
567	0.80563126
568	0.79796053
569	0.78286464
570	0.77085979
571	0.75879412
572	0.74662819
573	0.73361684
574	0.71764455
575	0.70581206
576	0.69504916
577	0.6795207
578	0.66751867
579	0.65581516
580	0.64212567
581	0.63174633
582	0.61822751
583	0.60644683
584	0.5951466
585	0.57992849
586	0.56435103
587	0.55390016
588	0.54443608
589	0.53305812
590	0.51774087
591	0.50485006
592	0.49598864
593	0.48551074
594	0.47043512
595	0.4555313
596	0.44610833
597	0.43684702
598	0.42382272
599	0.41133631
600	0.40059311
601	0.38949058
602	0.37631814
603	0.36586108
604	0.35712752
605	0.35066155
606	0.34006987
607	0.3276978
608	0.31945313
609	0.31140784
610	0.30141826
611	0.29236309
612	0.28610834
613	0.2773162
614	0.26609426
615	0.25776116
616	0.25060861
617	0.24271202
618	0.23338988
619	0.22441976
620	0.21484472
621	0.20833595
622	0.20139517
623	0.19742885
624	0.19001665
625	0.18549498
626	0.17912645
627	0.17214287
628	0.16746293
629	0.16181141
630	0.1512907
631	0.14207106
632	0.13589066
633	0.1289679
634	0.12161202
635	0.11537755
636	0.11104062
637	0.10786678
638	0.10404746
639	0.10235662
640	0.10105555
641	0.10054638
642	0.10076435
643	0.10081842
644	0.099360201
645	0.098649958
646	0.098833011
647	0.095541451
648	0.093051941
649	0.092223982
650	0.089729967
651	0.086112856
652	0.079525794
653	0.076581751
654	0.078155437
655	0.076246625
656	0.072259467
657	0.068907641
658	0.06574281
659	0.064273323
660	0.061265635
661	0.057270592
662	0.055825324
663	0.057236797
664	0.055467668
665	0.053622503
666	0.050750555
667	0.048061659
668	0.047341278
669	0.047210607
670	0.044658015
