Wavelength_nm	Excitation	Emission
350	0	0
351	0	0
352	0	0
353	0	0
354	0	0
355	0	0
356	0	0
357	0	0
358	0	0
359	0	0
360	0	0
361	0	0
362	0	0
363	0	0
364	0	0
365	0	0
366	0	0
367	0	0
368	0	0
369	0	0
370	0	0
371	0	0
372	0	0
373	0	0
374	0	0
375	0	0
376	0	0
377	0	0
378	0	0
379	0	0
380	0	0
381	0	0
382	0	0
383	0	0
384	0	0
385	0	0
386	0	0
387	0	0
388	0	0
389	0	0
390	0	0
391	0	0
392	0	0
393	0	0
394	0	0
395	0	0
396	0	0
397	0	0
398	0	0
399	0	0
400	0	0
401	0	0
402	0	0
403	0	0
404	0	0
405	0	0
406	0	0
407	0	0
408	0	0
409	0	0
410	0	0
411	0	0
412	0	0
413	0	0
414	0	0
415	0	0
416	0	0
417	0	0
418	0	0
419	0	0
420	0	0
421	0	0
422	0	0
423	0	0
424	0	0
425	0	0
426	0	0
427	0	0
428	0	0
429	0	0
430	0	0
431	0	0
432	0	0
433	0	0
434	0	0
435	0	0
436	0	0
437	0	0
438	0	0
439	0	0
440	0	0
441	0	0
442	0	0
443	0	0
444	0	0
445	0	0
446	0	0
447	0	0
448	0	0
449	0	0
450	0	0
451	0.028119904	0
452	0.028714709	0
453	0.029330024	0
454	0.029955595	0
455	0.030601676	0
456	0.031258012	0
457	0.03221175	0
458	0.033288552	0
459	0.034385864	0
460	0.035534453	0
461	0.036713807	0
462	0.037934182	0
463	0.039349407	0
464	0.040877439	0
465	0.042467004	0
466	0.044128355	0
467	0.045840982	0
468	0.047625396	0
469	0.049440576	0
470	0.051317287	0
471	0.053265785	0
472	0.05528607	0
473	0.057378142	0
474	0.059562511	0
475	0.062003261	0
476	0.06479269	0
477	0.067705182	0
478	0.070750992	0
479	0.073930121	0
480	0.077263078	0
481	0.080739609	0
482	0.083570059	0
483	0.086482551	0
484	0.089497595	0
485	0.092615192	0
486	0.095835342	0
487	0.099178554	0
488	0.10302427	0
489	0.10700331	0
490	0.11098235	0
491	0.11496139	0
492	0.11895068	0
493	0.12310406	0
494	0.12935976	0
495	0.13562572	0
496	0.14188143	0
497	0.14814739	0
498	0.15440309	0
499	0.1613459	0
500	0.16866815	0
501	0.1759904	0
502	0.18331265	0
503	0.19090154	0
504	0.2005825	0
505	0.21026346	0
506	0.21994442	0
507	0.22963563	0
508	0.2394294	0
509	0.25108962	0
510	0.2627601	0
511	0.27442032	0
512	0.28608054	0
513	0.29775102	0
514	0.30944201	0
515	0.32112275	0
516	0.33281373	0
517	0.3441663	0
518	0.35495483	0
519	0.36574335	0
520	0.37615243	0
521	0.38420281	0
522	0.39225318	0
523	0.40030356	0
524	0.407995	0
525	0.41321492	0
526	0.41843484	0
527	0.42365477	0
528	0.42913107	0
529	0.43664817	0
530	0.44416527	0
531	0.45168237	0
532	0.45919947	0
533	0.46896248	0
534	0.48034581	0
535	0.49171888	0
536	0.50310221	0
537	0.51671094	0
538	0.53318087	0
539	0.54965081	0
540	0.56612075	0
541	0.5863441	0
542	0.6068341	0
543	0.6273241	0
544	0.65324938	0
545	0.67947206	0
546	0.7076535	0
547	0.73954733	0
548	0.77201546	0
549	0.80609367	0
550	0.83652101	0.070216247
551	0.86419994	0.078898611
552	0.89305822	0.088662889
553	0.92405985	0.099644321
554	0.94915445	0.11351988
555	0.97126478	0.13161489
556	0.98963194	0.15292861
557	0.99614402	0.17562176
558	1	0.20751119
559	0.9974567	0.23742612
560	0.99490314	0.26170158
561	0.98396078	0.29332053
562	0.96405534	0.33241822
563	0.93753525	0.37048808
564	0.90644132	0.40830099
565	0.86260012	0.4470741
566	0.82096379	0.48610416
567	0.77934797	0.52391707
568	0.73741424	0.56166236
569	0.69953133	0.59582381
570	0.65916666	0.63110775
571	0.61578694	0.6727885
572	0.5725713	0.70808595
573	0.53023761	0.73943443
574	0.49041647	0.76907889
575	0.45538452	0.79750619
576	0.42123453	0.82593349
577	0.38752551	0.85014132
578	0.35506763	0.87370001
579	0.330896	0.89587926
580	0.30671411	0.91075558
581	0.28395771	0.92563191
582	0.26437017	0.94007547
583	0.24478264	0.95135442
584	0.22601553	0.96261985
585	0.21013014	0.97388529
586	0.19425501	0.98145869
587	0.17836962	0.98628673
588	0.16541723	0.99111478
589	0.15345961	0.99594282
590	0.14150198	0.9977956
591	0.12954436	0.99833656
592	0.11936089	0.99889104
593	0.11095158	0.99944552
594	0.10255253	1
595	0.09415348	0.99910742
596	0.085928767	0.99741693
597	0.079416681	0.99572644
598	0.073407103	0.99403594
599	0.0678385	0.98915381
600	0.062700618	0.98333851
601	0.057952436	0.97752322
602	0.053399104	0.97170794
603	0.04919445	0.9636612
604	0.045328219	0.95538455
605	0.041759391	0.9471079
606	0.03847771	0.93688382
607	0.035462666	0.92503686
608	0.032714258	0.91318989
609	0.03018121	0.90130236
610	0.027843013	0.88925253
611	0.025679154	0.87720271
612	0.023566572	0.86513937
613	0.021577053	0.85310306
614	0.019751618	0.84108029
615	0.018090267	0.82904399
616	0.016562234	0.81558768
617	0.015270072	0.8005626
618	0.014080463	0.78553751
619	0.012993406	0.77082347
620	0.011988391	0.75831384
621	0.011065418	0.7458042
622	0.01112695	0.73329456
623	0.011250013	0.7204874
624	0.011383331	0.70466441
625	0.011516649	0.6888414
626	0.011639712	0.67303193
627	0.011773031	0.65685731
628	0.012367835	0.64015526
629	0.012993406	0.6234532
630	0.013649742	0.60614257
631	0.014336844	0.58787173
632	0.015054712	0.57079102
633	0.014808586	0.55822729
634	0.014357355	0.54566355
635	0.013916379	0.53309982
636	0.013495913	0.52142867
637	0.012039667	0.51062304
638	0.010357806	0.49980391
639	0.0089015598	0.48898476
640	0.0076606742	0.47816561
641	0.0037329122	0.46619694
642	0.0011588436	0.45420121
643	0.00036165151	0.44220549
644	0.00011259243	0.43022328
645	3.505143e-05	0.41849803
646	1.0911589e-05	0.40708383
647	3.3971552e-06	0.39568316
648	1.0576243e-06	0.38428249
649	3.2924491e-07	0.37288181
650	1.0250023e-07	0.36319868
651	0	0.35367783
652	0	0.34415698
653	0	0.33464967
654	0	0.32515586
655	0	0.31637883
656	0	0.30758827
657	0	0.29879772
658	0	0.2900207
659	0	0.28123014
660	0	0.27288587
661	0	0.26670544
662	0	0.26051147
663	0	0.25433104
664	0	0.2481506
665	0	0.24197017
666	0	0.23578973
667	0	0.22974453
668	0	0.22493001
669	0	0.22010197
670	0	0.21528745
671	0	0.2104594
672	0	0.20564489
673	0	0.20081685
674	0	0.19600232
675	0	0.1918099
676	0	0.18788797
677	0	0.18396603
678	0	0.18004409
679	0	0.17612214
680	0	0.17220021
681	0	0.16827827
682	0	0.16435633
683	0	0.16043438
684	0	0.15651245
685	0	0.15259051
686	0	0.14935829
687	0	0.14616664
688	0	0.14297499
689	0	0.13978334
690	0	0.1365917
691	0	0.13340005
692	0	0.13020841
693	0	0.12701676
694	0	0.12382511
695	0	0.1207146
696	0	0.11767172
697	0	0.1147235
698	0	0.11182938
699	0	0.10901641
700	0	0.10628457
701	0	0.10360683
702	0	0.10099671
703	0	0.098467739
704	0	0.095965811
705	0	0.093504456
706	0	0.091097197
707	0	0.08877108
708	0	0.086485536
709	0	0.084267611
710	0	0.082103783
711	0	0.079994049
712	0	0.078087175
713	0	0.076477827
714	0	0.074895528
715	0	0.073340276
716	0	0.071825595
717	0	0.070351487
718	0	0.068890902
719	0	0.067470889
720	0	0.06595621
721	0	0.064400958
722	0	0.062872754
723	0	0.061398645
724	0	0.059951584
725	0	0.058531571
726	0	0.05715213
727	0	0.055813261
728	0	0.054487916
729	0	0.053284287
730	0	0.052175324
731	0	0.05109341
732	0	0.050025019
733	0	0.048983676
734	0	0.047969382
735	0	0.046968611
736	0	0.045981364
737	0	0.044967069
738	0	0.043966299
739	0	0.042992575
740	0	0.0420459
741	0	0.041112749
742	0	0.040193122
743	0	0.039314067
744	0	0.038475582
745	0	0.037650623
746	0	0.036839187
747	0	0.036041275
748	0	0.035270411
749	0	0.034513071
750	0	0
751	0	0
752	0	0
753	0	0
754	0	0
755	0	0
756	0	0
757	0	0
758	0	0
759	0	0
760	0	0
761	0	0
762	0	0
763	0	0
764	0	0
765	0	0
766	0	0
767	0	0
768	0	0
769	0	0
770	0	0
771	0	0
772	0	0
773	0	0
774	0	0
775	0	0
776	0	0
777	0	0
778	0	0
779	0	0
780	0	0
781	0	0
782	0	0
783	0	0
784	0	0
785	0	0
786	0	0
787	0	0
788	0	0
789	0	0
790	0	0
791	0	0
792	0	0
793	0	0
794	0	0
795	0	0
796	0	0
797	0	0
798	0	0
799	0	0
800	0	0
801	0	0
802	0	0
803	0	0
804	0	0
805	0	0
806	0	0
807	0	0
808	0	0
809	0	0
810	0	0
811	0	0
812	0	0
813	0	0
814	0	0
815	0	0
816	0	0
817	0	0
818	0	0
819	0	0
820	0	0
821	0	0
822	0	0
823	0	0
824	0	0
825	0	0
826	0	0
827	0	0
828	0	0
829	0	0
830	0	0
831	0	0
832	0	0
833	0	0
834	0	0
835	0	0
836	0	0
837	0	0
838	0	0
839	0	0
840	0	0
841	0	0
842	0	0
843	0	0
844	0	0
845	0	0
846	0	0
847	0	0
848	0	0
849	0	0
850	0	0
