Wavelength_nm	Transmission
350	0
351	0
352	0
353	0
354	0
355	0
356	0
357	0
358	0
359	0
360	0
361	0
362	0
363	0
364	0
365	0
366	0
367	0
368	0
369	0
370	0
371	0
372	0
373	0
374	0
375	0
376	0
377	0
378	0
379	0
380	0
381	0
382	0
383	0
384	0
385	0
386	0
387	0
388	0
389	0
390	0
391	0
392	0
393	0
394	0
395	0
396	0
397	0
398	0
399	0
400	0
401	0
402	0
403	0
404	0
405	0
406	0
407	0
408	0
409	0
410	0
411	0
412	0
413	0
414	0
415	0
416	0
417	0
418	0
419	0
420	0
421	0
422	0
423	0
424	0
425	0
426	0
427	0
428	0
429	0
430	0
431	0
432	0
433	0
434	0
435	0
436	0
437	0
438	0
439	0
440	0
441	0
442	0
443	0
444	0
445	0
446	0
447	0
448	0
449	0
450	0
451	0
452	0
453	0
454	0
455	0
456	0
457	0
458	0
459	0
460	0
461	0
462	0
463	0
464	0
465	0
466	0.01149
467	0.003
468	0.00202
469	0.00208
470	0.0021
471	0.00265
472	0.00385
473	0.00646
474	0.00973
475	0.01154
476	0.01091
477	0.01021
478	0.01049
479	0.011
480	0.01049
481	0.00924
482	0.00839
483	0.00838
484	0.00929
485	0.01045
486	0.01089
487	0.01001
488	0.0088
489	0.00805
490	0.00821
491	0.0096
492	0.01351
493	0.02333
494	0.04856
495	0.10805
496	0.20751
497	0.30921
498	0.38028
499	0.45831
500	0.6296
501	0.82545
502	0.93161
503	0.95265
504	0.96407
505	0.97053
506	0.97356
507	0.97329
508	0.97549
509	0.97489
510	0.97739
511	0.97671
512	0.97241
513	0.96772
514	0.96794
515	0.97103
516	0.97358
517	0.97145
518	0.97116
519	0.96977
520	0.97252
521	0.97733
522	0.97957
523	0.97635
524	0.97117
525	0.97197
526	0.97583
527	0.98151
528	0.98128
529	0.975
530	0.97147
531	0.97208
532	0.97402
533	0.97829
534	0.98091
535	0.97576
536	0.97422
537	0.97272
538	0.97841
539	0.97702
540	0.97996
541	0.97749
542	0.97596
543	0.9758
544	0.97466
545	0.95785
546	0.90286
547	0.79244
548	0.66161
549	0.54582
550	0.44133
551	0.31881
552	0.196
553	0.10565
554	0.05603
555	0.032
556	0.02045
557	0.01461
558	0.01135
559	0.00952
560	0.00853
561	0.00796
562	0.00771
563	0.00767
564	0.00796
565	0.00848
566	0.00934
567	0.01092
568	0.01361
569	0.01845
570	0.02767
571	0.04597
572	0.08415
573	0.15657
574	0.26566
575	0.38691
576	0.48951
577	0.57398
578	0.68411
579	0.8146
580	0.91216
581	0.96017
582	0.96825
583	0.97268
584	0.97397
585	0.97812
586	0.9768
587	0.97524
588	0.97467
589	0.97321
590	0.97036
591	0.97196
592	0.97192
593	0.97193
594	0.97632
595	0.97914
596	0.97971
597	0.97932
598	0.97951
599	0.9769
600	0.97938
601	0.98066
602	0.97584
603	0.9751
604	0.97827
605	0.9794
606	0.97921
607	0.97779
608	0.97842
609	0.97623
610	0.97932
611	0.97688
612	0.97851
613	0.97798
614	0.98285
615	0.98197
616	0.98252
617	0.98312
618	0.98312
619	0.97891
620	0.97702
621	0.97931
622	0.97886
623	0.97643
624	0.98262
625	0.98171
626	0.98277
627	0.97828
628	0.98081
629	0.97898
630	0.97855
631	0.976
632	0.97691
633	0.97822
634	0.97771
635	0.98199
636	0.98385
637	0.98106
638	0.98244
639	0.97807
640	0.98217
641	0.98056
642	0.97845
643	0.98391
644	0.97902
645	0.98127
646	0.97994
647	0.97907
648	0.97658
649	0.97811
650	0.97868
651	0.98205
652	0.98363
653	0.98328
654	0.98053
655	0.98339
656	0.98399
657	0.97671
658	0.97846
659	0.98215
660	0.98065
661	0.98228
662	0.98556
663	0.98948
664	0.98712
665	0.9893
666	0.98823
667	0.98466
668	0.98549
669	0.98219
670	0.98145
671	0.98224
672	0.97987
673	0.98116
674	0.97893
675	0.98413
676	0.9842
677	0.98302
678	0.9823
679	0.98204
680	0.97819
681	0.98331
682	0.98178
683	0.98629
684	0.98048
685	0.98584
686	0.9879
687	0.9825
688	0.98689
689	0.98426
690	0.98154
691	0.98034
692	0.98145
693	0.97921
694	0.9783
695	0.97943
696	0.98183
697	0.98148
698	0.98329
699	0.98596
700	0.9841
701	0.98121
702	0.98358
703	0.98393
704	0.98185
705	0.98317
706	0.98492
707	0.98708
708	0.98746
709	0.98809
710	0.98653
711	0.98276
712	0.98256
713	0.97899
714	0.97589
715	0.97483
716	0.97114
717	0.97342
718	0.97727
719	0.97836
720	0.97603
721	0.98334
722	0.98935
723	0.98814
724	0.98803
725	0.98659
726	0.98164
727	0.97736
728	0.97971
729	0.98094
730	0.97711
731	0.98246
732	0.98387
733	0.98582
734	0.98662
735	0.98579
736	0.98589
737	0.98349
738	0.98505
739	0.97722
740	0.98008
741	0.97577
742	0.97307
743	0.97441
