Wavelength_nm	Transmission
350	0
351	0
352	0
353	0
354	0
355	0
356	0
357	0
358	0
359	0
360	0
361	0
362	0
363	0
364	0
365	0
366	0
367	0
368	0
369	0
370	0
371	0
372	0
373	0
374	0
375	0
376	0
377	0
378	0
379	0
380	0.05336
381	0.06614
382	0.07807
383	0.08449
384	0.08184
385	0.07437
386	0.06832
387	0.06656
388	0.06899
389	0.07538
390	0.08368
391	0.08862
392	0.08834
393	0.08337
394	0.07647
395	0.0727
396	0.07164
397	0.07431
398	0.0795
399	0.08526
400	0.08735
401	0.08434
402	0.07684
403	0.06955
404	0.06385
405	0.06148
406	0.06253
407	0.06689
408	0.07461
409	0.083
410	0.0891
411	0.08978
412	0.08591
413	0.07937
414	0.07397
415	0.07106
416	0.0719
417	0.07566
418	0.08173
419	0.0874
420	0.09006
421	0.0875
422	0.08033
423	0.07191
424	0.06415
425	0.05942
426	0.05792
427	0.0601
428	0.06557
429	0.07348
430	0.08219
431	0.08732
432	0.08647
433	0.07723
434	0.06433
435	0.05148
436	0.04174
437	0.03555
438	0.03191
439	0.03043
440	0.03052
441	0.03205
442	0.03457
443	0.03773
444	0.0402
445	0.04115
446	0.04001
447	0.03684
448	0.03282
449	0.02875
450	0.02582
451	0.02369
452	0.02265
453	0.02258
454	0.0234
455	0.02511
456	0.02766
457	0.03101
458	0.03422
459	0.0371
460	0.03865
461	0.03772
462	0.03547
463	0.03227
464	0.0292
465	0.02667
466	0.02476
467	0.02395
468	0.02391
469	0.02496
470	0.02678
471	0.02977
472	0.03441
473	0.04072
474	0.04905
475	0.0594
476	0.07086
477	0.08187
478	0.08985
479	0.09267
480	0.09039
481	0.08404
482	0.07626
483	0.06864
484	0.06211
485	0.05693
486	0.05283
487	0.04989
488	0.04839
489	0.04779
490	0.04916
491	0.05274
492	0.05894
493	0.06629
494	0.0725
495	0.07607
496	0.07847
497	0.08198
498	0.08553
499	0.08593
500	0.07966
501	0.067
502	0.05242
503	0.03944
504	0.02935
505	0.02228
506	0.01715
507	0.01378
508	0.01142
509	0.00976
510	0.00853
511	0.00775
512	0.00719
513	0.00687
514	0.00665
515	0.00652
516	0.0066
517	0.00679
518	0.00725
519	0.00792
520	0.00888
521	0.01034
522	0.01254
523	0.01567
524	0.02035
525	0.02765
526	0.03853
527	0.05299
528	0.06848
529	0.07858
530	0.07808
531	0.0684
532	0.05485
533	0.0428
534	0.03499
535	0.03251
536	0.03701
537	0.04361
538	0.04364
539	0.03551
540	0.0258
541	0.02036
542	0.01805
543	0.01877
544	0.02026
545	0.02057
546	0.02132
547	0.0226
548	0.02434
549	0.02669
550	0.02976
551	0.03395
552	0.03934
553	0.0461
554	0.05553
555	0.06759
556	0.08347
557	0.10386
558	0.13112
559	0.16562
560	0.20746
561	0.2549
562	0.30765
563	0.35942
564	0.40625
565	0.44538
566	0.47919
567	0.50494
568	0.53641
569	0.57352
570	0.62334
571	0.6878
572	0.7589
573	0.82678
574	0.88588
575	0.92926
576	0.9497
577	0.96415
578	0.96751
579	0.96764
580	0.96732
581	0.96605
582	0.97088
583	0.96775
584	0.96727
585	0.96705
586	0.96676
587	0.96264
588	0.96432
589	0.96277
590	0.96544
591	0.9631
592	0.96204
593	0.96534
594	0.96745
595	0.96737
596	0.97126
597	0.97266
598	0.96962
599	0.97001
600	0.96881
601	0.97047
602	0.97036
603	0.96956
604	0.96751
605	0.96824
606	0.96629
607	0.96334
608	0.96475
609	0.9665
610	0.96392
611	0.96671
612	0.96435
613	0.96626
614	0.96495
615	0.96589
616	0.96789
617	0.96861
618	0.96828
619	0.96999
620	0.97032
621	0.97101
622	0.9707
623	0.97115
624	0.97242
625	0.973
626	0.9737
627	0.97295
628	0.97512
629	0.97124
630	0.97418
631	0.9749
632	0.96946
633	0.97213
634	0.97271
635	0.97211
636	0.97051
637	0.96515
638	0.96912
639	0.96947
640	0.96843
641	0.96584
642	0.96783
643	0.96483
644	0.96937
645	0.96871
646	0.96595
647	0.96786
648	0.96554
649	0.96871
650	0.9687
651	0.97203
652	0.97329
653	0.97374
654	0.97488
655	0.97432
656	0.97641
657	0.97737
658	0.97362
659	0.97536
660	0.97275
661	0.97399
662	0.97458
663	0.97223
664	0.9718
665	0.97148
666	0.96951
667	0.97284
668	0.96893
669	0.96774
670	0.96918
671	0.97214
672	0.96893
673	0.97086
674	0.97274
675	0.97318
676	0.96768
677	0.97516
678	0.97475
679	0.97671
680	0.97677
681	0.98014
682	0.97805
683	0.97939
684	0.97656
685	0.97439
686	0.97737
687	0.97531
688	0.97712
689	0.97861
690	0.97872
691	0.97891
692	0.97496
693	0.97492
694	0.97756
695	0.97903
696	0.97203
697	0.97226
698	0.97291
699	0.97318
700	0.97161
701	0.97138
702	0.97255
703	0.97659
704	0.97179
705	0.97746
