# APD440A2 Thorlabs detector spectral response
# Source: Thorlabs APD4x0A/APD4x0A2 typical responsivity plot.
# Curve used: APD410A2 & APD440A2 (M = 50), red trace.
# Original plot units: responsivity A/W, approximate peak 24 A/W near 590-610 nm.
# Values below are normalized relative response for use by filterDesignerApp.
Wavelength_nm	Relative_Response
350	0.59808612
351	0.59491628
352	0.59174642
353	0.58857655
354	0.58540671
355	0.58223685
356	0.57906698
357	0.57589714
358	0.57272728
359	0.56955741
360	0.56638757
361	0.56321771
362	0.56004784
363	0.556878
364	0.55370814
365	0.55053827
366	0.54736843
367	0.54419857
368	0.54102871
369	0.53785886
370	0.534689
371	0.53684211
372	0.53899522
373	0.54114833
374	0.54330144
375	0.54545455
376	0.54760766
377	0.54976077
378	0.55191388
379	0.55406699
380	0.5562201
381	0.55837321
382	0.56052632
383	0.56267943
384	0.56483254
385	0.56698565
386	0.56913876
387	0.57129187
388	0.57344498
389	0.57559809
390	0.5777512
391	0.57990431
392	0.58205742
393	0.58421053
394	0.58636364
395	0.58851675
396	0.59066986
397	0.59282297
398	0.59497608
399	0.59712919
400	0.5992823
401	0.60167464
402	0.604067
403	0.60645933
404	0.60885167
405	0.61124403
406	0.61363637
407	0.61602871
408	0.61842106
409	0.6208134
410	0.62320574
411	0.6255981
412	0.62799043
413	0.63038277
414	0.63277513
415	0.63516747
416	0.63755981
417	0.63995216
418	0.6423445
419	0.64473684
420	0.6471292
421	0.64952153
422	0.65191387
423	0.65430623
424	0.65669857
425	0.65909091
426	0.66148326
427	0.6638756
428	0.66626794
429	0.6686603
430	0.67105264
431	0.67344497
432	0.67583733
433	0.67822967
434	0.68062201
435	0.68301436
436	0.6854067
437	0.68779904
438	0.6901914
439	0.69258374
440	0.69497607
441	0.69736843
442	0.69976077
443	0.70215311
444	0.70454546
445	0.7069378
446	0.70933014
447	0.7117225
448	0.71411484
449	0.71650718
450	0.71889953
451	0.72129187
452	0.72368421
453	0.72607657
454	0.7284689
455	0.73086124
456	0.7332536
457	0.73564594
458	0.73803828
459	0.74043063
460	0.74282297
461	0.74521531
462	0.74760767
463	0.75
464	0.75239234
465	0.7547847
466	0.75717704
467	0.75956938
468	0.76196173
469	0.76435407
470	0.76674641
471	0.76913877
472	0.77153111
473	0.77392344
474	0.7763158
475	0.77870814
476	0.78110048
477	0.78349283
478	0.78588517
479	0.78827751
480	0.79066987
481	0.79306221
482	0.79545454
483	0.7978469
484	0.80023924
485	0.80263158
486	0.80502393
487	0.80741627
488	0.80980861
489	0.81220097
490	0.81459331
491	0.81698564
492	0.819378
493	0.82177034
494	0.82416268
495	0.82655503
496	0.82894737
497	0.83133971
498	0.83373207
499	0.83612441
500	0.83851675
501	0.8409091
502	0.84330144
503	0.84569378
504	0.84808614
505	0.85047847
506	0.85287081
507	0.85526317
508	0.85765551
509	0.86004785
510	0.8624402
511	0.86483254
512	0.86722488
513	0.86961724
514	0.87200957
515	0.87440191
516	0.87679427
517	0.87918661
518	0.88157895
519	0.8839713
520	0.88636364
521	0.88767943
522	0.88899523
523	0.89031101
524	0.89162679
525	0.8929426
526	0.89425838
527	0.89557416
528	0.89688996
529	0.89820575
530	0.89952153
531	0.90083733
532	0.90215312
533	0.9034689
534	0.9047847
535	0.90610048
536	0.90741627
537	0.90873207
538	0.91004785
539	0.91136364
540	0.91267944
541	0.91399522
542	0.915311
543	0.91662681
544	0.91794259
545	0.91925837
546	0.92057417
547	0.92188996
548	0.92320574
549	0.92452154
550	0.92583733
551	0.9270335
552	0.92822966
553	0.92942584
554	0.93062202
555	0.93181818
556	0.93301436
557	0.93421054
558	0.9354067
559	0.93660288
560	0.93779905
561	0.93899521
562	0.94019139
563	0.94138757
564	0.94258373
565	0.94377991
566	0.94497609
567	0.94617225
568	0.94736843
569	0.9485646
570	0.94976077
571	0.95095694
572	0.95215312
573	0.95334928
574	0.95454546
575	0.95574164
576	0.9569378
577	0.95813398
578	0.95933016
579	0.96052632
580	0.96172249
581	0.96363638
582	0.96555024
583	0.96746412
584	0.969378
585	0.97129187
586	0.97320575
587	0.97511963
588	0.97703349
589	0.97894737
590	0.98086126
591	0.98277512
592	0.984689
593	0.98660288
594	0.98851675
595	0.99043063
596	0.99234451
597	0.99425837
598	0.99617225
599	0.99808614
600	1
601	0.99892344
602	0.99784689
603	0.99677033
604	0.99569378
605	0.99461722
606	0.99354067
607	0.99246411
608	0.99138756
609	0.990311
610	0.98923445
611	0.98815789
612	0.98708134
613	0.98600478
614	0.98492823
615	0.98385167
616	0.98277512
617	0.98169856
618	0.98062201
619	0.97954545
620	0.9784689
621	0.97739234
622	0.97631579
623	0.97523923
624	0.97416268
625	0.97308612
626	0.97200957
627	0.97093301
628	0.96985646
629	0.9687799
630	0.96770335
631	0.96662679
632	0.96555024
633	0.96447368
634	0.96339713
635	0.96232057
636	0.96124402
637	0.96016746
638	0.95909091
639	0.95801435
640	0.9569378
641	0.95586124
642	0.95478469
643	0.95370813
644	0.95263158
645	0.95155502
646	0.95047847
647	0.94940191
648	0.94832536
649	0.9472488
650	0.94617225
651	0.94348086
652	0.94078947
653	0.93809809
654	0.9354067
655	0.93271531
656	0.93002392
657	0.92733254
658	0.92464115
659	0.92194976
660	0.91925837
661	0.91656699
662	0.9138756
663	0.91118421
664	0.90849282
665	0.90580143
666	0.90311005
667	0.90041866
668	0.89772727
669	0.89503588
670	0.8923445
671	0.88965311
672	0.88696172
673	0.88427033
674	0.88157895
675	0.87888756
676	0.87619617
677	0.87350478
678	0.8708134
679	0.86812201
680	0.86543062
681	0.86273923
