Wavelength (nm)	%T
1800	80.74674988
1799	80.47641754
1798	80.22633362
1797	79.98045349
1796	79.70776367
1795	79.46215057
1794	79.22345734
1793	78.9835434
1792	78.74424744
1791	78.51593018
1790	78.30271149
1789	78.07327271
1788	77.85096741
1787	77.65857697
1786	77.45896912
1785	77.25662231
1784	77.06750488
1783	76.88959503
1782	76.71540833
1781	76.53515625
1780	76.37000275
1779	76.22416687
1778	76.07305908
1777	75.92373657
1776	75.78845978
1775	75.66241455
1774	75.54180908
1773	75.41894531
1772	75.31899261
1771	75.22529602
1770	75.12717438
1769	75.03701782
1768	74.96453857
1767	74.89927673
1766	74.82923889
1765	74.77479553
1764	74.73478699
1763	74.69508362
1762	74.65635681
1761	74.63168335
1760	74.62056732
1759	74.61063385
1758	74.60462189
1757	74.61875153
1756	74.63536072
1755	74.65154266
1754	74.67972565
1753	74.72454834
1752	74.76768494
1751	74.81726837
1750	74.88510132
1749	74.9557724
1748	75.02889252
1747	75.10844421
1746	75.19573212
1745	75.30306244
1744	75.40523529
1743	75.51228333
1742	75.63703918
1741	75.76248169
1740	75.88791656
1739	76.02851868
1738	76.17218018
1737	76.32681274
1736	76.48403931
1735	76.64411163
1734	76.82048798
1733	76.99267578
1732	77.17720795
1731	77.36533356
1730	77.56546021
1729	77.7631073
1728	77.96665955
1727	78.18022919
1726	78.39513397
1725	78.61471558
1724	78.84345245
1723	79.07614899
1722	79.31219482
1721	79.55267334
1720	79.79676819
1719	80.04811096
1718	80.30170441
1717	80.56220245
1716	80.82533264
1715	81.09033966
1714	81.36723328
1713	81.63005066
1712	81.90318298
1711	82.18922424
1710	82.46807098
1709	82.74676514
1708	83.03245544
1707	83.32352448
1706	83.6084137
1705	83.90049744
1704	84.20493317
1703	84.49053192
1702	84.78139496
1701	85.0796814
1700	85.37200928
1699	85.66529846
1698	85.96212769
1697	86.25497437
1696	86.55448151
1695	86.84645844
1694	87.14157104
1693	87.43140411
1692	87.72692108
1691	88.02524567
1690	88.3152771
1689	88.6082077
1688	88.90261078
1687	89.18940735
1686	89.46910858
1685	89.75218964
1684	90.03001404
1683	90.30760193
1682	90.57926941
1681	90.84675598
1680	91.10907745
1679	91.3766861
1678	91.64310455
1677	91.88932037
1676	92.14016724
1675	92.39720917
1674	92.63832855
1673	92.87548065
1672	93.11229706
1671	93.33946991
1670	93.56500244
1669	93.79705811
1668	94.02424622
1667	94.23465729
1666	94.43811035
1665	94.63668823
1664	94.8276825
1663	95.01582336
1662	95.20882416
1661	95.3899231
1660	95.56840515
1659	95.74015045
1658	95.90564728
1657	96.06622314
1656	96.21425629
1655	96.36460876
1654	96.49907684
1653	96.63471222
1652	96.77346802
1651	96.89280701
1650	97.01469421
1649	97.13818359
1648	97.23674011
1647	97.3598175
1646	97.44581604
1645	97.53482056
1644	97.62976837
1643	97.70587158
1642	97.78754425
1641	97.86021423
1640	97.93671417
1639	97.99049377
1638	98.06363678
1637	98.10389709
1636	98.16842651
1635	98.18733978
1634	98.24525452
1633	98.27165222
1632	98.3167572
1631	98.34161377
1630	98.373909
1629	98.39650726
1628	98.39229584
1627	98.42221832
1626	98.42396545
1625	98.44132233
1624	98.43806458
1623	98.44017029
1622	98.4486084
1621	98.42533875
1620	98.4388504
1619	98.41706848
1618	98.41416168
1617	98.42539978
1616	98.39907074
1615	98.38360596
1614	98.37159729
1613	98.33252716
1612	98.33219147
1611	98.30631256
1610	98.2817688
1609	98.27280426
1608	98.25743103
1607	98.2173996
1606	98.18856049
1605	98.18874359
1604	98.14415741
1603	98.13011169
1602	98.11941528
1601	98.09137726
1600	98.05589294
1599	98.03295135
1598	98.02877045
1597	98.00009918
1596	97.98459625
1595	97.95343781
1594	97.93106079
1593	97.92021942
1592	97.90792847
1591	97.90923309
1590	97.88191986
1589	97.86760712
1588	97.84266663
1587	97.8323822
1586	97.82964325
1585	97.82975769
1584	97.82106781
1583	97.82591248
1582	97.81471252
1581	97.8169632
1580	97.811203
1579	97.81345367
1578	97.80927277
1577	97.81702423
1576	97.82222748
1575	97.83087158
1574	97.8343277
1573	97.85359192
1572	97.86019135
1571	97.87213898
1570	97.88392639
1569	97.89369202
1568	97.91265106
1567	97.92401123
1566	97.93810272
1565	97.96331787
1564	97.96383667
1563	97.99763489
1562	98.01759338
1561	98.02285767
1560	98.05600739
1559	98.06356812
1558	98.09395599
1557	98.10875702
1556	98.13899994
1555	98.15300751
1554	98.1724472
1553	98.19168091
1552	98.20613861
1551	98.22808075
1550	98.24558258
1549	98.2660675
1548	98.28064728
1547	98.30751038
1546	98.3181076
1545	98.3298111
1544	98.34636688
1543	98.35597992
1542	98.37471008
1541	98.37306976
1540	98.39634705
1539	98.39225769
1538	98.39631653
1537	98.40914154
1536	98.40940857
1535	98.42041779
1534	98.41009521
1533	98.41073608
1532	98.4152298
1531	98.41664886
1530	98.40345764
