Typical Measured Spectrum of Semrock FF511-Di01 Optical Filter	
For wavelengths between 320 and 1120 nm, values near or below 3e-7 (Optical Density 6.5) are measurement noise limited.
For wavelengths < 320 nm and > 1120 nm, values near or below 3e-6 (Optical Density 5.5) are measurement noise limited. 
Data format:  Wavelength (nm) <tab> Transmission (0 to 1)
300.0	3.5175e-05
300.2	4.7599e-05
300.4	3.5417e-05
300.6	3.5385e-05
300.8	4.88e-05
301.0	3.4525e-05
301.2	3.4141e-05
301.4	3.3217e-05
301.6	3.9675e-05
301.8	1.0993e-04
302.0	3.0742e-05
302.2	1.0948e-04
302.4	2.9564e-05
302.6	2.9303e-05
302.8	2.9261e-05
303.0	2.8847e-05
303.2	2.8645e-05
303.4	5.5042e-05
303.6	2.7579e-05
303.8	2.6993e-05
304.0	2.6333e-05
304.2	2.5643e-05
304.4	1.1582e-04
304.6	2.4394e-05
304.8	7.2828e-05
305.0	2.3693e-05
305.2	2.3516e-05
305.4	3.8467e-05
305.6	2.3451e-05
305.8	2.3411e-05
306.0	2.3369e-05
306.2	2.4436e-05
306.4	5.9768e-05
306.6	2.255e-05
306.8	2.2169e-05
307.0	6.0251e-05
307.2	3.1335e-05
307.4	5.7755e-05
307.6	2.0515e-05
307.8	2.0343e-05
308.0	2.0217e-05
308.2	2.0154e-05
308.4	2.0104e-05
308.6	2.0175e-05
308.8	3.8163e-05
309.0	2.0212e-05
309.2	8.1048e-05
309.4	2.0453e-05
309.6	2.0547e-05
309.8	3.3626e-05
310.0	6.1055e-05
310.2	2.1431e-05
310.4	4.3551e-05
310.6	2.2068e-05
310.8	2.2167e-05
311.0	2.2287e-05
311.2	2.5865e-05
311.4	2.1886e-05
311.6	2.1403e-05
311.8	2.0935e-05
312.0	2.0233e-05
312.2	1.9618e-05
312.4	2.0343e-05
312.6	1.8393e-05
312.8	1.792e-05
313.0	1.9005e-05
313.2	2.001e-05
313.4	4.5778e-05
313.6	1.7852e-05
313.8	2.2206e-05
314.0	1.8725e-05
314.2	4.8199e-05
314.4	1.9783e-05
314.6	1.8558e-05
314.8	1.9097e-05
315.0	1.9112e-05
315.2	1.7954e-05
315.4	1.8924e-05
315.6	3.5429e-05
315.8	1.7445e-05
316.0	1.8977e-05
316.2	2.5554e-05
316.4	1.7108e-05
316.6	1.9661e-05
316.8	4.4624e-05
317.0	2.0604e-05
317.2	3.2268e-05
317.4	2.729e-05
317.6	1.7124e-05
317.8	1.7365e-05
318.0	1.9716e-05
318.2	1.6861e-05
318.4	1.6731e-05
318.6	1.6002e-05
318.8	1.6696e-05
319.0	1.6443e-05
319.2	8.6163e-05
319.4	1.6724e-05
319.6	1.6014e-05
319.8	1.6265e-05
320.0	1.6023e-05
320.2	1.5257e-05
320.4	3.9192e-05
320.6	1.5186e-05
320.8	1.4586e-05
321.0	1.4707e-05
321.2	1.4884e-05
321.4	1.679e-05
321.6	1.535e-05
321.8	2.3927e-05
322.0	1.5638e-05
322.2	3.1057e-05
322.4	1.6767e-05
322.6	1.6736e-05
322.8	1.7556e-05
323.0	1.7216e-05
323.2	1.7026e-05
323.4	1.7043e-05
323.6	1.6359e-05
323.8	1.6078e-05
324.0	1.836e-05
324.2	1.4882e-05
324.4	4.9275e-05
324.6	2.1707e-05
324.8	1.3304e-05
325.0	1.2996e-05
325.2	1.2748e-05
325.4	1.2521e-05
325.6	1.2535e-05
325.8	1.2387e-05
326.0	1.239e-05
326.2	2.3184e-05
326.4	1.9353e-05
326.6	1.2438e-05
326.8	2.1501e-05
327.0	1.2202e-05
327.2	1.2115e-05
327.4	2.4503e-05
327.6	5.0015e-05
327.8	4.047e-05
328.0	2.44e-05
328.2	1.0988e-05
328.4	1.074e-05
328.6	2.5745e-05
328.8	1.0301e-05
329.0	2.0887e-05
329.2	9.9389e-06
329.4	9.7846e-06
329.6	9.6478e-06
329.8	2.3071e-05
330.0	9.4028e-06
330.2	9.3112e-06
330.4	9.1997e-06
330.6	1.1714e-05
330.8	8.9801e-06
331.0	8.906e-06
331.2	8.7964e-06
331.4	8.7001e-06
331.6	8.576e-06
331.8	8.4436e-06
332.0	1.0364e-05
332.2	5.0941e-05
332.4	9.372e-06
332.6	1.2212e-05
332.8	7.9686e-06
333.0	7.8944e-06
333.2	7.8618e-06
333.4	7.7852e-06
333.6	7.7414e-06
333.8	9.6387e-06
334.0	7.7332e-06
334.2	7.7173e-06
334.4	1.7491e-05
334.6	7.6314e-06
334.8	1.0842e-05
335.0	7.5344e-06
335.2	9.6168e-06
335.4	7.3707e-06
335.6	7.2086e-06
335.8	7.0643e-06
336.0	1.3994e-05
336.2	6.8189e-06
336.4	6.7241e-06
336.6	6.6357e-06
336.8	6.6217e-06
337.0	8.1393e-06
337.2	1.7461e-05
337.4	6.33e-06
337.6	6.3266e-06
337.8	9.1599e-06
338.0	6.2356e-06
338.2	6.232e-06
338.4	6.1854e-06
338.6	9.8607e-06
338.8	6.6187e-06
339.0	6.0009e-06
339.2	5.9418e-06
339.4	5.8688e-06
339.6	5.9599e-06
339.8	5.7018e-06
340.0	1.1834e-05
340.2	5.5336e-06
340.4	5.4719e-06
340.6	7.0371e-06
340.8	1.3916e-05
341.0	3.6741e-05
341.2	9.106e-06
341.4	5.2286e-06
341.6	5.187e-06
341.8	5.1715e-06
342.0	5.1231e-06
342.2	5.0769e-06
342.4	5.0631e-06
342.6	1.6322e-05
342.8	6.6909e-06
343.0	1.1868e-05
343.2	5.0027e-06
343.4	6.6677e-06
343.6	4.8203e-06
343.8	6.1501e-06
344.0	4.7804e-06
344.2	4.7468e-06
344.4	4.7192e-06
344.6	2.8278e-05
344.8	4.6898e-06
345.0	1.3499e-05
345.2	4.6497e-06
345.4	4.5793e-06
345.6	4.5703e-06
345.8	4.5299e-06
346.0	4.4711e-06
346.2	4.464e-06
346.4	4.4154e-06
346.6	1.1275e-05
346.8	1.297e-05
347.0	4.3837e-06
347.2	4.4206e-06
347.4	4.4829e-06
347.6	4.4501e-06
347.8	4.552e-06
348.0	5.8474e-06
348.2	4.5777e-06
348.4	4.671e-06
348.6	8.6613e-06
348.8	4.6701e-06
349.0	4.7183e-06
349.2	7.821e-06
349.4	4.6399e-06
349.6	2.2686e-05
349.8	4.5222e-06
350.0	5.937e-06
350.2	7.1651e-06
350.4	5.65e-06
350.6	4.4219e-06
350.8	9.1551e-06
351.0	4.4016e-06
351.2	8.3611e-06
351.4	4.5001e-06
351.6	4.5745e-06
351.8	4.9982e-06
352.0	4.7034e-06
352.2	4.8122e-06
352.4	4.8691e-06
352.6	4.9065e-06
352.8	4.9483e-06
353.0	4.9432e-06
353.2	1.5461e-05
353.4	4.8611e-06
353.6	8.1226e-06
353.8	4.7294e-06
354.0	4.9529e-06
354.2	4.5619e-06
354.4	4.459e-06
354.6	4.3876e-06
354.8	4.3161e-06
355.0	4.2546e-06
355.2	4.2133e-06
355.4	1.4632e-05
355.6	4.8966e-06
355.8	5.1476e-06
356.0	4.1802e-06
356.2	4.2097e-06
356.4	4.1874e-06
356.6	4.2386e-06
356.8	4.2684e-06
357.0	1.0471e-05
357.2	4.3273e-06
357.4	1.0843e-05
357.6	4.3917e-06
357.8	4.4793e-06
358.0	5.2113e-06
358.2	4.5528e-06
358.4	4.641e-06
358.6	4.8969e-06
358.8	4.7351e-06
359.0	4.769e-06
359.2	4.7888e-06
359.4	4.8039e-06
359.6	4.8085e-06
359.8	4.7817e-06
360.0	1.2882e-05
360.2	4.707e-06
360.4	4.6407e-06
360.6	4.5894e-06
360.8	4.5872e-06
361.0	4.5737e-06
361.2	4.6221e-06
361.4	4.7151e-06
361.6	4.8617e-06
361.8	5.0243e-06
362.0	6.9206e-06
362.2	5.5746e-06
362.4	5.8068e-06
362.6	6.1806e-06
362.8	6.5301e-06
363.0	6.7571e-06
363.2	2.6604e-05
363.4	7.2587e-06
363.6	1.208e-05
363.8	3.0937e-05
364.0	1.8766e-05
364.2	1.092e-05
364.4	7.3054e-06
364.6	7.2692e-06
364.8	7.0819e-06
365.0	1.5759e-05
365.2	6.8511e-06
365.4	6.733e-06
365.6	6.7222e-06
365.8	6.765e-06
366.0	6.8296e-06
366.2	7.011e-06
366.4	7.1901e-06
366.6	7.4538e-06
366.8	7.7775e-06
367.0	1.6214e-05
367.2	1.1154e-05
367.4	8.9593e-06
367.6	4.2162e-05
367.8	1.4413e-05
368.0	1.069e-05
368.2	6.7444e-05
368.4	1.2541e-05
368.6	1.3952e-05
368.8	1.5747e-05
369.0	3.0934e-05
369.2	3.3914e-05
369.4	2.4793e-05
369.6	4.7911e-05
369.8	4.399e-05
370.0	4.5337e-05
370.2	5.6258e-05
370.4	6.8869e-05
370.6	9.0906e-05
370.8	1.0738e-04
371.0	1.3625e-04
371.2	2.7284e-04
371.4	1.7422e-04
371.6	1.9925e-04
371.8	2.2903e-04
372.0	5.1862e-04
372.2	0.00138
372.4	3.1509e-04
372.6	3.5271e-04
372.8	3.705e-04
373.0	3.9254e-04
373.2	0.00113
373.4	4.4912e-04
373.6	4.8295e-04
373.8	5.1725e-04
374.0	9.4297e-04
374.2	0.00321
374.4	6.0287e-04
374.6	6.4343e-04
374.8	6.7087e-04
375.0	7.0928e-04
375.2	9.1037e-04
375.4	9.8785e-04
375.6	8.2088e-04
375.8	9.5767e-04
376.0	9.0256e-04
376.2	9.4318e-04
376.4	9.9428e-04
376.6	0.00107
376.8	0.0011
377.0	0.00629
377.2	0.00175
377.4	0.00127
377.6	0.00128
377.8	0.00141
378.0	0.00283
378.2	0.00146
378.4	0.00153
378.6	0.00701
378.8	0.00789
379.0	0.00216
379.2	0.00985
379.4	0.00166
379.6	0.00189
379.8	0.00171
380.0	0.00728
380.2	0.0064
380.4	0.00179
380.6	0.0019
380.8	0.00186
381.0	0.00273
381.2	0.00193
381.4	0.00198
381.6	0.00202
381.8	0.00932
382.0	0.00342
382.2	0.00204
382.4	0.00213
382.6	0.00527
382.8	0.00207
383.0	0.00218
383.2	0.00216
383.4	0.00224
383.6	0.00226
383.8	0.00232
384.0	0.00253
384.2	0.00921
384.4	0.01047
384.6	0.01225
384.8	0.01491
385.0	0.01849
385.2	0.02406
385.4	0.03224
385.6	0.04331
385.8	0.05742
386.0	0.07107
386.2	0.0817
386.4	0.08643
386.6	0.0844
386.8	0.07539
387.0	0.06196
387.2	0.0475
387.4	0.03495
387.6	0.02559
387.8	0.01933
388.0	0.01477
388.2	0.01195
388.4	0.00979
388.6	0.00838
388.8	0.00717
389.0	0.00645
389.2	0.0058
389.4	0.0054
389.6	0.00497
389.8	0.00471
390.0	0.0045
390.2	0.00438
390.4	0.0043
390.6	0.00424
390.8	0.0042
391.0	0.00427
391.2	0.00437
391.4	0.00444
391.6	0.00464
391.8	0.00486
392.0	0.00469
392.2	0.005
392.4	0.00541
392.6	0.00594
392.8	0.00663
393.0	0.00753
393.2	0.00856
393.4	0.00993
393.6	0.01157
393.8	0.01334
394.0	0.01538
394.2	0.01733
394.4	0.01886
394.6	0.01982
394.8	0.02022
395.0	0.01965
395.2	0.0184
395.4	0.01662
395.6	0.01454
395.8	0.01234
396.0	0.01027
396.2	0.00854
396.4	0.00713
396.6	0.006
396.8	0.00505
397.0	0.00435
397.2	0.0038
397.4	0.00332
397.6	0.0029
397.8	0.00265
398.0	0.0024
398.2	0.0022
398.4	0.00202
398.6	0.00185
398.8	0.00176
399.0	0.00167
399.2	0.00157
399.4	0.00147
399.6	0.00143
399.8	0.00135
400.0	0.00129
400.2	0.00126
400.4	0.00128
400.6	0.00125
400.8	0.00125
401.0	0.00124
401.2	0.00123
401.4	0.00122
401.6	0.00126
401.8	0.00131
402.0	0.00134
402.2	0.00136
402.4	0.00139
402.6	0.00145
402.8	0.00154
403.0	0.00162
403.2	0.0017
403.4	0.00181
403.6	0.00194
403.8	0.00206
404.0	0.00221
404.2	0.0024
404.4	0.0026
404.6	0.00285
404.8	0.00315
405.0	0.00353
405.2	0.00397
405.4	0.0044
405.6	0.0049
405.8	0.00548
406.0	0.00612
406.2	0.00681
406.4	0.00746
406.6	0.00809
406.8	0.0086
407.0	0.00898
407.2	0.00927
407.4	0.00929
407.6	0.00907
407.8	0.00876
408.0	0.00833
408.2	0.00767
408.4	0.00701
408.6	0.00629
408.8	0.00565
409.0	0.00509
409.2	0.00454
409.4	0.0041
409.6	0.00371
409.8	0.00336
410.0	0.00304
410.2	0.00279
410.4	0.00259
410.6	0.00241
410.8	0.00226
411.0	0.00214
411.2	0.00199
411.4	0.00189
411.6	0.00181
411.8	0.00174
412.0	0.00169
412.2	0.00163
412.4	0.00159
412.6	0.00154
412.8	0.00149
413.0	0.0015
413.2	0.0015
413.4	0.00148
413.6	0.00146
413.8	0.00146
414.0	0.00147
414.2	0.00148
414.4	0.0015
414.6	0.00154
414.8	0.00159
415.0	0.00163
415.2	0.00166
415.4	0.0017
415.6	0.00177
415.8	0.00183
416.0	0.00191
416.2	0.00201
416.4	0.00211
416.6	0.00222
416.8	0.00237
417.0	0.00256
417.2	0.00273
417.4	0.00293
417.6	0.00317
417.8	0.00348
418.0	0.00376
418.2	0.00411
418.4	0.0045
418.6	0.00493
418.8	0.00541
419.0	0.00594
419.2	0.00648
419.4	0.00705
419.6	0.00765
419.8	0.00823
420.0	0.0088
420.2	0.00931
420.4	0.00974
420.6	0.01007
420.8	0.0102
421.0	0.01023
421.2	0.01019
421.4	0.01002
421.6	0.00965
421.8	0.0092
422.0	0.0088
422.2	0.0083
422.4	0.00776
422.6	0.00729
422.8	0.00681
423.0	0.0064
423.2	0.006
423.4	0.00563
423.6	0.00532
423.8	0.00505
424.0	0.00482
424.2	0.00463
424.4	0.00446
424.6	0.00426
424.8	0.00416
425.0	0.00405
425.2	0.00395
425.4	0.00385
425.6	0.0038
425.8	0.00377
426.0	0.00376
426.2	0.00376
426.4	0.00378
426.6	0.0038
426.8	0.00386
427.0	0.00348
427.2	0.00392
427.4	0.00393
427.6	0.00419
427.8	0.00423
428.0	0.00446
428.2	0.00464
428.4	0.00481
428.6	0.00502
428.8	0.00529
429.0	0.00561
429.2	0.00591
429.4	0.00626
429.6	0.00667
429.8	0.0071
430.0	0.00755
430.2	0.00808
430.4	0.0087
430.6	0.00921
430.8	0.00991
431.0	0.01053
431.2	0.0112
431.4	0.01193
431.6	0.01256
431.8	0.01313
432.0	0.01368
432.2	0.01404
432.4	0.01437
432.6	0.01472
432.8	0.0146
433.0	0.01465
433.2	0.01448
433.4	0.01427
433.6	0.01398
433.8	0.01357
434.0	0.01316
434.2	0.01262
434.4	0.01212
434.6	0.01166
434.8	0.0112
435.0	0.01075
435.2	0.0103
435.4	0.01001
435.6	0.00963
435.8	0.00934
436.0	0.00907
436.2	0.00888
436.4	0.0086
436.6	0.00846
436.8	0.00829
437.0	0.00819
437.2	0.00808
437.4	0.008
437.6	0.00811
437.8	0.00805
438.0	0.00798
438.2	0.00813
438.4	0.00824
438.6	0.0084
438.8	0.00845
439.0	0.00879
439.2	0.00898
439.4	0.00925
