Wavelength_nm	Transmission
350	0.01602
351	0.01977
352	0.0089800004
353	0.00618
354	0.0087900003
355	0.0076700002
356	0.0032899999
357	0.0021299999
358	0.00272
359	0.0046100002
360	0.0043100002
361	0.0025899999
362	0.0024300001
363	0.00398
364	0.0078299996
365	0.0057899999
366	0.00251
367	0.00166
368	0.00158
369	0.00167
370	0.0020399999
371	0.0035300001
372	0.0054199998
373	0.0040000002
374	0.0020999999
375	0.00166
376	0.00188
377	0.0021899999
378	0.00166
379	0.00111
380	0.00094725
381	0.00102
382	0.00127
383	0.0012000001
384	0.00095414999
385	0.00078273
386	0.00079069001
387	0.00091593002
388	0.0011399999
389	0.00118
390	0.00097211997
391	0.00081862998
392	0.00109
393	0.00156
394	0.0021500001
395	0.0024300001
396	0.0020699999
397	0.00194
398	0.0021599999
399	0.0033799999
400	0.0052700001
401	0.0067400001
402	0.0065899999
403	0.0061900001
404	0.0074100001
405	0.01176
406	0.021120001
407	0.030270001
408	0.029890001
409	0.023189999
410	0.01849
411	0.017510001
412	0.019269999
413	0.0222
414	0.01984
415	0.01284
416	0.00765
417	0.0054700002
418	0.0052100001
419	0.0065299999
420	0.0091700004
421	0.01086
422	0.0093999999
423	0.0066
424	0.0048099998
425	0.0044900002
426	0.0052800002
427	0.0081099998
428	0.01408
429	0.022159999
430	0.02396
431	0.01881
432	0.01371
433	0.01094
434	0.01001
435	0.01051
436	0.01265
437	0.01698
438	0.018750001
439	0.0141
440	0.00734
441	0.0040500001
442	0.00352
443	0.0063299998
444	0.0084899999
445	0.0070099998
446	0.0063399998
447	0.0082700001
448	0.0068999999
449	0.00352
450	0.00186
451	0.00151
452	0.00148
453	0.0014299999
454	0.00187
455	0.0051899999
456	0.01301
457	0.01327
458	0.0054600001
459	0.00174
460	0.00105
461	0.00076194998
462	0.00074305001
463	0.00083203998
464	0.00119
465	0.00229
466	0.0063
467	0.01077
468	0.01103
469	0.0069300001
470	0.0035999999
471	0.0026799999
472	0.00241
473	0.0024300001
474	0.0028899999
475	0.00343
476	0.0034700001
477	0.0035399999
478	0.00403
479	0.0045400001
480	0.0051000002
481	0.00556
482	0.0060999999
483	0.0067799999
484	0.0078999996
485	0.0097200004
486	0.01299
487	0.019069999
488	0.030859999
489	0.055399999
490	0.10497
491	0.19261999
492	0.30658001
493	0.40832999
494	0.46621999
495	0.49309999
496	0.52508998
497	0.60343999
498	0.74263
499	0.88568997
500	0.95638001
501	0.96644002
502	0.96596998
503	0.97012001
504	0.97000003
505	0.96662003
506	0.96183997
507	0.95807999
508	0.95677
509	0.95773
510	0.95732999
511	0.95787001
512	0.96403998
513	0.96551001
514	0.96876001
515	0.96873999
516	0.96533
517	0.96178001
518	0.96118999
519	0.95987999
520	0.96210998
521	0.95918
522	0.96682
523	0.96643001
524	0.96177
525	0.96267003
526	0.96041
527	0.95880002
528	0.96148002
529	0.96537
530	0.96693999
531	0.96596998
532	0.96556997
533	0.96578997
534	0.96271998
535	0.95967001
536	0.96065998
537	0.96187001
538	0.96610999
539	0.97057003
540	0.96965998
541	0.96899003
542	0.96483999
543	0.96534997
544	0.96090001
545	0.95708001
546	0.95929998
547	0.95968997
548	0.96237999
549	0.96542001
550	0.96402001
551	0.96530998
552	0.96447003
553	0.96288002
554	0.95958
555	0.95995998
556	0.96100998
557	0.96285999
558	0.96581
559	0.96579999
560	0.96784002
561	0.96889001
562	0.96881998
563	0.97156
564	0.96934003
565	0.96635997
566	0.96249002
567	0.96131003
568	0.96123999
569	0.96129
570	0.96087003
571	0.96077001
572	0.96170002
573	0.96272999
574	0.96530998
575	0.96619999
576	0.96526003
577	0.96239001
578	0.96499002
579	0.96025997
580	0.96408999
581	0.96157002
582	0.96456999
583	0.96331
584	0.96404999
585	0.96601999
586	0.96640003
587	0.96570998
588	0.96741998
589	0.96682
590	0.96570998
591	0.96377999
592	0.96451002
593	0.96447998
594	0.96423
595	0.96436
596	0.96608001
597	0.96846998
598	0.96686
599	0.96906
600	0.96860999
601	0.97033
602	0.96902001
603	0.97161001
604	0.96759999
605	0.96881998
606	0.97079998
607	0.96727002
608	0.97000998
609	0.97136003
610	0.97397
611	0.97143
612	0.96928
613	0.9727
614	0.97434002
615	0.97035998
616	0.97279
617	0.97261
618	0.96595001
619	0.96640998
620	0.96911001
621	0.97008002
622	0.97249001
623	0.97324002
624	0.97696
625	0.97719002
626	0.97685999
627	0.97788
628	0.97566998
629	0.97439998
630	0.97280002
631	0.97078001
632	0.97276002
633	0.96640998
634	0.96529001
635	0.96860999
636	0.96832001
637	0.97288001
638	0.97496998
639	0.97153002
640	0.97500002
641	0.97741002
642	0.97719002
643	0.97917002
644	0.97834998
645	0.98206002
646	0.97718
647	0.97288001
648	0.97302002
649	0.97136998
650	0.97049999
651	0.97354001
652	0.97303998
653	0.97303998
654	0.97899002
655	0.97806001
656	0.97729999
657	0.97781003
658	0.97421002
659	0.98001999
660	0.97578001
661	0.97412002
662	0.97158998
663	0.97096002
664	0.96741003
665	0.97157001
666	0.97022998
667	0.96964997
668	0.97403997
669	0.97649002
670	0.98084998
671	0.97760999
672	0.97580999
673	0.97597998
674	0.97737002
675	0.97846001
676	0.97570997
677	0.97575998
678	0.96983999
679	0.9677
680	0.96276999
681	0.96469998
682	0.96654999
683	0.96130002
684	0.96622002
685	0.96898001
686	0.97198999
687	0.97320998
688	0.97605997
689	0.97915
690	0.97969002
691	0.97780001
692	0.97536999
693	0.98142999
694	0.97649002
695	0.97533
696	0.97194999
697	0.97134
698	0.96719998
699	0.96320999
700	0.96483999
701	0.96411002
702	0.96487999
703	0.96693999
704	0.96342999
705	0.96101999
706	0.96749997
707	0.96820003
708	0.9702
709	0.9702
710	0.97113001
711	0.97184002
712	0.97220999
713	0.97323
714	0.97191
715	0.97201002
716	0.96873999
717	0.97008997
718	0.97065997
719	0.97349
720	0.97351998
721	0.97564
722	0.97443998
723	0.97680998
724	0.96947998
725	0.97503
726	0.97434998
727	0.97412002
728	0.97021002
729	0.97308999
730	0.97070998
731	0.97166002
732	0.9716
733	0.96755999
734	0.96643001
735	0.97178
736	0.96823001
737	0.96621001
738	0.96331
739	0.96720999
740	0.97213
741	0.97349
742	0.97070003
743	0.97205001
744	0.97628999
745	0.97136003
746	0.97206998
747	0.97781003
748	0.97539002
749	0.97582
750	0.97709
751	0.97207999
752	0.96820998
753	0.97226
754	0.96711999
755	0.97086
756	0.96939999
757	0.97021002
758	0.96735001
759	0.96667999
760	0.97051001
761	0.96925002
762	0.96644998
763	0.96711999
764	0.96986997
765	0.96901
766	0.96552002
767	0.97302002
768	0.97429001
769	0.97070003
770	0.97460002
771	0.97250003
772	0.97232997
773	0.96645999
774	0.97035998
775	0.96702999
776	0.97103
777	0.96925998
778	0.96486998
779	0.96530998
780	0.96946001
781	0.96586001
782	0.96750998
783	0.96701002
784	0.97253001
785	0.97138
786	0.97145998
787	0.96609002
788	0.96929997
789	0.97510999
790	0.97807002
791	0.97026002
792	0.96613997
793	0.97283
794	0.97118002
795	0.97083002
796	0.97192001
797	0.97115999
798	0.97077
799	0.96748
800	0.96860999
801	0.96955001
802	0.96204001
803	0.96500999
804	0.97002
805	0.97223002
806	0.96612
807	0.96964997
808	0.97176999
809	0.97112
810	0.97464001
811	0.97053999
812	0.96851999
813	0.97614002
814	0.97839999
815	0.97858
816	0.97373998
817	0.97921002
818	0.97841001
819	0.97649002
820	0.97204
821	0.97167999
822	0.96803999
823	0.97227001
824	0.96824998
825	0.96714002
826	0.96518999
827	0.96834999
828	0.96794999
829	0.96873999
830	0.96578002
831	0.96302998
832	0.96402001
833	0.96404999
834	0.97024
835	0.97670001
836	0.97149003
837	0.97507
838	0.97301
839	0.97551
840	0.97364002
841	0.97628999
842	0.97937
843	0.97750998
844	0.97512001
845	0.98044997
846	0.97157001
847	0.97426999
848	0.97136003
849	0.97017998
850	0.96986002
