Typical Measured Spectrum of Semrock FF01-537/26 Optical Filter	
For wavelengths between 320 and 1120 nm, values near or below 3e-7 (Optical Density 6.5) are measurement noise limited.
For wavelengths < 320 nm and > 1120 nm, values near or below 3e-6 (Optical Density 5.5) are measurement noise limited. 
Data format:  Wavelength (nm) <tab> Transmission (0 to 1)
270.0	1.7965e-04
270.2	2.2079e-04
270.4	2.7136e-04
270.6	3.3349e-04
270.8	4.0986e-04
271.0	5.0372e-04
271.2	6.1907e-04
271.4	7.6083e-04
271.6	9.3506e-04
271.8	0.00115
272.0	7.168e-04
272.2	4.4251e-04
272.4	2.7318e-04
272.6	1.6864e-04
272.8	1.0411e-04
273.0	6.4271e-05
273.2	3.9677e-05
273.4	2.4494e-05
273.6	1.5121e-05
273.8	9.3348e-06
274.0	7.3213e-06
274.2	6.1432e-06
274.4	5.1546e-06
274.6	4.3252e-06
274.8	3.6292e-06
275.0	3.0452e-06
275.2	2.5552e-06
275.4	2.144e-06
275.6	1.799e-06
275.8	1.5095e-06
276.0	1.3909e-06
276.2	1.3735e-06
276.4	1.3563e-06
276.6	1.3393e-06
276.8	1.3225e-06
277.0	1.3059e-06
277.2	1.2896e-06
277.4	1.2734e-06
277.6	1.2574e-06
277.8	1.2417e-06
278.0	1.3145e-06
278.2	1.5626e-06
278.4	1.8576e-06
278.6	2.2082e-06
278.8	2.625e-06
279.0	3.1206e-06
279.2	3.7096e-06
279.4	4.4099e-06
279.6	5.2423e-06
279.8	6.2319e-06
280.0	7.2597e-06
280.2	6.8906e-06
280.4	6.5403e-06
280.6	6.2078e-06
280.8	5.8921e-06
281.0	5.5926e-06
281.2	5.3082e-06
281.4	5.0384e-06
281.6	4.7822e-06
281.8	4.5391e-06
282.0	3.8116e-06
282.2	3.1907e-06
282.4	2.6709e-06
282.6	2.2359e-06
282.8	1.8716e-06
283.0	1.5668e-06
283.2	1.3115e-06
283.4	1.0979e-06
283.6	9.1904e-07
283.8	7.6933e-07
284.0	7.2689e-07
284.2	7.1135e-07
284.4	6.9615e-07
284.6	6.8128e-07
284.8	6.6672e-07
285.0	6.5247e-07
285.2	6.3853e-07
285.4	6.2488e-07
285.6	6.1153e-07
285.8	5.9846e-07
286.0	5.8787e-07
286.2	5.7903e-07
286.4	5.7033e-07
286.6	5.6176e-07
286.8	5.5331e-07
287.0	5.45e-07
287.2	5.3681e-07
287.4	5.2874e-07
287.6	5.2079e-07
287.8	5.1297e-07
288.0	5.1695e-07
288.2	5.4035e-07
288.4	5.6482e-07
288.6	5.9039e-07
288.8	6.1712e-07
289.0	6.4506e-07
289.2	6.7426e-07
289.4	7.0479e-07
289.6	7.3669e-07
289.8	7.7005e-07
290.0	7.9947e-07
290.2	7.7805e-07
290.4	7.572e-07
290.6	7.3692e-07
290.8	7.1717e-07
291.0	6.9796e-07
291.2	6.7926e-07
291.4	6.6106e-07
291.6	6.4335e-07
291.8	6.2612e-07
292.0	6.1231e-07
292.2	5.9892e-07
292.4	5.8582e-07
292.6	5.73e-07
292.8	5.6047e-07
293.0	5.4821e-07
293.2	5.3622e-07
293.4	5.2449e-07
293.6	5.1301e-07
293.8	5.0179e-07
294.0	5.8211e-07
294.2	7.1058e-07
294.4	8.674e-07
294.6	1.0588e-06
294.8	1.2925e-06
295.0	1.5778e-06
295.2	1.926e-06
295.4	2.351e-06
295.6	2.8699e-06
295.8	3.5033e-06
296.0	3.9613e-06
296.2	4.2376e-06
296.4	4.5333e-06
296.6	4.8495e-06
296.8	5.1878e-06
297.0	5.5498e-06
297.2	5.9369e-06
297.4	6.3511e-06
297.6	6.7942e-06
297.8	7.2682e-06
298.0	6.77e-06
298.2	5.0783e-06
298.4	3.8094e-06
298.6	2.8575e-06
298.8	2.1434e-06
299.0	1.6078e-06
299.2	1.2061e-06
299.4	9.047e-07
299.6	6.7863e-07
299.8	5.0905e-07
300.0	4.0185e-07
300.2	4.9021e-07
300.4	5.9799e-07
300.6	7.2947e-07
300.8	8.8987e-07
301.0	1.0855e-06
301.2	1.3242e-06
301.4	1.6153e-06
301.6	1.9705e-06
301.8	2.4038e-06
302.0	2.3305e-06
302.2	2.2295e-06
302.4	2.1328e-06
302.6	2.0403e-06
302.8	1.9519e-06
303.0	1.8672e-06
303.2	1.7863e-06
303.4	1.7088e-06
303.6	1.6347e-06
303.8	1.5638e-06
304.0	1.2743e-06
304.2	9.8713e-07
304.4	7.6465e-07
304.6	5.9232e-07
304.8	4.5883e-07
305.0	3.5542e-07
305.2	2.7531e-07
305.4	2.1327e-07
305.6	1.652e-07
305.8	1.2797e-07
306.0	1.2362e-07
306.2	1.4059e-07
306.4	1.599e-07
306.6	1.8185e-07
306.8	2.0681e-07
307.0	2.3521e-07
307.2	2.675e-07
307.4	3.0423e-07
307.6	3.46e-07
307.8	3.935e-07
308.0	4.7078e-07
308.2	6.0971e-07
308.4	7.8962e-07
308.6	1.0226e-06
308.8	1.3244e-06
309.0	1.7152e-06
309.2	2.2213e-06
309.4	2.8768e-06
309.6	3.7257e-06
309.8	4.8251e-06
310.0	6.1831e-06
310.2	7.2397e-06
310.4	8.4767e-06
310.6	9.9252e-06
310.8	1.1621e-05
311.0	1.3607e-05
311.2	1.5932e-05
311.4	1.8654e-05
311.6	2.1842e-05
311.8	2.5574e-05
312.0	2.5755e-05
312.2	2.5733e-05
312.4	2.571e-05
312.6	2.5688e-05
312.8	2.5665e-05
313.0	2.5643e-05
313.2	2.5621e-05
313.4	2.5598e-05
313.6	2.5576e-05
313.8	2.5553e-05
314.0	2.3215e-05
314.2	2.0482e-05
314.4	1.8072e-05
314.6	1.5945e-05
314.8	1.4069e-05
315.0	1.2413e-05
315.2	1.0952e-05
315.4	9.663e-06
315.6	8.5258e-06
315.8	7.5224e-06
316.0	6.6125e-06
316.2	5.7977e-06
316.4	5.0833e-06
316.6	4.4569e-06
316.8	3.9078e-06
317.0	3.4262e-06
317.2	3.0041e-06
317.4	2.6339e-06
317.6	2.3093e-06
317.8	2.0248e-06
318.0	2.0896e-06
318.2	2.7266e-06
318.4	3.5577e-06
318.6	4.6422e-06
318.8	6.0574e-06
319.0	7.9039e-06
319.2	1.0313e-05
319.4	1.3457e-05
319.6	1.7559e-05
319.8	2.2912e-05
320.0	2.9193e-05
320.2	3.124e-05
320.4	3.3431e-05
320.6	3.5776e-05
320.8	3.8284e-05
321.0	4.0969e-05
321.2	4.3842e-05
321.4	4.6917e-05
321.6	5.0207e-05
321.8	5.3727e-05
322.0	4.9537e-05
322.2	4.5125e-05
322.4	4.1106e-05
322.6	3.7445e-05
322.8	3.411e-05
323.0	3.1072e-05
323.2	2.8304e-05
323.4	2.5783e-05
323.6	2.3487e-05
323.8	2.1395e-05
324.0	1.8781e-05
324.2	1.6283e-05
324.4	1.4118e-05
324.6	1.2241e-05
324.8	1.0613e-05
325.0	9.2019e-06
325.2	7.9783e-06
325.4	6.9174e-06
325.6	5.9976e-06
325.8	5.2e-06
326.0	4.7142e-06
326.2	4.417e-06
326.4	4.1385e-06
326.6	3.8775e-06
326.8	3.6331e-06
327.0	3.404e-06
327.2	3.1894e-06
327.4	2.9883e-06
327.6	2.7999e-06
327.8	2.6233e-06
328.0	2.4792e-06
328.2	2.3729e-06
328.4	2.2712e-06
328.6	2.1738e-06
328.8	2.0806e-06
329.0	1.9914e-06
329.2	1.906e-06
329.4	1.8243e-06
329.6	1.746e-06
329.8	1.6712e-06
330.0	1.6088e-06
330.2	1.6157e-06
330.4	1.6227e-06
330.6	1.6297e-06
330.8	1.6368e-06
331.0	1.6438e-06
331.2	1.6509e-06
331.4	1.6581e-06
331.6	1.6652e-06
331.8	1.6724e-06
332.0	1.6227e-06
332.2	1.5692e-06
332.4	1.5174e-06
332.6	1.4674e-06
332.8	1.419e-06
333.0	1.3721e-06
333.2	1.3269e-06
333.4	1.2831e-06
333.6	1.2407e-06
333.8	1.1998e-06
334.0	1.1486e-06
334.2	1.0958e-06
334.4	1.0454e-06
334.6	9.9728e-07
334.8	9.514e-07
335.0	9.0762e-07
335.2	8.6586e-07
335.4	8.2602e-07
335.6	7.8802e-07
335.8	7.5176e-07
336.0	6.1962e-07
336.2	4.5838e-07
336.4	3.3911e-07
336.6	2.5087e-07
336.8	1.8559e-07
337.0	1.373e-07
337.2	1.0157e-07
337.4	7.514e-08
337.6	5.5588e-08
337.8	4.1123e-08
338.0	3.5472e-08
338.2	3.8163e-08
338.4	4.1058e-08
338.6	4.4174e-08
338.8	4.7525e-08
339.0	5.1131e-08
339.2	5.501e-08
339.4	5.9184e-08
339.6	6.3674e-08
339.8	6.8505e-08
340.0	7.4982e-08
340.2	9.2578e-08
340.4	1.143e-07
340.6	1.4113e-07
340.8	1.7424e-07
341.0	2.1513e-07
341.2	2.6562e-07
341.4	3.2795e-07
341.6	4.0491e-07
341.8	4.9993e-07
342.0	4.651e-07
342.2	4.2074e-07
342.4	3.8062e-07
342.6	3.4432e-07
342.8	3.1149e-07
343.0	2.8178e-07
343.2	2.5491e-07
343.4	2.306e-07
343.6	2.0861e-07
343.8	1.8872e-07
344.0	1.9997e-07
344.2	2.2368e-07
344.4	2.5019e-07
344.6	2.7985e-07
344.8	3.1303e-07
345.0	3.5014e-07
345.2	3.9165e-07
345.4	4.3808e-07
345.6	4.9002e-07
345.8	5.4811e-07
346.0	5.5278e-07
346.2	5.18e-07
346.4	4.8541e-07
346.6	4.5488e-07
346.8	4.2626e-07
347.0	3.9944e-07
347.2	3.7432e-07
347.4	3.5077e-07
347.6	3.287e-07
347.8	3.0802e-07
348.0	3.0202e-07
348.2	3.1484e-07
348.4	3.2821e-07
348.6	3.4215e-07
348.8	3.5668e-07
349.0	3.7182e-07
349.2	3.8761e-07
349.4	4.0407e-07
349.6	4.2123e-07
349.8	4.3911e-07
350.0	4.5483e-07
350.2	4.5209e-07
350.4	4.4937e-07
350.6	4.4666e-07
350.8	4.4397e-07
351.0	4.413e-07
351.2	4.3864e-07
351.4	4.36e-07
351.6	4.3338e-07
351.8	4.3077e-07
352.0	3.9651e-07
352.2	3.6099e-07
352.4	3.2865e-07
352.6	2.9921e-07
352.8	2.724e-07
353.0	2.48e-07
353.2	2.2578e-07
353.4	2.0555e-07
353.6	1.8714e-07
353.8	1.7038e-07
354.0	1.5777e-07
354.2	1.4706e-07
354.4	1.3708e-07
354.6	1.2777e-07
354.8	1.191e-07
355.0	1.1101e-07
355.2	1.0348e-07
355.4	9.6454e-08
355.6	8.9907e-08
355.8	8.3804e-08
356.0	9.0959e-08
356.2	1.11e-07
356.4	1.3546e-07
356.6	1.6531e-07
356.8	2.0173e-07
357.0	2.4618e-07
357.2	3.0043e-07
357.4	3.6663e-07
357.6	4.4741e-07
357.8	5.46e-07
358.0	6.0366e-07
358.2	5.8069e-07
358.4	5.5859e-07
358.6	5.3734e-07
358.8	5.1689e-07
359.0	4.9722e-07
359.2	4.783e-07
359.4	4.6011e-07
359.6	4.426e-07
359.8	4.2576e-07
360.0	4.1441e-07
360.2	4.3641e-07
360.4	4.5959e-07
360.6	4.8399e-07
360.8	5.0969e-07
361.0	5.3676e-07
361.2	5.6526e-07
361.4	5.9528e-07
361.6	6.2689e-07
361.8	6.6018e-07
362.0	6.1164e-07
362.2	5.5821e-07
362.4	5.0944e-07
362.6	4.6494e-07
362.8	4.2433e-07
363.0	3.8726e-07
363.2	3.5343e-07
363.4	3.2255e-07
363.6	2.9438e-07
363.8	2.6866e-07
364.0	2.8131e-07
364.2	3.0873e-07
364.4	3.3883e-07
364.6	3.7186e-07
364.8	4.0811e-07
365.0	4.479e-07
365.2	4.9156e-07
365.4	5.3948e-07
365.6	5.9207e-07
365.8	6.4979e-07
366.0	6.7709e-07
366.2	6.8106e-07
366.4	6.8505e-07
366.6	6.8907e-07
366.8	6.931e-07
367.0	6.9717e-07
367.2	7.0125e-07
367.4	7.0536e-07
367.6	7.095e-07
367.8	7.1366e-07
368.0	6.8548e-07
368.2	6.2233e-07
368.4	5.65e-07
368.6	5.1295e-07
368.8	4.657e-07
369.0	4.228e-07
369.2	3.8385e-07
369.4	3.4849e-07
369.6	3.1638e-07
369.8	2.8724e-07
370.0	2.683e-07
370.2	2.9263e-07
370.4	3.1917e-07
370.6	3.4811e-07
370.8	3.7968e-07
371.0	4.1411e-07
371.2	4.5166e-07
371.4	4.9262e-07
371.6	5.3729e-07
371.8	5.8601e-07
372.0	5.9761e-07
372.2	6.0308e-07
372.4	6.086e-07
372.6	6.1418e-07
372.8	6.198e-07
373.0	6.2547e-07
373.2	6.312e-07
373.4	6.3698e-07
373.6	6.4281e-07
373.8	6.487e-07
374.0	6.9779e-07
374.2	7.6898e-07
374.4	8.4745e-07
374.6	9.3392e-07
374.8	1.0292e-06
375.0	1.1342e-06
375.2	1.25e-06
375.4	1.3775e-06
375.6	1.5181e-06
375.8	1.673e-06
376.0	1.6198e-06
376.2	1.4279e-06
376.4	1.2588e-06
376.6	1.1097e-06
376.8	9.7828e-07
377.0	8.6241e-07
377.2	7.6027e-07
377.4	6.7022e-07
377.6	5.9084e-07
377.8	5.2086e-07
378.0	4.7286e-07
378.2	4.4562e-07
378.4	4.1995e-07
378.6	3.9576e-07
378.8	3.7297e-07
379.0	3.5148e-07
379.2	3.3124e-07
379.4	3.1216e-07
379.6	2.9418e-07
379.8	2.7723e-07
380.0	2.6678e-07
380.2	2.8902e-07
380.4	3.131e-07
380.6	3.392e-07
380.8	3.6747e-07
381.0	3.9809e-07
381.2	4.3127e-07
381.4	4.6721e-07
381.6	5.0614e-07
381.8	5.4832e-07
382.0	5.4456e-07
382.2	5.3322e-07
382.4	5.2211e-07
382.6	5.1124e-07
382.8	5.006e-07
383.0	4.9017e-07
383.2	4.7997e-07
383.4	4.6997e-07
383.6	4.6019e-07
383.8	4.506e-07
384.0	4.4122e-07
384.2	4.3203e-07
384.4	4.2304e-07
384.6	4.2758e-07
384.8	4.3442e-07
385.0	4.4136e-07
385.2	4.4841e-07
385.4	4.5558e-07
385.6	4.6286e-07
385.8	4.7026e-07
386.0	4.7778e-07
386.2	4.8541e-07
386.4	4.8001e-07
386.6	4.3358e-07
386.8	3.9165e-07
387.0	3.5377e-07
387.2	3.1955e-07
387.4	2.8864e-07
387.6	2.6073e-07
387.8	2.3551e-07
388.0	2.1273e-07
388.2	1.9216e-07
388.4	1.7606e-07
388.6	1.8481e-07
388.8	1.9398e-07
389.0	2.0361e-07
389.2	2.1372e-07
389.4	2.2433e-07
389.6	2.3547e-07
389.8	2.4716e-07
390.0	2.5943e-07
390.2	2.723e-07
390.4	2.8582e-07
390.6	2.8691e-07
390.8	2.8753e-07
391.0	2.8816e-07
391.2	2.8878e-07
391.4	2.8941e-07
391.6	2.9004e-07
391.8	2.9067e-07
392.0	2.913e-07
392.2	2.9193e-07
392.4	2.9257e-07
392.6	2.932e-07
392.8	2.9384e-07
393.0	2.7749e-07
393.2	2.4539e-07
393.4	2.17e-07
393.6	1.919e-07
393.8	1.697e-07
394.0	1.5007e-07
