Wavelength_nm	Transmission
350	0
351	0
352	0
353	0
354	0
355	0
356	0
357	0
358	0
359	0
360	0
361	0
362	0
363	0
364	0
365	0
366	0
367	0
368	0
369	0
370	0
371	0
372	0
373	0
374	0
375	0
376	0
377	0
378	0
379	0
380	0
381	0
382	0
383	0
384	0
385	0
386	0
387	0
388	0
389	0
390	0
391	4.1496001e-05
392	1.4501e-05
393	5.0673998e-06
394	1.7708001e-06
395	6.1882002e-07
396	5.5307999e-07
397	5.1301998e-07
398	4.7584999e-07
399	4.4138e-07
400	4.094e-07
401	2.3634e-07
402	1.3397e-07
403	7.5942999e-08
404	4.3048999e-08
405	2.4403001e-08
406	2.9843001e-08
407	3.7557999e-08
408	4.7267999e-08
409	5.9489e-08
410	7.4869e-08
411	7.9275999e-08
412	8.3402e-08
413	8.7742997e-08
414	9.2310003e-08
415	9.7114999e-08
416	1.0217e-07
417	1.1652e-07
418	1.7233999e-07
419	2.5488001e-07
420	3.7696e-07
421	2.7735999e-07
422	1.5044e-07
423	8.1597001e-08
424	4.4258002e-08
425	2.4005001e-08
426	2.4076e-08
427	5.4906e-08
428	1.2522e-07
429	1.6599e-07
430	1.4013e-07
431	1.1831e-07
432	1.0004e-07
433	1.0561e-07
434	1.1149e-07
435	1.177e-07
436	1.2424999e-07
437	1.312e-07
438	1.4286999e-07
439	1.5558e-07
440	1.6942001e-07
441	1.8449001e-07
442	2.0035e-07
443	1.6052e-07
444	1.2861e-07
445	1.0304e-07
446	8.2554003e-08
447	6.6245001e-08
448	6.3168002e-08
449	6.0232999e-08
450	5.7434999e-08
451	5.4767e-08
452	5.2244001e-08
453	5.2346e-08
454	5.2449e-08
455	5.2552e-08
456	5.2655e-08
457	5.2649e-08
458	4.1882e-08
459	3.3317001e-08
460	2.6503001e-08
461	2.1083e-08
462	1.6882e-08
463	2.5851e-08
464	3.9585998e-08
465	6.0619001e-08
466	9.2355002e-08
467	7.4869e-08
468	6.0693999e-08
469	4.9202999e-08
470	3.9867e-08
471	2.9703999e-08
472	2.2132999e-08
473	1.6491001e-08
474	2.6802001e-08
475	1.0279e-07
476	1.5112001e-07
477	9.5316e-06
478	6.5434e-07
479	1.1584e-06
480	8.3127998e-06
481	3.1506999e-05
482	0.00019947
483	7.5181e-05
484	5.1337e-05
485	0.00051781
486	0.00019757
487	9.6917996e-05
488	0.00019676999
489	0.00108
490	0.018689999
491	0.17123
492	0.65236002
493	0.94888997
494	0.95905
495	0.96350998
496	0.96111
497	0.96272999
498	0.96319997
499	0.96226001
500	0.95933998
501	0.94812
502	0.92509001
503	0.94010001
504	0.93444002
505	0.92763001
506	0.55379999
507	0.00127
508	2.7444e-06
509	4.4929999e-07
510	3.0247e-07
511	2.3382e-07
512	2.1008999e-07
513	1.0427e-07
514	1.164e-07
515	8.9973e-08
516	1.0149e-07
517	1.1477e-07
518	8.2099e-08
519	8.0916003e-08
520	7.9347998e-08
521	5.7013999e-08
522	3.4088998e-08
523	1.7451001e-08
524	1.0226e-07
525	1.8855999e-07
526	1.7271e-07
527	1.582e-07
528	1.4587999e-07
529	1.4257e-07
530	1.3931999e-07
531	1.3616e-07
532	1.3306e-07
533	1.3038e-07
534	1.2904e-07
535	1.2772e-07
536	1.2641e-07
537	1.2512e-07
538	1.2565e-07
539	1.3035999e-07
540	1.3524e-07
541	1.403e-07
542	1.4555e-07
543	1.4576e-07
544	1.3862e-07
545	1.3184e-07
546	1.2539e-07
547	1.1925e-07
548	1.1293e-07
549	1.0648e-07
550	1.0041e-07
551	9.4682001e-08
552	8.9281002e-08
553	8.6260002e-08
554	8.4676003e-08
555	8.312e-08
556	8.1593001e-08
557	8.0094999e-08
558	7.7401999e-08
559	7.4322003e-08
560	7.1363999e-08
561	6.8523001e-08
562	6.5796002e-08
563	6.3739002e-08
564	6.1879e-08
565	6.0071997e-08
566	5.8318999e-08
567	5.6617001e-08
568	5.6255001e-08
569	5.6036999e-08
570	5.5819001e-08
571	5.5602001e-08
572	5.5388e-08
573	5.5716001e-08
574	5.6046002e-08
575	5.6377999e-08
576	5.6710999e-08
577	5.6120001e-08
578	5.3002999e-08
579	5.0059001e-08
580	4.7278998e-08
581	4.5712e-08
582	4.4539998e-08
583	4.3397002e-08
584	4.7056002e-08
585	5.9900998e-08
586	7.6252e-08
587	9.7066e-08
588	1.1631e-07
589	9.9977001e-08
590	8.5937003e-08
591	7.3868001e-08
592	6.9408998e-08
593	7.1659997e-08
594	7.3983003e-08
595	7.6383003e-08
596	6.2649001e-08
597	4.8871001e-08
598	3.8123002e-08
599	3.1839999e-08
600	3.8370999e-08
601	4.6242e-08
602	5.5728002e-08
603	5.4147002e-08
604	4.2233999e-08
605	3.2940999e-08
606	2.5694e-08
607	2.3505001e-08
608	2.2190999e-08
