Typical Measured Spectrum of Semrock LL01-488 Optical Filter	
For wavelengths between 320 and 1120 nm, values near or below 3e-7 (Optical Density 6.5) are measurement noise limited.
For wavelengths < 320 nm and > 1120 nm, values near or below 3e-6 (Optical Density 5.5) are measurement noise limited. 
Data format:  Wavelength (nm) <tab> Transmission (0 to 1)
250.0	0.0357
250.2	0.03427
250.4	0.03464
250.6	0.03527
250.8	0.03591
251.0	0.03511
251.2	0.03283
251.4	0.0307
251.6	0.0288
251.8	0.02804
252.0	0.0273
252.2	0.02658
252.4	0.02599
252.6	0.02546
252.8	0.02494
253.0	0.0242
253.2	0.02288
253.4	0.02163
253.6	0.02045
253.8	0.00729
254.0	0.00223
254.2	8.6091e-04
254.4	2.4662e-04
254.6	6.4477e-04
254.8	0.00259
255.0	7.5323e-04
255.2	4.1788e-04
255.4	6.959e-04
255.6	9.6343e-04
255.8	0.00122
256.0	0.00128
256.2	9.2604e-04
256.4	2.5008e-04
256.6	1.3852e-04
256.8	1.3339e-04
257.0	1.2932e-04
257.2	1.6944e-04
257.4	0.00101
257.6	0.00273
257.8	0.00294
258.0	0.00257
258.2	0.00209
258.4	0.00164
258.6	0.00138
258.8	0.00131
259.0	6.6391e-04
259.2	2.4423e-04
259.4	1.1941e-04
259.6	8.308e-05
259.8	1.5252e-04
260.0	2.7999e-04
260.2	2.7695e-04
260.4	2.7395e-04
260.6	2.7098e-04
260.8	2.6805e-04
261.0	2.6349e-04
261.2	2.5093e-04
261.4	2.3898e-04
261.6	2.2759e-04
261.8	2.1674e-04
262.0	2.0642e-04
262.2	1.9658e-04
262.4	1.8721e-04
262.6	1.7829e-04
262.8	1.6979e-04
263.0	1.617e-04
263.2	1.54e-04
263.4	1.4666e-04
263.6	1.3967e-04
263.8	1.3302e-04
264.0	1.2668e-04
264.2	1.2064e-04
264.4	1.1489e-04
264.6	1.0942e-04
264.8	1.042e-04
265.0	9.9238e-05
265.2	9.6924e-05
265.4	9.4664e-05
265.6	9.2456e-05
265.8	9.0301e-05
266.0	8.8195e-05
266.2	8.6139e-05
266.4	8.413e-05
266.6	8.2169e-05
266.8	8.0253e-05
267.0	7.8382e-05
267.2	7.6554e-05
267.4	7.4769e-05
267.6	7.3026e-05
267.8	7.1323e-05
268.0	6.966e-05
268.2	6.8036e-05
268.4	6.6449e-05
268.6	6.49e-05
268.8	6.3508e-05
269.0	6.2711e-05
269.2	6.1924e-05
269.4	6.1147e-05
269.6	6.038e-05
269.8	5.9622e-05
270.0	5.8874e-05
270.2	5.8135e-05
270.4	5.7405e-05
270.6	5.6685e-05
270.8	5.5973e-05
271.0	5.5271e-05
271.2	5.4577e-05
271.4	5.3892e-05
271.6	5.3216e-05
271.8	5.2548e-05
272.0	5.1888e-05
272.2	5.1237e-05
272.4	5.0594e-05
272.6	4.9959e-05
272.8	4.9332e-05
273.0	4.7822e-05
273.2	4.6111e-05
273.4	4.4461e-05
273.6	4.287e-05
273.8	4.1336e-05
274.0	3.9857e-05
274.2	3.8431e-05
274.4	3.7056e-05
274.6	3.573e-05
274.8	3.4451e-05
275.0	3.3218e-05
275.2	3.4926e-05
275.4	3.6721e-05
275.6	3.8609e-05
275.8	4.0594e-05
276.0	4.2681e-05
276.2	4.4875e-05
276.4	4.7182e-05
276.6	4.9608e-05
276.8	5.2158e-05
277.0	5.4839e-05
277.2	5.7658e-05
277.4	6.0622e-05
277.6	6.3739e-05
277.8	6.1316e-05
278.0	4.3804e-05
278.2	3.1294e-05
278.4	2.2357e-05
278.6	1.5972e-05
278.8	1.141e-05
279.0	8.1515e-06
279.2	5.8234e-06
279.4	4.1603e-06
279.6	2.9721e-06
279.8	2.1233e-06
280.0	1.5169e-06
280.2	1.4984e-06
280.4	1.4801e-06
280.6	1.4621e-06
280.8	1.4443e-06
281.0	1.4267e-06
281.2	1.4093e-06
281.4	1.3921e-06
281.6	1.3752e-06
281.8	1.3584e-06
282.0	1.3419e-06
282.2	1.3255e-06
282.4	1.391e-06
282.6	1.5743e-06
282.8	1.7816e-06
283.0	2.0162e-06
283.2	2.2818e-06
283.4	2.5823e-06
283.6	2.9224e-06
283.8	3.3073e-06
284.0	3.7429e-06
284.2	4.2358e-06
284.4	4.7937e-06
284.6	5.425e-06
284.8	6.1395e-06
285.0	6.9481e-06
285.2	7.8632e-06
285.4	8.6968e-06
285.6	8.1907e-06
285.8	7.714e-06
286.0	7.2651e-06
286.2	6.8423e-06
286.4	6.4441e-06
286.6	6.0691e-06
286.8	5.7159e-06
287.0	5.3832e-06
287.2	5.0699e-06
287.4	4.7749e-06
287.6	4.497e-06
287.8	4.2353e-06
288.0	3.9888e-06
288.2	3.7567e-06
288.4	3.538e-06
288.6	3.3321e-06
288.8	3.1382e-06
289.0	2.9556e-06
289.2	2.7836e-06
289.4	3.0267e-06
289.6	3.341e-06
289.8	3.688e-06
290.0	4.071e-06
290.2	4.4938e-06
290.4	4.9605e-06
290.6	5.4757e-06
290.8	6.0443e-06
291.0	6.6721e-06
291.2	7.365e-06
291.4	8.1299e-06
291.6	8.9742e-06
291.8	9.9063e-06
292.0	7.8268e-06
292.2	6.1092e-06
292.4	4.7686e-06
292.6	3.7222e-06
292.8	2.9054e-06
293.0	2.2678e-06
293.2	1.7701e-06
293.4	1.3817e-06
293.6	1.0785e-06
293.8	8.4182e-07
294.0	7.8217e-07
294.2	7.6902e-07
294.4	7.5609e-07
294.6	7.4337e-07
294.8	7.3087e-07
295.0	7.1858e-07
295.2	7.065e-07
295.4	6.9462e-07
295.6	6.8294e-07
295.8	6.7146e-07
296.0	6.4832e-07
296.2	6.1657e-07
296.4	5.8638e-07
296.6	5.5767e-07
296.8	5.3037e-07
297.0	5.044e-07
297.2	4.7971e-07
297.4	4.5622e-07
297.6	4.3388e-07
297.8	4.1264e-07
298.0	4.1084e-07
298.2	5.1162e-07
298.4	6.3712e-07
298.6	7.934e-07
298.8	9.8803e-07
299.0	1.2304e-06
299.2	1.5322e-06
299.4	1.9081e-06
299.6	2.3761e-06
299.8	2.959e-06
300.0	3.6848e-06
300.2	4.2708e-06
300.4	4.0962e-06
300.6	3.9288e-06
300.8	3.7683e-06
301.0	3.6143e-06
301.2	3.4665e-06
301.4	3.3249e-06
301.6	3.189e-06
301.8	3.0587e-06
302.0	2.9337e-06
302.2	2.8138e-06
302.4	2.6988e-06
302.6	2.5885e-06
302.8	2.4827e-06
303.0	2.3812e-06
303.2	2.2839e-06
303.4	2.184e-06
303.6	2.0385e-06
303.8	1.9027e-06
304.0	1.7759e-06
304.2	1.6576e-06
304.4	1.5472e-06
304.6	1.4441e-06
304.8	1.3479e-06
305.0	1.2581e-06
305.2	1.1743e-06
305.4	1.0961e-06
305.6	1.023e-06
305.8	9.5488e-07
306.0	8.9126e-07
306.2	8.3189e-07
306.4	7.7647e-07
306.6	9.403e-07
306.8	1.2128e-06
307.0	1.5644e-06
307.2	2.0178e-06
307.4	2.6026e-06
307.6	3.357e-06
307.8	4.33e-06
308.0	5.5849e-06
308.2	3.1152e-06
308.4	1.7377e-06
308.6	1.5135e-06
308.8	1.5174e-06
309.0	1.5711e-06
309.2	1.8359e-06
309.4	2.1454e-06
309.6	2.1055e-06
309.8	1.821e-06
310.0	1.6369e-06
310.2	1.657e-06
310.4	1.6774e-06
310.6	2.0427e-06
310.8	2.6927e-06
311.0	3.3948e-06
311.2	2.4711e-06
311.4	1.7988e-06
311.6	1.6399e-06
311.8	1.5901e-06
312.0	1.6676e-06
312.2	2.2581e-06
312.4	3.0575e-06
312.6	3.2792e-06
312.8	2.9909e-06
313.0	2.5949e-06
313.2	1.9731e-06
313.4	1.5003e-06
313.6	1.7288e-06
313.8	2.3325e-06
314.0	3.1045e-06
314.2	3.6033e-06
314.4	4.1822e-06
314.6	3.0937e-06
314.8	1.9928e-06
315.0	1.5202e-06
315.2	2.1499e-06
315.4	3.0405e-06
315.6	3.9356e-06
315.8	4.7841e-06
316.0	4.8102e-06
316.2	2.7776e-06
316.4	1.6039e-06
316.6	2.287e-06
316.8	4.7173e-06
317.0	9.1909e-06
317.2	9.2942e-06
317.4	9.3986e-06
317.6	5.2868e-06
317.8	2.433e-06
318.0	1.5245e-06
318.2	3.415e-06
318.4	7.6498e-06
318.6	1.0292e-05
318.8	9.4982e-06
319.0	8.1477e-06
319.2	5.7909e-06
319.4	4.1159e-06
319.6	4.6951e-06
319.8	6.38e-06
320.0	8.4722e-06
320.2	8.9147e-06
320.4	9.3802e-06
320.6	9.4608e-06
320.8	9.4189e-06
321.0	8.228e-06
321.2	4.5218e-06
321.4	2.485e-06
321.6	2.0951e-06
321.8	2.3928e-06
322.0	2.7646e-06
322.2	3.3063e-06
322.4	3.9542e-06
322.6	4.7916e-06
322.8	5.8382e-06
323.0	7.1073e-06
323.2	8.5679e-06
323.4	1.0329e-05
323.6	9.5408e-06
323.8	8.1756e-06
324.0	7.0916e-06
324.2	6.4003e-06
324.4	5.7765e-06
324.6	6.1263e-06
324.8	7.2515e-06
325.0	6.5896e-06
325.2	2.8767e-06
325.4	1.2558e-06
325.6	1.5505e-06
325.8	2.8682e-06
326.0	4.7493e-06
326.2	2.3847e-06
326.4	1.1974e-06
326.6	9.989e-07
326.8	9.8695e-07
327.0	1.0405e-06
327.2	1.4107e-06
327.4	1.9127e-06
327.6	1.7361e-06
327.8	1.1783e-06
328.0	1.078e-06
328.2	2.1248e-06
328.4	4.188e-06
328.6	3.4831e-06
328.8	2.1224e-06
329.0	1.4149e-06
329.2	2.2211e-06
329.4	3.4867e-06
329.6	2.9103e-06
329.8	2.0008e-06
330.0	1.5927e-06
330.2	2.1322e-06
330.4	2.8544e-06
330.6	2.9094e-06
330.8	2.444e-06
331.0	2.2429e-06
331.2	2.7032e-06
331.4	3.2579e-06
331.6	2.7886e-06
331.8	2.0614e-06
332.0	1.5153e-06
332.2	1.0401e-06
332.4	7.1394e-07
332.6	1.1219e-06
332.8	2.2422e-06
333.0	3.3679e-06
333.2	1.9445e-06
333.4	1.1227e-06
333.6	1.3853e-06
333.8	2.8973e-06
334.0	4.8031e-06
334.2	3.9651e-06
334.4	3.2733e-06
334.6	3.0042e-06
334.8	2.8822e-06
335.0	2.6928e-06
335.2	1.8552e-06
335.4	1.2782e-06
335.6	9.3743e-07
335.8	6.9977e-07
336.0	6.0359e-07
336.2	8.335e-07
336.4	1.151e-06
336.6	1.8678e-06
336.8	3.3832e-06
337.0	4.4433e-06
337.2	2.3374e-06
337.4	1.2295e-06
337.6	1.6916e-06
337.8	3.414e-06
338.0	6.6192e-06
338.2	8.3281e-06
338.4	1.0478e-05
338.6	1.3761e-05
338.8	1.8286e-05
339.0	2.3915e-05
339.2	2.9734e-05
339.4	3.6969e-05
339.6	4.5948e-05
339.8	5.7095e-05
340.0	6.9828e-05
340.2	8.1727e-05
340.4	9.5654e-05
340.6	1.1321e-04
340.8	1.3458e-04
341.0	1.595e-04
341.2	1.8295e-04
341.4	2.0985e-04
341.6	2.3064e-04
341.8	2.5054e-04
342.0	2.6591e-04
342.2	2.6219e-04
342.4	2.5852e-04
342.6	2.5259e-04
342.8	2.4525e-04
343.0	2.3755e-04
343.2	2.2851e-04
343.4	2.1981e-04
343.6	2.2325e-04
343.8	2.317e-04
344.0	2.4149e-04
344.2	2.6326e-04
344.4	2.8699e-04
344.6	3.3573e-04
344.8	3.9419e-04
345.0	4.7453e-04
345.2	5.7416e-04
345.4	6.9596e-04
345.6	8.5651e-04
345.8	0.00105
346.0	0.00127
346.2	0.0015
346.4	0.00173
346.6	0.0019
346.8	0.00207
347.0	0.00222
347.2	0.00243
347.4	0.0027
347.6	0.00307
347.8	0.00358
348.0	0.00425
348.2	0.00468
348.4	0.00507
348.6	0.00456
348.8	0.00386
349.0	0.00297
349.2	0.00219
349.4	0.00163
349.6	0.00123
349.8	9.6329e-04
350.0	7.7562e-04
350.2	6.6255e-04
350.4	5.6595e-04
350.6	5.1438e-04
350.8	4.7575e-04
351.0	4.4741e-04
351.2	4.4416e-04
351.4	4.4093e-04
351.6	4.553e-04
351.8	4.829e-04
352.0	5.1231e-04
352.2	5.4394e-04
352.4	5.7753e-04
352.6	6.1643e-04
352.8	6.5936e-04
353.0	7.0403e-04
353.2	7.3741e-04
353.4	7.7236e-04
353.6	7.7917e-04
353.8	7.8558e-04
354.0	8.2823e-04
354.2	8.793e-04
354.4	9.9269e-04
354.6	0.0012
354.8	0.00157
355.0	0.00229
355.2	0.00352
355.4	0.00476
355.6	0.00523
355.8	0.00336
356.0	0.00202
356.2	0.00104
356.4	5.3833e-04
356.6	3.3807e-04
356.8	2.1338e-04
357.0	1.5196e-04
357.2	1.1046e-04
357.4	8.0512e-05
357.6	5.9946e-05
357.8	4.4634e-05
358.0	3.4618e-05
358.2	2.9986e-05
358.4	2.5974e-05
358.6	2.4024e-05
358.8	2.2767e-05
359.0	2.1726e-05
359.2	2.2161e-05
359.4	2.2604e-05
359.6	2.2191e-05
359.8	2.1501e-05
360.0	2.1044e-05
360.2	2.1417e-05
360.4	2.1798e-05
360.6	2.3217e-05
360.8	2.5557e-05
361.0	2.6839e-05
361.2	2.4564e-05
361.4	2.2482e-05
361.6	1.9464e-05
361.8	1.6483e-05
362.0	1.3803e-05
362.2	1.0254e-05
362.4	7.6172e-06
362.6	5.4584e-06
362.8	3.8673e-06
363.0	2.9854e-06
363.2	3.1525e-06
363.4	3.329e-06
363.6	1.9474e-06
363.8	7.4928e-07
364.0	3.6907e-07
364.2	3.6723e-07
364.4	3.654e-07
364.6	6.5018e-07
364.8	1.4585e-06
365.0	2.8791e-06
365.2	1.5592e-06
365.4	8.4444e-07
365.6	8.9695e-07
365.8	1.1718e-06
366.0	1.4939e-06
366.2	1.7515e-06
366.4	2.0535e-06
366.6	1.971e-06
366.8	1.6463e-06
367.0	1.3979e-06
367.2	1.2414e-06
367.4	1.1024e-06
367.6	7.9058e-07
367.8	5.2285e-07
368.0	3.5876e-07
368.2	3.5727e-07
368.4	3.5578e-07
368.6	6.1131e-07
368.8	1.2306e-06
369.0	2.2541e-06
369.2	3.0369e-06
369.4	4.0915e-06
369.6	3.1571e-06
369.8	1.6669e-06
370.0	1.1796e-06
370.2	1.8068e-06
370.4	2.7675e-06
370.6	2.58e-06
370.8	2.011e-06
371.0	1.6215e-06
371.2	1.8052e-06
371.4	2.0098e-06
371.6	1.8097e-06
371.8	1.5321e-06
372.0	1.1929e-06
372.2	7.072e-07
372.4	4.1927e-07
372.6	3.3819e-07
372.8	3.3641e-07
373.0	3.3448e-07
373.2	3.322e-07
373.4	3.2993e-07
373.6	3.6511e-07
373.8	4.197e-07
374.0	4.6815e-07
374.2	3.9829e-07
374.4	3.3886e-07
374.6	5.3521e-07
374.8	1.0014e-06
375.0	1.5634e-06
375.2	1.3973e-06
375.4	1.2488e-06
375.6	8.4927e-07
375.8	4.8137e-07
376.0	3.1921e-07
376.2	3.1691e-07
376.4	3.1463e-07
376.6	4.1186e-07
376.8	5.9416e-07
