Wavelength_nm	Excitation	Emission
350	0.04895	0
351	0.04807	0
352	0.05116	0
353	0.05698	0
354	0.05392	0
355	0.05566	0
356	0.05899	0
357	0.06161	0
358	0.0646	0
359	0.06617	0
360	0.06847	0
361	0.07228	0
362	0.07294	0
363	0.07556	0
364	0.07978	0
365	0.08135	0
366	0.08412	0
367	0.08751	0
368	0.09089	0
369	0.09205	0
370	0.09553	0
371	0.09838	0
372	0.10023	0
373	0.10111	0
374	0.10775	0
375	0.11028	0
376	0.11229	0
377	0.11602	0
378	0.11739	0
379	0.12173	0
380	0.12497	0
381	0.12688	0
382	0.12963	0
383	0.13244	0
384	0.13494	0
385	0.1363	0
386	0.1393	0
387	0.14294	0
388	0.14422	0
389	0.14651	0
390	0.14795	0
391	0.1513	0
392	0.15413	0
393	0.15611	0
394	0.15821	0
395	0.16044	0
396	0.16216	0
397	0.16455	0
398	0.1651	0
399	0.16714	0
400	0.16834	0
401	0.16821	0
402	0.16998	0
403	0.1701	0
404	0.17102	0
405	0.17316	0
406	0.17319	0
407	0.17422	0
408	0.17629	0
409	0.17683	0
410	0.17757	0
411	0.17972	0
412	0.18181	0
413	0.18396	0
414	0.18575	0
415	0.1879	0
416	0.1901	0
417	0.19325	0
418	0.19667	0
419	0.19919	0
420	0.20282	0
421	0.20519	0
422	0.20789	0
423	0.21125	0
424	0.2147	0
425	0.21804	0
426	0.22178	0
427	0.22543	0
428	0.2299	0
429	0.23545	0
430	0.24079	0
431	0.24564	0
432	0.25181	0
433	0.25827	0
434	0.2661	0
435	0.27412	0
436	0.28315	0
437	0.29182	0
438	0.3018	0
439	0.31414	0
440	0.3248	0
441	0.33702	0
442	0.34963	0
443	0.36294	0
444	0.37659	0
445	0.3915	0
446	0.40717	0
447	0.4225	0
448	0.43925	0
449	0.45578	0
450	0.47335	0
451	0.48982	0
452	0.50799	0
453	0.52535	0
454	0.5431	0
455	0.56103	0
456	0.5785	0
457	0.59505	0
458	0.61187	0
459	0.62835	0
460	0.64379	0
461	0.66006	0
462	0.67444	0
463	0.68874	0
464	0.7018	0
465	0.71507	0
466	0.72773	0.00399
467	0.73969	0.00434
468	0.7524	0.00509
469	0.76472	0.00605
470	0.77707	0.00716
471	0.78888	0.0086
472	0.80171	0.01013
473	0.81428	0.0122
474	0.82857	0.01509
475	0.84184	0.01785
476	0.8561	0.022
477	0.87051	0.02656
478	0.88456	0.03182
479	0.90031	0.03842
480	0.91514	0.04612
481	0.92901	0.05501
482	0.94364	0.06506
483	0.95684	0.07825
484	0.96914	0.09203
485	0.97927	0.10901
486	0.98853	0.12662
487	0.99394	0.14795
488	0.99819	0.17155
489	1	0.19814
490	0.99685	0.22674
491	0.99084	0.25871
492	0.97974	0.29453
493	0.96403	0.33147
494	0.94421	0.37141
495	0.91942	0.41551
496	0.89039	0.45975
497	0.85611	0.50878
498	0.81883	0.55935
499	0.77751	0.61042
500	0.73462	0.66492
501	0.68735	0.71819
502	0.63993	0.7666
503	0.59059	0.81612
504	0.54282	0.8622
505	0.49304	0.9027
506	0.44587	0.93546
507	0.39959	0.9664
508	0.35481	0.98766
509	0.31364	0.99937
510	0.27467	0.9999
511	0.23758	1
512	0.20421	0.98887
513	0.17465	0.96955
514	0.14688	0.94058
515	0.12285	0.90595
516	0.10147	0.87109
517	0.08382	0.83448
518	0.06861	0.79344
519	0.05534	0.75085
520	0.04537	0.71486
521	0.03622	0.6802
522	0.03069	0.65041
523	0.02567	0.62077
524	0.02117	0.59664
525	0.0178	0.56984
526	0.01573	0.547
527	0.0138	0.52754
528	0.01224	0.50844
529	0.0109	0.49001
530	0.00926	0.47326
531	0.00829	0.46355
532	0.00733	0.45044
533	0.00638	0.43927
534	0.00589	0.42959
535	0.00512	0.4221
536	0.00544	0.41048
537	0.00515	0.40141
538	0.00483	0.3942
539	0.00469	0.38667
540	0.0044	0.38098
541	0.00504	0.36926
542	0.00563	0.36208
543	0.00532	0.35828
544	0.00544	0.34758
545	0.00532	0.33932
546	0.00456	0.32951
547	0.00576	0.32225
548	0.00571	0.31201
549	0.00613	0.30151
550	0.00589	0.29079
551	0.00503	0.27957
552	0.00487	0.2674
553	0.00431	0.25642
554	0.00439	0.24505
555	0.00424	0.23444
556	0.00437	0.22429
557	0.00397	0.21558
558	0.0046	0.20678
559	0.00362	0.19569
560	0.00537	0.18645
561	0.00433	0.18063
562	0.00357	0.1706
563	0.00381	0.16172
564	0.00356	0.15475
565	0.00441	0.14852
566	0.00497	0.14064
567	0.00409	0.13467
568	0.00371	0.12834
569	0.00341	0.12238
570	0.00422	0.11731
571	0.00411	0.11427
572	0.00465	0.10802
573	0.00404	0.10411
574	0.00413	0.09689
575	0.00454	0.09589
576	0.00474	0.09198
577	0.00526	0.08825
578	0.00427	0.08427
579	0.00464	0.0813
580	0.00379	0.07865
581	0.00424	0.07588
582	0.00413	0.07367
583	0.00375	0.07123
584	0.00452	0.06866
585	0.00438	0.06526
586	0.00414	0.06447
587	0.00405	0.06328
588	0.00484	0.05942
589	0.00417	0.05911
590	0.00433	0.05578
591	0.00415	0.05442
592	0.00378	0.05295
593	0.00403	0.05011
594	0.00473	0.04918
595	0.00436	0.04721
596	0.00321	0.04609
597	0.00338	0.04411
598	0.00343	0.04166
599	0.00366	0.04073
600	0.00357	0.03884
601	0.0027	0.03699
602	0.0031	0.03612
603	0.00298	0.03556
604	0.00328	0.0336
605	0.0031	0.03243
606	0.00402	0.03247
607	0.00394	0.02962
608	0.00434	0.02859
609	0.00379	0.02793
610	0.00472	0.02712
611	0.00335	0.02557
612	0.0042	0.0252
613	0.00377	0.02416
614	0.00447	0.02219
615	0.00413	0.02202
616	0.00376	0.02231
617	0.00379	0.02083
618	0.00406	0.01986
619	0.00499	0.01898
620	0.00407	0.01786
621	0.00438	0.01784
622	0.00269	0.01695
623	0.00408	0.01725
624	0.00284	0.01554
625	0.0032	0.01534
626	0.00261	0.01522
627	0.00347	0.01465
628	0.00368	0.01485
629	0.00384	0.0142
630	0.00414	0.0134
631	0.00372	0.01356
632	0.0045	0.01251
633	0.0032	0.01254
634	0.00328	0.01201
635	0.003	0.01176
636	0.00339	0.01188
637	0.00267	0.01134
638	0.00225	0.01107
639	0.00218	0.01093
640	0.00308	0.01082
641	0.00216	0.01041
642	0.00275	0.01016
643	0.00191	0.01017
644	0.00231	0.00956
645	0.00231	0.00992
646	0.00204	0.00957
647	0.003	0.00873
648	0.00302	0.00968
649	0.00339	0.00879
650	0.00432	0.00899
651	0.00331	0.00841
652	0.00381	0.00805
653	0.0031	0.00785
654	0.0038	0.00791
655	0.00315	0.00797
656	0.00348	0.0076
657	0.00332	0.00757
658	0.00331	0.00788
659	0.00404	0.00802
660	0.0029	0.00711
661	0.00285	0.00775
662	0.00317	0.00754
663	0.00329	0.00726
664	0.0033	0.00706
665	0.0032	0.00729
666	0.00273	0.00701
667	0.00194	0.00704
668	0.00246	0.00686
669	0.0026	0.00698
670	0.00338	0.00639
671	0.00284	0.00682
672	0.00364	0.00654
673	0.00408	0.00636
674	0.00356	0.00654
675	0.00303	0.00646
676	0.00208	0.00666
677	0.00101	0.00673
678	0.00037	0.00652
679	0.00217	0.00654
680	0.0009	0.00642
