Wavelength_nm	Excitation	Emission
350	0.011906243	0
351	0.011625722	0
352	0.011506033	0
353	0.011038498	0
354	0.010305403	0
355	0.010024882	0
356	0.010305403	0
357	0.0095573474	0
358	0.0099051933	0
359	0.0097181794	0
360	0.0091047737	0
361	0.0092917876	0
362	0.0092048262	0
363	0.0082697564	0
364	0.0079041441	0
365	0.0074366093	0
366	0.0075039344	0
367	0.0082519901	0
368	0.0081042491	0
369	0.0079172352	0
370	0.0097050884	0
371	0.0091440465	0
372	0.0095049835	0
373	0.0092244626	0
374	0.010005246	0
375	0.0099117388	0
376	0.0095049835	0
377	0.0090374486	0
378	0.0090047212	0
379	0.0092852421	0
380	0.0097050884	0
381	0.009327532	0
382	0.0098126214	0
383	0.0099996354	0
384	0.0098247773	0
385	0.010105299	0
386	0.010010909	0
387	0.0099089336	0
388	0.010002441	0
389	0.010331585	0
390	0.010705613	0
391	0.010705613	0
392	0.010805665	0
393	0.0112732	0
394	0.010805665	0
395	0.0112732	0
396	0.011205875	0
397	0.011392889	0
398	0.012006295	0
399	0.012099802	0
400	0.012906767	0
401	0.013561316	0
402	0.014007344	0
403	0.014194358	0
404	0.014307502	0
405	0.014307502	0
406	0.014307502	0
407	0.014307502	0
408	0.015207974	0
409	0.01530148	0
410	0.017108971	0
411	0.016825803	0
412	0.017420349	0
413	0.01770087	0
414	0.018875317	0
415	0.019810387	0
416	0.020848667	0
417	0.021548681	0
418	0.022483751	0
419	0.02315139	0
420	0.023712433	0
421	0.0239956	0
422	0.025035557	0
423	0.025596598	0
424	0.026185692	0
425	0.027214268	0
426	0.028535717	0
427	0.028912355	0
428	0.031343537	0
429	0.033374508	0
430	0.035618675	0
431	0.039111072	0
432	0.041533926	0
433	0.044339135	0
434	0.046113898	0
435	0.048825599	0
436	0.051657273	0
437	0.055552491	0
438	0.058638221	0
439	0.062903073	0
440	0.065334255	0
441	0.068071539	0
442	0.072024679	0
443	0.076700028	0
444	0.082217874	0
445	0.086145166	0
446	0.090203898	0
447	0.095651084	0
448	0.098175773	0
449	0.10153081	0
450	0.10835681	0
451	0.11326505	0
452	0.1214216	0
453	0.12787358	0
454	0.13622563	0
455	0.14557633	0
456	0.15822446	0
457	0.16955993	0
458	0.18134181	0
459	0.18836698	0
460	0.19220078	0
461	0.19607072	0
462	0.20282878	0
463	0.21339506	0
464	0.22997011	0
465	0.24782994	0
466	0.26076125	0
467	0.27444857	0
468	0.287072	0
469	0.30080724	0
470	0.31866707	0
471	0.33367494	0
472	0.34688093	0
473	0.36436674	0
474	0.37978136	0
475	0.39810873	0
476	0.41292782	0
477	0.42740352	0
478	0.44189711	0
479	0.46476704	0
480	0.4922581	0
481	0.52208142	0
482	0.54317133	0
483	0.53951749	0
484	0.53124392	0
485	0.53107845	0
486	0.52589785	0
487	0.52330033	0
488	0.53984651	0
489	0.5669687	0
490	0.57440117	0.012902605
491	0.57892276	0.011171487
492	0.58956681	0.013593129
493	0.60560406	0.016778388
494	0.62494112	0.020529146
495	0.65474329	0.02527177
496	0.69881832	0.031973764
