Wavelength_nm	Excitation	Emission
350	0	0
351	0	0
352	0	0
353	0	0
354	0	0
355	0	0
356	0	0
357	0	0
358	0	0
359	0	0
360	0	0
361	0	0
362	0	0
363	0	0
364	0	0
365	0	0
366	0	0
367	0	0
368	0	0
369	0	0
370	0	0
371	0	0
372	0	0
373	0	0
374	0	0
375	0	0
376	0	0
377	0	0
378	0	0
379	0	0
380	0	0
381	0	0
382	0	0
383	0	0
384	0	0
385	0	0
386	0	0
387	0	0
388	0	0
389	0	0
390	0	0
391	0	0
392	0	0
393	0	0
394	0	0
395	0	0
396	0	0
397	0	0
398	0	0
399	0	0
400	0	0
401	0	0
402	0	0
403	0	0
404	0	0
405	0	0
406	0	0
407	0	0
408	0	0
409	0	0
410	0	0
411	0	0
412	0	0
413	0	0
414	0	0
415	0	0
416	0	0
417	0	0
418	0	0
419	0	0
420	0	0
421	0	0
422	0	0
423	0	0
424	0	0
425	0	0
426	0	0
427	0	0
428	0	0
429	0	0
430	0	0
431	0	0
432	0	0
433	0	0
434	0	0
435	0	0
436	0	0
437	0	0
438	0	0
439	0	0
440	0	0
441	0	0
442	0	0
443	0	0
444	0	0
445	0	0
446	0	0
447	0	0
448	0	0
449	0	0
450	0	0
451	0	0
452	0	0
453	0	0
454	0	0
455	0	0
456	0	0
457	0	0
458	0	0
459	0	0
460	0	0
461	0	0
462	0	0
463	0	0
464	0	0
465	0	0
466	0	0
467	0	0
468	0	0
469	0	0
470	0	0
471	0	0
472	0	0
473	0	0
474	0	0
475	0	0
476	0	0
477	0	0
478	0	0
479	0	0
480	0	0
481	0	0
482	0	0
483	0	0
484	0	0
485	0	0
486	0	0
487	0	0
488	0	0
489	0	0
490	0	0
491	0	0
492	0	0
493	0	0
494	0	0
495	0	0
496	0	0
497	0	0
498	0	0
499	0	0
500	0	0
501	0	0
502	0	0
503	0	0
504	0	0
505	0	0
506	0	0
507	0	0
508	0	0
509	0	0
510	0	0
511	0	0
512	0	0
513	0	0
514	0	0
515	0	0
516	0	0
517	0	0
518	0	0
519	0	0
520	0	0
521	0	0
522	0	0
523	0	0
524	0	0
525	0	0
526	0	0
527	0	0
528	0	0
529	0	0
530	0	0
531	0	0
532	0	0
533	0	0
534	0	0
535	0.00067139993	0
536	0.00085159991	0
537	0.0011071999	0
538	0.0016196998	0
539	0.0023521998	0
540	0.0033140997	0
541	0.0044888996	0
542	0.0058603994	0
543	0.0074225993	0
544	0.0091504991	0
545	0.011025599	0
546	0.013003399	0
547	0.015050798	0
548	0.017102598	0
549	0.019102098	0
550	0.021032998	0
551	0.022912298	0
552	0.024761298	0
553	0.026650797	0
554	0.028617997	0
555	0.030659697	0
556	0.032743697	0
557	0.034819797	0
558	0.036805396	0
559	0.038679196	0
560	0.040438196	0
561	0.042111596	0
562	0.043783896	0
563	0.045535095	0
564	0.047414795	0
565	0.049496095	0
566	0.051830695	0
567	0.054403395	0
568	0.057252894	0
569	0.060385694	0
570	0.063739394	0
571	0.067288593	0
572	0.071008393	0
573	0.074760693	0
574	0.078450392	0
575	0.082052492	0
576	0.085435891	0
577	0.088530791	0
578	0.091418391	0
579	0.094169391	0
580	0.09679009	0
581	0.09943319	0
582	0.10218039	0
583	0.10497509	0
584	0.10775279	0
585	0.11054529	0
586	0.11327619	0
587	0.11595189	0
588	0.11865009	0
589	0.12149349	0
590	0.12452359	0
591	0.12782489	0
592	0.13139559	0
593	0.13525359	0
594	0.13933549	0
595	0.14359359	0
596	0.14507269	0
597	0.14747639	0
598	0.15010098	0
599	0.15298538	0
600	0.15623148	0
601	0.15996148	0
602	0.16427968	0
603	0.16924088	0
604	0.17481838	0
605	0.18088228	0
606	0.18727358	0
607	0.19384538	0
608	0.20048768	0
609	0.20714918	0
610	0.21385598	0
611	0.22063188	0
612	0.22746908	0
613	0.23431618	0
614	0.24109348	0
615	0.24770508	0
616	0.25411327	0
617	0.26035997	0
618	0.26656707	0
619	0.27289317	0
620	0.27950837	0
621	0.28654327	0
622	0.29408307	0
623	0.30217437	0
624	0.31085367	0
625	0.32014157	0
626	0.33003067	0
627	0.34045367	0
628	0.35126266	0
629	0.36223176	0
630	0.37309566	0
631	0.38361656	0
632	0.39365806	0
633	0.40320576	0
634	0.41236076	0
635	0.42131466	0
636	0.43027686	0
637	0.43938366	0
638	0.44870066	0
639	0.45819895	0
640	0.46774765	0
641	0.47718075	0
642	0.48636955	0
643	0.49522765	0
644	0.50379975	0
645	0.51227185	0
646	0.52090725	0
647	0.53001135	0
648	0.53985135	0
649	0.55048204	0
650	0.56174324	0.011828693
651	0.57327384	0.012220693
652	0.58452604	0.012701292
653	0.59492434	0.013647792
654	0.60409154	0.014806891
655	0.61185594	0.01619169
656	0.61833654	0.017708889
657	0.62394554	0.019365388
658	0.62924194	0.021136487
659	0.63472924	0.023052086
660	0.64084984	0.025118185
661	0.64783714	0.027352384
662	0.65569543	0.029734382
663	0.66423103	0.032295981
664	0.67321173	0.035013779
665	0.68236633	0.037880877
666	0.69152223	0.040890775
667	0.70062513	0.044046574
668	0.70982113	0.047306372
669	0.71932503	0.05070727
670	0.72942663	0.054249167
671	0.74035623	0.057928365
672	0.75226532	0.061788163
673	0.76511662	0.06586426
674	0.77874842	0.070083958
675	0.79281342	0.074465155
676	0.80695132	0.079065053
677	0.82081192	0.08384135
678	0.83411702	0.088791747
679	0.84668702	0.094034444
680	0.85857811	0.09955824
681	0.86990561	0.10531884
682	0.88080661	0.11138973
683	0.89146001	0.11781643
684	0.90202381	0.12461903
685	0.91248891	0.13203032
686	0.92279861	0.14027342
687	0.93292001	0.14947471
688	0.94277061	0.1597813
689	0.9522454	0.1713555
690	0.9612861	0.18409349
691	0.9698322	0.19797908
692	0.9777251	0.21312787
693	0.9847565	0.22969476
694	0.9906995	0.24773235
695	0.9953433	0.26763704
696	0.9984822	0.28962093
697	1	0.31375551
698	0.9998914	0.3400784
699	0.9981797	0.36874948
700	0.9948416	0.39951636
701	0.9898575	0.43226254
702	0.9831541	0.46694402
703	0.9745544	0.503511
704	0.9639217	0.54163228
705	0.951188	0.58114605
706	0.93634551	0.62179993
707	0.91949091	0.6631607
708	0.90086091	0.70449448
709	0.88065241	0.74538415
710	0.85904971	0.78523443
711	0.83612272	0.82336551
712	0.81177992	0.85902948
713	0.78575302	0.89186476
714	0.75776832	0.92104825
715	0.72754063	0.94596823
716	0.69499273	0.96625242
717	0.66033113	0.98190781
718	0.62406784	0.9925488
719	0.58691274	0.998474
720	0.54975205	1
721	0.51339075	0.9971432
722	0.47847945	0.98975771
723	0.44548966	0.97833281
724	0.41470876	0.96291892
725	0.38620076	0.94367133
726	0.35996706	0.92118895
727	0.33592237	0.89624846
728	0.31386937	0.86922098
729	0.29355957	0.8408483
730	0.27476757	0.81173561
731	0.25723407	0.78244453
732	0.24076878	0.75323725
733	0.22528288	0.72464427
734	0.21073598	0.69677768
735	0.19710428	0.669884
736	0.18440948	0.64379031
737	0.17260148	0.61858873
738	0.16157048	0.59413134
739	0.15120538	0.57052946
740	0.14136429	0.54778747
741	0.13186689	0.52623728
742	0.12263129	0.5059699
743	0.11365429	0.48714681
744	0.10493899	0.46979172
745	0.09656879	0.45373583
746	0.088694591	0.43865354
747	0.081396692	0.42448895
748	0.074691993	0.41104585
749	0.068608893	0.39818106
750	0.063123094	0.38597957
751	0.058164994	0.37462588
752	0.053703295	0.36398538
753	0.049754295	0.35398059
754	0.046340995	0.34450979
755	0.043505796	0.3354975
756	0	0.3267906
757	0	0.31839231
758	0	0.31043311
759	0	0.30296862
760	0	0.29589572
761	0	0.28918043
762	0	0.28275813
763	0	0.27652233
764	0	0.27056694
765	0	0.26496724
766	0	0.25971734
767	0	0.25482695
768	0	0.25021005
769	0	0.24557005
770	0	0.24084956
771	0	0.23607606
772	0	0.23135066
773	0	0.22671066
774	0	0.22248677
775	0	0.21878497
776	0	0.21558387
777	0	0.21281937
778	0	0.21073997
779	0	0.20918307
780	0	0.20798598
781	0	0.20715868
782	0	0.20664978
783	0	0.20607938
784	0	0.20545098
785	0	0.20493738
786	0	0.20453008
787	0	0.20412848
788	0	0.20397018
789	0	0.20389368
790	0	0.20356918
791	0	0.20284098
792	0	0.20189298
793	0	0.20048898
794	0	0.19878328
795	0	0.19711728
796	0	0.19573278
797	0	0.19452138
798	0	0.19367878
799	0	0.19331678
800	0	0.19308818
801	0	0.19385228
802	0	0.19223618
803	0	0.19060419
804	0	0.18898729
805	0	0.18741849
806	0	0.18593149
807	0	0.18454949
808	0	0.18325019
809	0	0.18197689
810	0	0.18065469
811	0	0.17919519
812	0	0.17751129
813	0	0.17554529
814	0	0.1732488
815	0	0.1705728
816	0	0.1674663
817	0	0.1638639
818	0	0.1596925
819	0	0.15491671
820	0	0.14955301
821	0	0.14369191
822	0	0.13752102
823	0	0.13130032
824	0	0.12531532
825	0	0.11984573
826	0	0.11510903
827	0	0.11122203
828	0	0.10820084
829	0	0.10596454
830	0	0.10435714
831	0	0.10319064
832	0	0.10224994
833	0	0.10129804
834	0	0.10010274
835	0	0.098441241
836	0	0.096114042
837	0	0.093014044
838	0	0.089160347
839	0	0.084705249
840	0	0.079912652
841	0	0.075114355
842	0	0.070596358
843	0	0.06655386
844	0	0.063044662
845	0	0.060058564
846	0	0.057498166
847	0	0.055416467
848	0	0.053716368
849	0	0.052852668
850	0	0.052125769
