Wavelength_nm	Excitation	Emission
350	0	0
351	0	0
352	0.01133207	0
353	0.01133207	0
354	0.01133207	0
355	0.01133207	0
356	0.01133207	0
357	0.011241814	0
358	0.010950991	0
359	0.010670197	0
360	0.010399431	0
361	0.010138692	0
362	0.0098779546	0
363	0.0096272451	0
364	0.0094467343	0
365	0.0094467343	0
366	0.0094467343	0
367	0.0094467343	0
368	0.0094467343	0
369	0.0094467343	0
370	0.0094467343	0
371	0.0094467343	0
372	0.0094467343	0
373	0.0094467343	0
374	0.0094467343	0
375	0.0094467343	0
376	0.0094467343	0
377	0.0094467343	0
378	0.0094467343	0
379	0.0094467343	0
380	0.0094467343	0
381	0.0094467343	0
382	0.0094467343	0
383	0.0094467343	0
384	0.0094467343	0
385	0.0094467343	0
386	0.0094467343	0
387	0.0094467343	0
388	0.0094467343	0
389	0.0094467343	0
390	0.0094467343	0
391	0.0094868479	0
392	0.0099180681	0
393	0.010359317	0
394	0.010820623	0
395	0.011301984	0
396	0.011833489	0
397	0.012395078	0
398	0.012986752	0
399	0.013217405	0
400	0.013217405	0
401	0.013217405	0
402	0.013217405	0
403	0.013227433	0
404	0.013708796	0
405	0.014200187	0
406	0.014721662	0
407	0.015383536	0
408	0.016446544	0
409	0.017579751	0
410	0.018793185	0
411	0.019866222	0
412	0.020979371	0
413	0.02216272	0
414	0.022985048	0
415	0.023546637	0
416	0.024118254	0
417	0.0247701	0
418	0.025672653	0
419	0.026645407	0
420	0.027888926	0
421	0.029192616	0
422	0.030747015	0
423	0.0330034	0
424	0.034638026	0
425	0.035781261	0
426	0.038248242	0
427	0.041016075	0
428	0.043994505	0
429	0.046040294	0
430	0.047323927	0
431	0.048637645	0
432	0.051987124	0
433	0.056078703	0
434	0.059488352	0
435	0.062988257	0
436	0.066648616	0
437	0.069426477	0
438	0.071712948	0
439	0.075995067	0
440	0.080588064	0
441	0.086284185	0
442	0.091569141	0
443	0.096111997	0
444	0.10155741	0
445	0.10782514	0
446	0.11355135	0
447	0.11808418	0
448	0.12442212	0
449	0.12902514	0
450	0.13354794	0
451	0.14073829	0
452	0.14827963	0
453	0.15639259	0
454	0.16462589	0
455	0.17259846	0
456	0.18159391	0
457	0.19064954	0
458	0.20136988	0
459	0.21168908	0
460	0.22506694	0
461	0.23525577	0
462	0.24861358	0
463	0.26732654	0
464	0.2878446	0
465	0.29579711	0
466	0.30835264	0
467	0.32107865	0
468	0.34036323	0
469	0.35870514	0
470	0.37177211	0
471	0.39044496	0.0027123598
472	0.40737287	0.0031527429
473	0.42478214	0.0036731957
474	0.43610417	0.0041436049
475	0.44572139	0.0041436049
476	0.45987144	0.0041436049
477	0.47625781	0.0041436049
478	0.48180351	0.0041436049
479	0.49117002	0.0041436049
480	0.49569281	0.0041436049
481	0.50273274	0.0041436049
482	0.51147748	0.0047641449
483	0.51811627	0.0056048762
484	0.53514447	0.006605747
485	0.54501238	0.008627506
486	0.55722696	0.012190606
487	0.57552875	0.015573549
488	0.59327898	0.018155796
489	0.60924417	0.020788086
490	0.63847689	0.023840741
491	0.65870413	0.027553973
492	0.68192987	0.032798535
493	0.70969845	0.038943882
494	0.73057753	0.046910812
495	0.75793496	0.060232402
496	0.79143978	0.075135368
497	0.81845623	0.089637986
498	0.84737809	0.12124549
499	0.87955916	0.1509213
500	0.89988669	0.18456057
501	0.93951884	0.21698878
502	0.95998677	0.26067679
503	0.9748388	0.31162111
504	0.99528666	0.35342748
505	0.99976935	0.40856545
506	1	0.48062815
507	0.99359187	0.53918909
508	0.97688459	0.60541672
509	0.95387948	0.6780399
510	0.92222992	0.74340677
511	0.87008234	0.78485283
512	0.81912814	0.87384024
513	0.75537772	0.91887943
514	0.68255162	0.95825368
515	0.62368503	0.9818442
516	0.55463963	0.99739774
517	0.48000843	1
518	0.42273634	0.99422498
519	0.3560777	0.97415752
520	0.30631688	0.94934594
521	0.23412257	0.92277281
522	0.19641585	0.88833286
523	0.16359297	0.84739724
524	0.14089874	0.79786415
525	0.11755267	0.76543594
526	0.089463181	0.73249728
527	0.068052589	0.69071092
528	0.055908221	0.64653248
529	0.04730387	0.61810776
530	0.038057703	0.58484882
531	0.030365935	0.55193018
532	0.02439905	0.52329527
533	0.019796023	0.49903416
534	0.016085522	0.4848318
535	0.01312715	0.46110116
536	0.010760452	0.43421777
537	0.0089954571	0.41464074
538	0.0075313136	0.39905718
539	0.0062978228	0.38420426
540	0.0059468296	0.36952148
541	0.0056459781	0.35483872
542	0.0053451267	0.34336874
543	0.0050743604	0.3325293
544	0.004322232	0.32223034
545	0.0036804156	0.31458369
546	0.0031288547	0.30693704
547	0.0026575208	0.29929038
548	0.0026474924	0.2926446
549	0.0026474924	0.28642919
550	0.0026474924	0.28021378
551	0.0026474924	0.27400839
552	0.0026474924	0.2671324
553	0.0026474924	0.25939568
554	0.0026474924	0.25164894
555	0.0026474924	0.24390219
556	0.0026474924	0.23687609
557	0.0026474924	0.23017025
558	0.0026474924	0.22346441
559	0.0026474924	0.21575771
560	0.0026474924	0.20641958
561	0.0026474924	0.19708146
562	0.0026474924	0.18780339
563	0.0026474924	0.17876552
564	0.0026474924	0.16972767
565	0.0026474924	0.16097005
566	0.0026474924	0.15343349
567	0.0026474924	0.14590694
568	0.0026474924	0.13838039
569	0.0026474924	0.13154444
570	0.0026474924	0.12607969
571	0.0026474924	0.12060493
572	0.0026474924	0.11514017
573	0.0026474924	0.10905488
574	0.0026474924	0.10173851
575	0.0026474924	0.094912575
576	0.0026474924	0.088547037
577	0.0026474924	0.083632761
578	0.0026474924	0.080269835
579	0.0026474924	0.077037023
580	0.0026474924	0.073934323
581	0.0026474924	0.070961737
582	0.0026474924	0.068109255
583	0.0026474924	0.06497653
584	0.0026474924	0.061943891
585	0.0026474924	0.059051375
586	0.0026474924	0.05629898
587	0.0026474924	0.05366669
588	0.0026474924	0.051164514
589	0.0025472086	0.048892537
590	0.0023867545	0.0467807
591	0.0022363288	0.044748931
592	0.0020959315	0.042817251
593	0.0019555341	0.040955632
594	0.0018351936	0.03918409
595	0.001714853	0.037492619
596	0.0016145692	0.035891226
597	0.0015042571	0.034369902
598	0.0014541151	0.032908631
599	0.001554399	0.031517421
600	0.0016647112	0.030176253
601	0.0017750233	0.028895139
602	0.0018953639	0.027924294
603	0.0020257328	0.027293746
604	0.0021561018	0.026673206
605	0.0023065275	0.026062674
606	0.0024569532	0.025472161
607	0.0026274357	0.024891656
608	0.0026474924	0.024301142
609	0.0026474924	0.022939957
610	0.0026474924	0.021658843
611	0.0026474924	0.020457799
612	0.0026474924	0.019316806
613	0.0026474924	0.018235865
614	0.0026474924	0.017224986
615	0.0026474924	0.01626415
616	0.0026474924	0.01533334
617	0.0026474924	0.014412539
618	0.0026474924	0.01355179
619	0.0026474924	0.012751093
620	0.0026474924	0.011990431
621	0.0026474924	0.011269805
622	0.0026474924	0.010669283
623	0.0026474924	0.010208882
624	0.0026474924	0.0097684987
625	0.0026474924	0.0093481329
626	0.0026474924	0.0089377759
627	0.0026474924	0.008557445
628	0.0026474924	0.0081871228
629	0.0026474924	0.0078468268
630	0	0.0075265481
631	0	0.0072262869
632	0	0.006946043
633	0	0.0066657993
634	0	0.0063955642
635	0	0.0061453465
636	0	0.0059451724
637	0	0.0057950418
638	0	0.0056549198
639	0	0.0055147979
640	0	0.0053846847
641	0	0.0052545715
642	0	0.0051244583
643	0	0.004894258
644	0	0.0045639707
645	0	0.0042537007
646	0	0.0039634482
647	0	0.0036932131
648	0	0.0034429955
649	0	0.0032127952
650	0	0.0031227167
651	0	0.0031227167
652	0	0.0031227167
653	0	0.0031227167
654	0	0.0031227167
655	0	0.0031227167
656	0	0.0031227167
657	0	0.0032027865
658	0	0.003322891
659	0	0.0034429955
660	0	0.0035630999
661	0	0.0036932131
662	0	0.0038233263
663	0	0.0039534395
664	0	0.0040134917
665	0	0.0032428213
666	0	0.0026222814
667	0	0.0021118373
668	0	0.001711489
669	0	0.0013812016
670	0	0.0012510885
671	0	0.0014512626
672	0	0.0016814628
673	0	0.0019416893
674	0	0.0022519592
675	0	0.0026122727
676	0	0.0030326384
677	0	0.0035130564
678	0	0.004073544
679	0	0.0037132305
680	0	0.0033729345
681	0	0.0030626645
682	0	0.0027824207
683	0	0.0025221943
684	0	0.0022919941
685	0	0.0022319418
686	0	0.0024621421
687	0	0.0027123598
688	0	0.0029825948
689	0	0.0032828561
690	0	0.0036231522
691	0	0.0039834656
692	0	0.0037732828
693	0	0.0033929519
694	0	0.0030526558
695	0	0.0027423859
696	0	0.0024621421
697	0	0.0022119244
698	0	0
699	0	0
700	0	0
701	0	0
702	0	0
703	0	0
704	0	0
705	0	0
706	0	0
707	0	0
708	0	0
709	0	0
710	0	0
711	0	0
712	0	0
713	0	0
714	0	0
715	0	0
716	0	0
717	0	0
718	0	0
719	0	0
720	0	0
721	0	0
722	0	0
723	0	0
724	0	0
725	0	0
726	0	0
727	0	0
728	0	0
729	0	0
730	0	0
731	0	0
732	0	0
733	0	0
734	0	0
735	0	0
736	0	0
737	0	0
738	0	0
739	0	0
740	0	0
741	0	0
742	0	0
743	0	0
744	0	0
745	0	0
746	0	0
747	0	0
748	0	0
749	0	0
750	0	0
751	0	0
752	0	0
753	0	0
754	0	0
755	0	0
756	0	0
757	0	0
758	0	0
759	0	0
760	0	0
761	0	0
762	0	0
763	0	0
764	0	0
765	0	0
766	0	0
767	0	0
768	0	0
769	0	0
770	0	0
771	0	0
772	0	0
773	0	0
774	0	0
775	0	0
776	0	0
777	0	0
778	0	0
779	0	0
780	0	0
781	0	0
782	0	0
783	0	0
784	0	0
785	0	0
786	0	0
787	0	0
788	0	0
789	0	0
790	0	0
791	0	0
792	0	0
793	0	0
794	0	0
795	0	0
796	0	0
797	0	0
798	0	0
799	0	0
800	0	0
801	0	0
802	0	0
803	0	0
804	0	0
805	0	0
806	0	0
807	0	0
808	0	0
809	0	0
810	0	0
811	0	0
812	0	0
813	0	0
814	0	0
815	0	0
816	0	0
817	0	0
818	0	0
819	0	0
820	0	0
821	0	0
822	0	0
823	0	0
824	0	0
825	0	0
826	0	0
827	0	0
828	0	0
829	0	0
830	0	0
831	0	0
832	0	0
833	0	0
834	0	0
835	0	0
836	0	0
837	0	0
838	0	0
839	0	0
840	0	0
841	0	0
842	0	0
843	0	0
844	0	0
845	0	0
846	0	0
847	0	0
848	0	0
849	0	0
850	0	0
